x,n,p,formula,direct_quadrature,absolute_error
-0.75,1,0,0.0034722222238386747,0.0034722222238388139,1.392116e-16
-0.75,1,1,-0.0027420910510441766,-0.0027420910505390078,5.051688e-13
-0.75,1,2,0.002169174384478638,0.0021691743835439603,9.346777e-13
-0.75,1,3,-0.0017189955026505502,-0.0017189955013147565,1.335794e-12
-0.75,1,4,0.0013647484880564959,0.0013647484863056672,1.750829e-12
-0.75,1,5,-0.0010855714645085788,-0.0010855714622867779,2.221801e-12
-0.75,2,0,0.00013792438316517056,0.00013792438265989744,5.052731e-13
-0.75,2,1,-0.0001126060961955058,-0.0001126060956397048,5.558010e-13
-0.75,2,2,9.2114714291571616e-05,9.2114713656786003e-05,6.347856e-13
-0.75,2,3,-7.5501861068583359e-05,-7.5501860319600127e-05,7.489832e-13
-0.75,2,4,6.2010098466206689e-05,6.2010097557527389e-05,9.086793e-13
-0.75,2,5,-5.1033703576326842e-05,-5.1033702447366873e-05,1.128960e-12
-0.75,3,0,4.5814044108139406e-06,4.5814043223908507e-06,8.842309e-14
-0.75,3,1,-3.8300710724711367e-06,-3.8300709635037116e-06,1.089674e-13
-0.75,3,2,3.2079126749523228e-06,3.2079125385053138e-06,1.364470e-13
-0.75,3,3,-2.6918513323845776e-06,-2.6918511589136492e-06,1.734709e-13
-0.75,3,4,2.2630648633359186e-06,2.2630646396106597e-06,2.237253e-13
-0.75,3,5,-1.9061809397190561e-06,-1.9061806472732296e-06,2.924458e-13
-0.25,1,0,0.25347222222382865,0.25347222222383886,1.021405e-14
-0.25,1,1,-0.1083690200681468,-0.10836902006137931,6.767489e-12
-0.25,1,2,0.050504436744617728,0.050504436728323915,1.629381e-11
-0.25,1,3,-0.025539395741911386,-0.025539395703129127,3.878226e-11
-0.25,1,4,0.013886432471705464,0.013886432378260424,9.344504e-11
-0.25,1,5,-0.0080305198239661035,-0.0080305195959085515,2.280576e-10
-0.25,2,0,0.045000964512189635,0.045000964505419593,6.770043e-12
-0.25,2,1,-0.023412181727581027,-0.02341218171297909,1.460194e-11
-0.25,2,2,0.012913286555756957,0.012913286521048152,3.470881e-11
-0.25,2,3,-0.007501583536227617,-0.0075015834524781392,8.374948e-11
-0.25,2,4,0.0045589117060397377,0.0045589115013434474,2.046963e-10
-0.25,2,5,-0.0028803232674252306,-0.00288032276010041,5.073248e-10
-0.25,3,0,0.0060809702997668092,0.0060809702933120949,6.454714e-12
-0.25,3,1,-0.0035301205619308502,-0.0035301205464016898,1.552916e-11
-0.25,3,2,0.0021366309486441893,0.0021366309111080506,3.753614e-11
-0.25,3,3,-0.0013417579109914167,-0.0013417578191119563,9.187946e-11
-0.25,3,4,0.00087029767045764829,0.00087029744238227395,2.280754e-10
-0.25,3,5,-0.00058073213862428201,-0.00058073156474418633,5.738801e-10
0.25,1,0,0.74652777777617141,0.74652777777616119,1.021405e-14
0.25,1,1,-0.10836902006814775,-0.1083690200613793,6.768447e-12
0.25,1,2,0.060606674418220569,0.060606674383593725,3.462684e-11
0.25,1,3,-0.025539395858325709,-0.025539395703129131,1.551966e-10
0.25,1,4,0.014261716402958556,0.014261715770425629,6.325329e-10
0.25,1,5,-0.0080305221118505826,-0.0080305195959085533,2.515942e-09
0.25,2,0,0.2950009645121906,0.29500096450541957,6.771028e-12
0.25,2,1,-0.087698929435257506,-0.08769892939893853,3.631898e-11
0.25,2,2,0.040691064462880851,0.040691064299027559,1.638533e-10
0.25,2,3,-0.020646565367539983,-0.02064656469620791,6.713321e-10
0.25,2,4,0.011595951212590216,0.01159594853851496,2.674075e-09
0.25,2,5,-0.0069122467981643648,-0.0069122362391486432,1.055902e-08
0.25,3,0,0.080724585281652578,0.080724585262646725,1.900585e-11
0.25,3,1,-0.031307898410847614,-0.031307898324381099,8.646651e-11
0.25,3,2,0.015409665741630101,0.015409665385482399,3.561477e-10
0.25,3,3,-0.0083787962772376087,-0.0083787948562834679,1.420954e-09
0.25,3,4,0.0049056173006559595,0.0049056116868886916,5.613767e-09
0.25,3,5,-0.0030288934673878484,-0.0030288713145564493,2.215283e-08
0.75,1,0,0.99652777777616131,0.99652777777616119,1.110223e-16
0.75,1,1,-0.0027420910509537988,-0.0027420910505389917,4.148071e-13
0.75,1,2,0.10894193677844977,0.10894193672837367,5.007610e-11
0.75,1,3,-0.0017189958518297743,-0.0017189955013147545,3.505150e-10
0.75,1,4,0.026783401783631922,0.026783399662380383,2.121252e-09
0.75,1,5,-0.0010855835668328595,-0.0010855714622867788,1.210455e-08
0.75,2,0,0.75013792438307481,0.75013792438265992,4.148903e-13
0.75,2,1,-0.1109985050666652,-0.11099850501627791,5.038729e-11
0.75,2,2,0.083425448435667127,0.083425448047594997,3.880721e-10
0.75,2,3,-0.02807264867250403,-0.028072646288366448,2.384138e-09
0.75,2,4,0.021173134904556523,0.021173121209072065,1.369548e-08
0.75,2,5,-0.0097416017647742326,-0.0097415252968016865,7.646797e-08
0.75,3,0,0.33680097417698568,0.3368009741516364,2.534928e-11
0.75,3,1,-0.083337163617833054,-0.083337163404901743,2.129313e-10
0.75,3,2,0.04532086749962716,0.045320866162031355,1.337596e-09
0.75,3,3,-0.021113810704467217,-0.021113802962673449,7.741794e-09
0.75,3,4,0.012810726471595646,0.012810683101802866,4.336979e-08
0.75,3,5,-0.0073465647599096906,-0.007346325430084062,2.393298e-07
