alpha,terms,partial_sum
-1.0,5,0.735
-1.0,10,0.7544944872875020713454446891342883583594
-1.0,20,0.7579068849015866576662890988924148887013
-1.0,40,0.7582245208743265048622460445804053799927
-1.0,80,0.7582396363261646822737356028495625462197
-1.0,120,0.7582399709780545771861036692831643714993
-1.0,160,0.7582399961322725132363774386482329873394
-1.0,200,0.7582399995243164671285585879558834001401
-1.0,240,0.7582400001750290347294739652545061813571
-0.5,5,0.6024016203703703703703703703703703703704
-0.5,10,0.6067996925891501290364399302717760327806
-0.5,20,0.6073485543268242254321150628680077459413
-0.5,40,0.6073850487522500820561044505412302462887
-0.5,80,0.6073862894836492359391415418266870687555
-0.5,120,0.6073863093316651226516046562333115877441
-0.5,160,0.6073863105650296767099267860880388005386
-0.5,200,0.6073863107102597391565234973807516375002
-0.5,240,0.6073863107353256681829170356063105087438
0.5,5,0.42140625
0.5,10,0.4209933476066456364164371725221632687606
0.5,20,0.4209689839848598402464337459653521981942
0.5,40,0.4209681870190033067259492340989534195094
0.5,80,0.4209681734568899948523692412573390564407
0.5,120,0.4209681733454660622743061389452129060657
0.5,160,0.4209681733407616639844387086728553585682
0.5,200,0.4209681733403405125273539593224948961251
0.5,240,0.4209681733402817719909285344044764526736
2.3,5,0.2592839166666666769689771117386789003696
2.3,10,0.2591823417584766792562234919926316232941
2.3,20,0.2591812812074916091687162071607795409595
2.3,40,0.2591812729017451673031682872644368269551
2.3,80,0.2591812728639308120311587599028729423718
2.3,120,0.2591812728638418468353111360970353221182
2.3,160,0.2591812728638400085832481998062943877919
2.3,200,0.2591812728638399090519666470445722508501
2.3,240,0.2591812728638398996438695555593570172115
