N,a=1,a=3,a=4,a=5
1000,1,321,594,84
1000000,1,280918,607661,111420
1000000000,1,279580105,607507914,112911980
1000000000000,1,279529114618,607499398284,112971487097
1000000000000000000,1,279527022667110675,607499052340780247,112973924992109077
1000000000000000000000000000000,1,279527019449683423395826964397,607499051844389355814003526348,112973928705927220790169509254
10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,2795270194496756518002946276695834322644650257863110767523782440432282493369001138337592654081470833,6074990518443881530447461431822605885602207869499727710150774821970576212553109929376284254540239314,1129739287059361951549592291481559791753141872637161522325442737597141294077888932286123091378289852
