word,base
2,9
4,11
5,5
6,52
8,2
9,101
19,901
28,33
46,16
64,3
82,18
91,9001
1397,3001
1793,7001
2486,4
2684,32
3179,701
3971,30001
4268,6
4862,13
6248,19
6842,27
7139,301
7931,70001
8426,7
8624,28
9317,700001
9713,300001
