m,lambda_U,lambda_V,alpha,dominant,majorant_upper,block_d1_lower,centered_remainder
2,1.4655712318767717,0.9999999999999998,1.4655712318767717,U,2.414213562373095,1.0,5.148614857453223
3,1.8265157722360477,1.6914025543803293,1.8265157722360477,U,2.6589670819169937,1.6180339887498947,3.9470367954888412
4,2.100456127949779,2.09147674802234,2.100456127949779,U,2.8258877243636302,1.8392867552141612,3.519049726047978
5,2.3121194925524886,2.3515090002243886,2.3515090002243886,V,2.949082881478623,2.0,3.1200391927014133
6,2.4796933117581235,2.535761614557489,2.535761614557489,V,3.0447330013048415,2.134503584249846,2.8691190510683193
7,2.6154301682125425,2.6751308518338077,2.6751308518338077,V,3.1216828853456735,2.252181265300415,2.719344496739614
8,2.7275825912155995,2.7856812910719424,2.7856812910719424,V,3.18524514625025,2.3567991654724953,2.6272691157190082
9,2.821828285996935,2.876399727954218,2.876399727954218,V,3.238834186944582,2.4504531687952653,2.5691732610330207
10,2.9021747431326936,2.9526891536385578,2.9526891536385578,V,3.2847596397775582,2.534638440415064,2.5318084966345076
11,2.9715217286178195,3.018023603646424,3.018023603646424,V,3.3246478453300616,2.6105686393676444,2.5075842825978394
12,3.0320156013136064,3.0747699152847487,3.0747699152847487,V,3.3596817353721407,2.6792776695880356,2.4920073435457106
13,3.08527761120848,3.1246178038450365,3.1246178038450365,V,3.3907450581313467,2.7416579309380325,2.4823148960990067
14,3.132554660194469,3.1688184331104225,3.1688184331104225,V,3.4185130589619575,2.798480765123981,2.476740152114107
15,3.174821259033795,3.208324882271485,3.208324882271485,V,3.4435116593323576,2.85041202323202,2.474110791917727
16,3.2128500237893314,3.2438795898881456,3.2438795898881456,V,3.466157314949142,2.8980259093657805,2.473623355157203
17,3.2472614184481365,3.2760714829684963,3.2760714829684963,V,3.486784597442702,2.941817588268818,2.474712002324008
18,3.278559508123225,3.305374818551355,3.305374818551355,V,3.505665734613551,2.982214489099237,2.4769692310765725
19,3.3071580928340367,3.33217645683852,3.33217645683852,V,3.5230247419041003,3.0195862358829784,2.4800961636469117
20,3.3334001047363477,3.356795517878686,3.356795517878686,V,3.5390478301764934,3.054253228855574,2.4838702938585007
