n,a_m1,a_m2,a_m3,a_m4,a_m5,a_m6,a_m7,a_m8,a_m9,a_m10,a_m11,a_m12
0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,5,5,5,5,5,5,5,5,5,5,5
4,2,8,14,14,14,14,14,14,14,14,14,14
5,2,12,28,42,42,42,42,42,42,42,42,42
6,2,18,55,95,132,132,132,132,132,132,132,132
7,2,26,108,216,322,429,429,429,429,429,429,429
8,2,37,214,494,799,1101,1430,1430,1430,1430,1430,1430
9,2,53,412,1135,2005,2892,3807,4862,4862,4862,4862,4862
10,2,76,787,2613,5054,7714,10407,13310,16796,16796,16796,16796
11,2,109,1497,5892,12758,20714,28969,37482,47006,58786,58786,58786
12,2,157,2841,13218,32140,55697,81381,107663,135473,167502,208012,208012
13,2,227,5364,29555,79727,149594,229294,312719,398645,491843,601614,742900
14,2,329,10088,65866,197086,400327,645462,912826,1187862,1475450,1794027,2175916
15,2,478,18916,146393,486215,1058630,1812375,2665838,3563162,4486052,5467477,6573646
16,2,696,35391,324092,1196613,2792901,5067810,7767851,10711964,13748309,16898227,20300882
17,2,1015,66060,715365,2937640,7359947,14036770,22561047,32169371,42292993,52690180,63603801
18,2,1482,123049,1575019,7196176,19366025,38820099,65250724,96316365,130162649,165110221,201164611
19,2,2166,228788,3459917,17580574,50858500,107303819,187253623,287347862,399781783,518350779,639966697
20,2,3168,424725,7585280,42861583,133301970,296350383,536897920,853763888,1223646185,1626179511,2042005434
21,2,4636,787340,16596685,104309282,348797539,817350743,1539270399,2520215562,3731549707,5088236327,6519285135
22,2,6787,1457655,36248921,253427934,910922343,2250591931,4411339533,7436458348,11335266444,15862235250,20782635400
23,2,9939,2695508,79042758,614781267,2375461042,6187178049,12631240718,21948660096,34242632412,49267739668,66052644610
24,2,14558,4979351,172099098,1489268917,6186528286,16986635151,36121903612,64778782730,103441949136,152464517244,209139144551
25,2,21327,9189532,374191377,3602766980,16091980554,46570798983,103151198326,191089069975,312652884607,469571224692,659797293232
26,2,31247,16944939,812542647,8704779670,41808332196,127540250504,294173145769,563166076808,945217389765,1446633893172,2074407103069
27,2,45785,31220995,1762278306,21007732630,108503290008,348943301413,838046600311,1657750816714,2856961308267,4460174134418,6494914056764
28,2,67091,57483671,3817805819,50644757737,281308211513,953786793460,2384925929471,4873684245327,8629740601035,13757783397050,20346073428602
29,2,98316,105769567,8262200247,121970159174,728621059739,2604643437274,6781510336762,14312436772145,26042203125365,42437745601305,63797646026214
30,2,144078,194500180,17862768862,293469934795,1885518387052,7106656153900,19268670377823,41994990442118,78500876167590,130851912081952,200177694048687
31,2,211145,357474020,38583226576,705485718915,4875230823939,19374427278296,54708430917976,123120545369714,236369957598647,403170109018350,628235504724871
32,2,309436,656680707,83266156465,1694534995024,12595546313362,52779171769304,155215622806510,360739815679082,711056616457883,1241036716012295,1971253987201118
33,2,453488,1205778384,179547882300,4066977338580,32517411937821,143675351504693,440052053602799,1056343789319578,2137550824434038,3816224307009820,6181968237034965
34,2,664606,2213097954,386859850310,9753737178557,83889984642114,390847627139947,1246744123151756,3091430370436399,6421822254276034,11723621932751831,19371747515399431
35,2,974014,4060398102,832926821970,23375775853321,216279894028875,1062562728947801,3530017445214814,9041710461151298,19283921144980783,35987143561175756,60647052999461349
36,2,1427473,7447062824,1792076680914,55985165316014,557248878825379,2886942435158045,9988972329439508,26428934440098954,57881091452536858,110405880890320395,189688065240678752
37,2,2092049,13654072740,3853171654331,134000617455577,1434907372510225,7839200058698361,28250188106622858,77206950793763766,173648928508840831,338554602135058544,592788858460006798
