N,W1_numeric,W1_exact,W1_rel_error,Kolmogorov_numeric,Kolmogorov_exact,L1_density_numeric,L1_density_exact,K_numeric,K_exact,K_rel_error,Zolotarev_numeric,Zolotarev_exact,Winfinity_exact
1.0,0.02777500273188402,0.027777777777777776,9.99016521753271e-05,0.06943822166243907,0.06944444444444445,0.27775460485194203,0.2777777777777778,0.013887484764742513,0.013888888888888888,0.00010109693853899149,0.01388780735740629,0.013888888888888888,0.5
2.0,0.0069444444424871105,0.006944444444444444,2.818560940198722e-10,0.006944444442871914,0.006944444444444444,0.027777777771283402,0.027777777777777776,0.0034722222215766516,0.003472222222222222,1.8592427597496908e-10,0.003472222221958159,0.003472222222222222,0.25
3.0,0.0017361111110616822,0.001736111111111111,2.8471003332697364e-11,0.001736111111111327,0.001736111111111111,0.006944444444444,0.006944444444444444,0.0008680555555541363,0.0008680555555555555,1.6349144260630055e-12,0.0008680555555776384,0.0008680555555555555,0.125
4.0,0.00043402777802419755,0.00043402777777777775,5.677511794033308e-10,0.0004340277782823865,0.00043402777777777775,0.0017361111111110997,0.001736111111111111,0.00021701388889076555,0.00021701388888888888,8.64774918341027e-12,0.0002170138887700851,0.00021701388888888888,0.0625
5.0,0.0001085069442455858,0.00010850694444444444,1.8326812289970462e-09,0.00010850694444912434,0.00010850694444444444,0.0004340277777777487,0.00043402777777777775,5.4253472217227564e-05,5.425347222222222e-05,9.206146955875738e-11,5.425347231169134e-05,5.425347222222222e-05,0.03125
6.0,2.7126736061625053e-05,2.712673611111111e-05,1.8242539701063265e-09,2.712673611131311e-05,2.712673611111111e-05,0.00010850694444441725,0.00010850694444444444,1.3563368054147256e-05,1.3563368055555555e-05,1.0383105486511113e-10,1.3563368077630175e-05,1.3563368055555555e-05,0.015625
7.0,6.78168402873974e-06,6.781684027777777e-06,1.4184720065202328e-10,6.781684030232604e-06,6.781684027777777e-06,2.7126736111161684e-05,2.712673611111111e-05,3.390842014978445e-06,3.3908420138888887e-06,3.21323190277667e-10,3.390842015521304e-06,3.3908420138888887e-06,0.0078125
8.0,1.6954209085908166e-06,1.6954210069444444e-06,5.801133007299342e-08,1.6954210093067523e-06,1.6954210069444444e-06,6.781684027763673e-06,6.781684027777777e-06,8.477104991297825e-07,8.477105034722222e-07,5.122550272851356e-09,8.477105444361319e-07,8.477105034722222e-07,0.00390625
9.0,4.2385520294885986e-07,4.238552517361111e-07,1.151035666779876e-07,4.23855252201788e-07,4.238552517361111e-07,1.6954210070009414e-06,1.6954210069444444e-06,2.1192762528045984e-07,2.1192762586805554e-07,2.7726243523318317e-09,2.1192764896792015e-07,2.1192762586805554e-07,0.001953125
10.0,1.0596378996278435e-07,1.0596381293402777e-07,2.1678385087042784e-07,1.0596381241900765e-07,1.0596381293402777e-07,4.238552517863666e-07,4.238552517361111e-07,5.2981907048785515e-08,5.2981906467013886e-08,1.0980571785168536e-08,5.298191900923381e-08,5.2981906467013886e-08,0.0009765625
