n,L3_index_2
3,2009
4,230040
5,7430400
6,115625000
7,1111514481
8,7563418912
9,39542390784
10,167310912825
11,592191015625
12,1786895632016
13,4619706773760
14,10072642942908
15,17314147443425
16,16904700000000
17,-28272276537344
18,-229969795557447
19,-880220808750663
20,-2673212822653400
21,-7146233500000000
22,-17516608545860424
23,-40209147155542959
24,-87550428568393504
25,-182380900147200000
26,-365742034912109375
27,-709385635436627799
28,-1335694271875207776
29,-2448785067176349440
30,-4382208602179656100
31,-7670897262812109375
32,-13158048122968172544
33,-22151676351792283648
34,-36650934121155970671
35,-59669311952915203175
36,-95690958654178125000
37,-151308100350991113984
38,-236102546429552562200
39,-363853306495470269647
40,-554176322910502063200
41,-834732335692800000000
42,-1244176226942710023319
43,-1836067354953512466807
44,-2684017159084441231568
45,-3888419767816895942400
46,-5585195884220789062500
47,-7957082647481929307999
48,-11248125699633776921344
49,-15782178032054786064384
50,-21986387600307871584375
51,-30420867042083740234375
52,-41815989655997313799224
53,-57119052402117646343936
54,-77552396215009464526920
55,-104685484458581792916975
56,-140523921016056462500000
57,-187618950557931843026944
58,-249201636486124686437583
59,-329346669820254575225751
60,-433171639301862472964800
61,-567078605343467100000000
62,-739045986068604584260484
63,-958980102500481234449535
64,-1239137264064012590333952
65,-1594629029446611579699200
66,-2044025278578073024609375
67,-2610072008906612765642919
68,-3320543356178663685258792
69,-4209250272785608261934848
70,-5317231615202565321341400
71,-6694157139752658693359375
72,-8399976130690489994809824
73,-10506850138708170063151104
74,-13101413648561579135537639
75,-16287412483934141113384375
76,-20188776463835449218750000
77,-24953190321714418449633024
78,-30756235266435959418734596
79,-37806182890615111431311775
80,-46349533511202860031161600
81,-56677402562258534400000000
82,-69132871461557560938823719
83,-84119433561122904471699143
84,-102110681496608255058274456
85,-123661399611631606570540800
86,-149420244301513365178125000
87,-180144216258892346367629359
88,-216715151886216580684185120
89,-260158486755110068164165632
90,-311664572142025718204164575
91,-372612856570132686071484375
92,-444599278171469952023546144
93,-529467250800072439205777152
94,-629342667442694446444838628
95,-746673388874204278470659775
96,-884273733994696204000000000
97,-1045374541190681055171969024
98,-1233679427731193805414732239
99,-1453427937012337334543244519
100,-1709466331796209289513925000
