n,moment_exact,F(2^-n)_exact,F(2^-n)_decimal
35,27166737026726099440121501725479033285640809351680949124512223147627646789263602470887/180351294318137791708901938528052870230643733602326543600482581588549453448050378191406250,27166737026726099440121501725479033285640809351680949124512223147627646789263602470887/241656973368777099716097509503406523292223895568920837010531106964149113737324804767851220272607322360252640642833701194867350515692156800689221395201844882493600637065610754486688702891649306287507153237976580693730358748194844481383461889636830012369528667493582224085473735922375808201523200000000000000000,1.124185933805795730920957e-223
36,7622883275603902360769883234911752563785845659203399488492849232948011730663719510130214704254307131/57453532773908368522342614323264815651434971439659187192695981653369956075142327288441702261453417968750,7622883275603902360769883234911752563785845659203399488492849232948011730663719510130214704254307131/95224599707517403842965869406754933238681098323783011968500065515333520340046899980567087797403195179047559934296150944410446176246025122335676512604691459931014706275847940564684611840713015637929013387721359741888825247299764135299838689241791876161437440827142746128483526491287735038076202265465594817477250908160000000000000000000,8.005161795394895233492099e-236
37,380337188713192654120918397736914091030597304398480133472495490652980913466142231474641996592197219/3246759837346173159739263217285235282513524184550764878211320830534420122182490239887368923865917968750,380337188713192654120918397736914091030597304398480133472495490652980913466142231474641996592197219/13682458843527277878831057398055338580620174004221373780824640526445006104785747482214588487778283827575309221770535524295585087328194020159710522735224838867209686297666466568826560217363324451182776527135442014832670009040388048292960153397072105199552994862774989856211998964597964176047074734806231736651335684529847984455680000000000000000000,2.779742976483482664896922e-248
38,32136886504867762152658065268280716954398684145924960204226164573828542861678132420157464776997625696854377149/310013306298929154337253941788235282857497083431763458030849029399757975168669399930360800855077400951263417968750,32136886504867762152658065268280716954398684145924960204226164573828542861678132420157464776997625696854377149/6823194580823968691468317758622668529349445169321259150078826465848070323759625807817978380098765084068568118397714963212849565309227316625604149609580067988029498990714121140691727616493301909272624834015148205392396105716214398640350072331028900696475276733609766758418428520091915274064531985776931561282463007230105204487209801894445063602696093696000000000000000000,4.709947243067911026201833e-261
39,3653949214210057934727987403811233325014538232445620975889312798092725011081466942147409969754382926743479659/39745295679349891581699223306184010622756036337405571542416542230738201944701205119277025750650948839905566406250,3653949214210057934727987403811233325014538232445620975889312798092725011081466942147409969754382926743479659/9377727225242679764090988477894522668097370610553596981481380957720551342481831875128255444274961051539581020821261340201290230390703184619778207620812019296653829647482290555089019177785203809081690499255196771441098278761247839707075336528961156647101739533889168721150426616802705605155213399186514626220287499002596287971826735816729725517510291152406965125120000000000000000000,3.896412346452634094210555e-274
40,2460907261944481792242487590563811793723511288887189977416300068480287503195193043933076815994993433440564391962302261/30119962545383617737279561389932428800427004991991875767446454261195882787508888135322682288070781111109734277834472656250,2460907261944481792242487590563811793723511288887189977416300068480287503195193043933076815994993433440564391962302261/156277377084869939544513993008791886187397991563758675109592665333968889351279976857569819358656453835713371778402856203151381910416737330959928965332817058553780038077605782814029776945495841961690286786147048485566022419726804166006199624172582223900027889944079158592345174176151858457162835335723732232321832226916088184544390296486984791519198455830071662650650689991845682872320000000000000000000000,1.574704738362757926753159e-287
41,134692129950210994558727807513170963382350563797470049973431460207786458300543663061905481809917676157997627047401238313/1851237081784880916101679229510365543691456446741436482502655691363026536563720224686925167227908766134560933874758300781250,134692129950210994558727807513170963382350563797470049973431460207786458300543663061905481809917676157997627047401238313/432999515402437694023777657046282493442321779931393642284668436105826776952644170045193053704255527638610440196681140378382489616530414467006030029310654267933972799512231600866306539356641432868514520142841129116652740832715271822519430416905321170404260640682218787862011262696248283577275547802824161559235443959598292448382852321942908620464396942146700297632980384912008759027480523237878661120000000000000000000000,3.110676228471656780831643e-301
42,2008477691573400099882641845717952690627595585046253777344913435129744562740752119078962036309160760683301015418921645167493972036479/30938941797320279423134203805601276637944303800979437809050484403458655873030526507196015832312686135205802043695240481251787918457031250,2008477691573400099882641845717952690627595585046253777344913435129744562740752119078962036309160760683301015418921645167493972036479/668359210643691444610599097980824634396854840585025280139118804427869443032785647469719619309243216471113361646536137318108452950740029914580681746880702647870858280798004960712182015918882327013763537720825121130968192233046161131985754979622579858261573848005664716262501307366821214702699979058203901922563078473561874773233636503959220800969024669720088678381318783400093045935695526350300000862899370014362583782718963712000000000000000000000,3.005087174064753586066567e-315
43,208766406036598900491071695406768068826873486654890495942400036504400422644931348094670766367611572623615742799535443691578005538629/3597551371781427839899326023907125190458639976858074163843079581797518124770991454325118120036358852930907214383167497819975339355468750,208766406036598900491071695406768068826873486654890495942400036504400422644931348094670766367611572623615742799535443691578005538629/14697374472678552900185695133669076172009718914928522677917458407814754553771772987702430285940580993296795734940126317892817684503465612703670792479932251576862414579088466372119483531115269034990037690307616119770864222500733299303552804737782409801634688464246808468933439827444433882250704757528937672995839726290072846251447730952481934631961016655180709621082247127316005456132290584002789086694013818627534579880130145802499905290240000000000000000000000,1.420433332665516838149632e-329
44,9377505736278612331667003206296084519682147282977768322211715711405563525469919719560112619037159549673333163890473290813773135748677799323392621/180451517336100409574809523617672641797898602184954410315489972785055486125068954713285462147169629642133098714036335761016817023594315845520019531250,9377505736278612331667003206296084519682147282977768322211715711405563525469919719560112619037159549673333163890473290813773135748677799323392621/285322344298818934837227106372792305225068858183389796029860508973494538657562483177423236394174040819931501505046652921793800332754485374650717184786567300781648984644194670536100557493773878761795734139590411714005903259393664137197076783096814565727827815913680375738473565570261438461863409430233325642614994036628307705633974258605764994308048036425009616154343984969746938263597438433517389393565597847817608630772358328320928413416477356952611886848114950144000000000000000000000000,3.286635597826689257207336e-344
