n,moment_exact,F(2^-n)_exact,F(2^-n)_decimal
55,13265657717194580452159578887613313425881130953069981951693040961262103751242504086890093915362553872121203329205090544327518025510068315554439967211459815474478424929259192443751456374091077748539194947156190243292671/775615473760941459804318856053670379319753446476787736897280581673791531086276819439989458029392485663971740923467347609969084868315386965027822983939389125776463423915662916760202922850473477786042709337313085266113281250,13265657717194580452159578887613313425881130953069981951693040961262103751242504086890093915362553872121203329205090544327518025510068315554439967211459815474478424929259192443751456374091077748539194947156190243292671/10540731162058814538268890750357904529474399570252239274701620296656998012395032502159906844676191666573779342216695109729075355018041343401691903812193056998484520688886500045419682792431828156499445564659606372533681281957497664372731138761488257893384081464998715019361016462803863736709391067256728993721228749296334557791249427525299569929567537149690417685156724073466047131881361794731944102178938734076211518522647078654737052277796881532660913865426085629080544145488169273355857004970834526577948553763550716088638556820173004226267000948086662193342270036397790142885303348547785652263660577277580073093364281625730809788032792937207933259502750689228009287339634342601060833615946302953162837915577876480000000000000000000000000000,1.25851399805585531472252e-525
56,54130504512519180878041315960841777772594646424004187709925843160541928173732850723916151426894692288528711109120013666443714690252485166855927858507550627270842650106960840377611759347390082914654154616713079170469032481620080893961459/3473101206849066246904794649858652314588448451113810505004497420884916503181499376187550233407081036871493607571322435499198215581882570433801461608806867288344988703350963888068177811443770787488499126048538986306239614237166844177246093750,54130504512519180878041315960841777772594646424004187709925843160541928173732850723916151426894692288528711109120013666443714690252485166855927858507550627270842650106960840377611759347390082914654154616713079170469032481620080893961459/95231253220987572350633954461451696209441452249367099255803584243981363243028087110272162238949535690498277967688480488720130885225758707888579443712158150902945487434310906790039650413633990411898892084606587676951078073479180648486804333844718400079097067763998479237844293416655472041140198575497753373212546693191716431274107490108436738333897122448479165341725513166853211280780033481375390978961310260290348979930221067649781217177331512617139100096540731940627813242832532968591207734948666292924385638356270324207212300435912711652208880282812305396793993734395436254359083424255983926942094798616905187638300926364434340606901483028097238390790247190149086896095025198069499401961658910383773705254461008121314244624928837168196711645970432000000000000000000000000000000,5.68411132707740226455739e-544
57,237958473570622320756893062662497117514244925033297176550236176544561104052760517096188903500179758275427405255343094402516560276039205083854313506617540844922150054374984031966560462461349922952376744151346739242278622988418426707/16734853095347173019291955891521282058565212232584119964172641123678748864932515051232070586965606310544594976179295429244897129581147315581325072680085321115487786290401055657873910731309457048567239220228388125039099602659606933593750,237958473570622320756893062662497117514244925033297176550236176544561104052760517096188903500179758275427405255343094402516560276039205083854313506617540844922150054374984031966560462461349922952376744151346739242278622988418426707/1884684148399077079058779905000820972346093252919093433615338697686726720106831848904956448842950876477596613126552084702503577826938798528279532165887745447290721259818438794327346512013776282354074883452213667126341440338053867323054249385847071995554588797514715396176492984033100791236188355852444460059832497502620393338166876344439851086927112595094093464560013558811630417200283871123113876603328661760246693475023816410714962443247061949649990930405915176654705238724838662767499249680090069681644721634578496486368426770625493014287285396249636624686722746842534298437802435744185245540225469515610316609505458796101558483658555069699885197220416157827530675056767346716778999538743015160822967165055512920464275038758717751601393381101399406695805878272000000000000000000000000000000,1.262590730509159133008553e-562
58,12105745890435346467693110225539857546024377151732140301933305354206621496805182312164064097643340894892011991454560832040077009466807067599196444198094901378887024875676917786383333933107537900139573834763797452974412163931955558296773073920973790381/932094101925686929073533297655560717076928084704530808920145770181003764177728694806542548638989402330639122093207862424543602934375869939106704014370819750094935365006850052431765976620442572667521102736546520749465856467215836551519698949324645996093750,12105745890435346467693110225539857546024377151732140301933305354206621496805182312164064097643340894892011991454560832040077009466807067599196444198094901378887024875676917786383333933107537900139573834763797452974412163931955558296773073920973790381/877433435851405476484198530477097522842649163365818006866194834467540020853503271788699856257449566106643307408834343863464080240746332049058340845994601307668622484737595652315752279193664097605794999688300629055067724454295525180658433764093076877701107674761592511889091874456438064317372054651861173042516739148413957628526765370846054395434124786107832292668288134141253792762170552200278613318502474303498038388582441066760491981499842521087045039583463162216099672699306006494729332071387601122510828037336459488371021099766195716102709494046843000810807604052094455782866011957342315583723662108805355022357541953696731892967281213177003315576631910998926967666778370752461600612268171818554984510768225050794761300801923559565156490318307899162335327883651565327544926067210922898825227219763200000000000000000000000000000,1.379676838812131920213703e-581
59,21426168848516959457190706474728948995175208806244333984853997458012385192352778449271504492703596967748711761134759853451423013031618684680916789915097326987524347354696528925252507132367820312457075739275080245846921719995960935726476909071781719/1804164437437160164331986757618525953307301932927491340713594054681895088287728273319852441275205447764352903248765492044207737994264303149096510219188465003634180515641151869618653953029655056246358992387235956544671595336539498147287047938537597656250,21426168848516959457190706474728948995175208806244333984853997458012385192352778449271504492703596967748711761134759853451423013031618684680916789915097326987524347354696528925252507132367820312457075739275080245846921719995960935726476909071781719/28881669776868952633991343864411571974508581986870534815703132118324517868370618811630961002179775602196612685916202882558313048524554835856065264493977551919309770538373143947974364873352559693339065493306472748379918144830436855607046803787650073230695410623475537989077449482575235552260391422168506032873312848767464426491051478934352833648722538123942433433563483869325808117476997010514797843047920941763763445842878586912429092051277082521928831166899818947156839780281120667943044302043591263480870210514111311604857218101689011764193730872555769536688409375949815876123922143215488928485369905532419807222081233797460387344001699275805967844104365457183943952677325684171714269327307960547704664366649383073937582266245457291048227855168284108659934813367878612551694344650308260477605844882652077519385133056000000000000000000000000000000,7.418604607714533497735716e-601
60,1390417216179685497519871281946521335032637442201656549863384240505790800154656613403483417364921965144352162281486297081598702905622387914175334444532402341568380592969655986256068465331222688979691134242779226050171172743235776783081903092340298168483170583888732247529189/127899616098622592937201506452767203405941351008361368595341209979338617032457661939863482914706660612077255842295701663952410497397234124703256864941050057990146759796932546933555768105885088856205117147888092014091853391572941787090515071674443301378999926264130439758300781250,1390417216179685497519871281946521335032637442201656549863384240505790800154656613403483417364921965144352162281486297081598702905622387914175334444532402341568380592969655986256068465331222688979691134242779226050171172743235776783081903092340298168483170583888732247529189/70816819103231232542359272539700269859560181302652349755877274503522215026664037285809427900028460638725097369804390348609974068187076649298750856135979418272501198655149849721503025697565026225996103548945957598682373119484017002161617620464232614960558263647001675020847146463604268771051034304556675565073331600300976296858831280736344338720797781036719208276775766695377985806301221900481428934729904250757870181262153867144617559960949771628913714527223936026753853418175282588294814357388821388942608685655344181302268712294321933485832636468093405000735959481198362973159890853927025750059434614309402788661268662971432585129550679031769848465403889225978203948717524689131676112995567501260048510063087546068580315745051658188006343243984825043294329678243830122599001026318267747000369451837839480065845813910427226701518158184211455811103373798670336000000000000000000000000000000000,1.963399703328730119945938e-620
61,20887238291241064174380943453104220932103430922723880185741310567073322144331083048618476702561331023605154744779922854928387966569653672612498985208185933594893501138906527445401369711600683227994530182297558678764378273710618799018522046792604632048346216078447078371857/2096715018010206441593467318897823006654776246038710960579364098021944541515699376063335785486994436263561571185175437113973942580282526634479620736738525540822078029457910605468127345998116210757460936850624459247407432648736750608041230683187595104573769283018531799316406250,20887238291241064174380943453104220932103430922723880185741310567073322144331083048618476702561331023605154744779922854928387966569653672612498985208185933594893501138906527445401369711600683227994530182297558678764378273710618799018522046792604632048346216078447078371857/81646233631968256405245501501900651281966941716624666983206379388670147705537259508020313866725073515826041554686675740693843606672791530590541649284740497051307318572204638446542202658135872493692498330396939075853832391389304298156305836152887360893215012552916837821548021408262742602007734695568632955116876926187570944730722391465252404068925229040152830561792761713063842293463101294065605626910047135759500600559474282487298600258405312913664776639850551094537952173331218780488803840973674557789870891633164557585940517052990444209897413235430170788699426822186171146977168422197839763200924746016956300408531424126151141529946642387259755283761684403072777563198001143941313414040621343869051462878430656442147151328558491538819973749572512308521984954724945746856665952717313866988494632794044730198663505657084692545064771408933729590945214522962906594426070222503936000000000000000000000000000000000,2.558261093266493252699197e-640
62,1710181226763690249808572239593105404065285722163107175665625229777441066592024264737786639801317088460937534009893010982555541357404167142593695094648941220803224905761564008077336034655423056888436897746662770118205972742555420223432704180138189167664626961581355982369410568901540562057/187149509674536732826957088484595383993896620893959827516952890150531222958834645141870336560326523337508453805241341692305211448433679984889773326388615672802355979955353431300199984515137627030304789437183413768098389776265439980029949884204649094207127160246670262512341093102867126464843750,1710181226763690249808572239593105404065285722163107175665625229777441066592024264737786639801317088460937534009893010982555541357404167142593695094648941220803224905761564008077336034655423056888436897746662770118205972742555420223432704180138189167664626961581355982369410568901540562057/1041854011142478317589139144968407342434380149074461651084969934698521368342280033924461010027151617257914516808463754585186032397679934426799706609457496001028048302918710515768481475423456034027406772419723867411306088714396776673638971975988145337734147153184157669190757490527503925751941762430517452543060069372525701797819102665580913188794132949691262628376092267562096539585532399650044997185943079687441743639989967705309679512344207767810499614616896089298323311132513559621437217329185507936796615594865570579152586603998701273129083518223950816409810810555445824147859354951829831285104362785230880233316268425755130337993203815907251063184504381491449568027820415698467534442681795382541514528026469191168603869380644200570916866281091844613755669363316642907096266574938278615138169553497681624318178842872482830631117882523761596583079827414485451780898348833211830794748913719534156100925844020736819200000000000000000000000000000000,1.641478756595020795298931e-660
63,124628651165501415664713006030784964580900459540194594335972185745803766689044672887542929884629054449344519198482732662783995593018430876774952837616147036451440124699362878067363239451095414471761713949574837152248106443489305698813754211451405295135015414919726337273125096458655411607/14853135688455296256107705435285347936023541340790462501345467472264382774510686122370661631771946296627655063908042991452794559399498411499188359237191720063679046028202653277793649564693462462722602336284397918103046807640114284129361101921003896365645012717989703373995324849433898925781250,124628651165501415664713006030784964580900459540194594335972185745803766689044672887542929884629054449344519198482732662783995593018430876774952837616147036451440124699362878067363239451095414471761713949574837152248106443489305698813754211451405295135015414919726337273125096458655411607/24023517882141296325950864585135738525827843881423452133189460413925643329760692951025107632041985995398195948974442969151139545347043085358747865474323444544314748886833026427771296575097065342029912139928373228907384681970716127240867446242305069366563829961177266815707148830677102594395948596649945230865267322685923625609290867668324826299185683173444870244569204688246122781583774562256071638018930557957105052125014308316244181228694174818956023153740881105299400136921418793804281123600085980311330260564225872214267276508915018181548382629962063495257448075441370841695014092149794461262346670425315836529263204649909383015378684946227213290145076503400264261552431354463430068850128968731546222604724165949694007345687700489732841163603233402086048745860025246493298200220119744000546147473352431490748320855875549558595021154020091883581472572122858489728703956342704133266063215862172168024688292788322000489437936467574784000000000000000000000000000000000,5.187776901656371737232993e-681
64,221647311010817225052254579944815942161754278723746291712433234992135997496320201263338476300057676109480918449435802155374828887176235860336694011675875328406125605527360297210530802457539747459639354045800029989099172817529198796823523977761574957771092138043331475174149252436835647937728530281567815487/28740418818568172428675331916273204871482801506699932627762279160542018631389872923877964336139564624940505148024428318937402917548682378046926094909627080566639459223516033756571806552981645429872214128708762579320379623514283624467227339289501878840464646461376457742659597333397943094105083407402038574218750,221647311010817225052254579944815942161754278723746291712433234992135997496320201263338476300057676109480918449435802155374828887176235860336694011675875328406125605527360297210530802457539747459639354045800029989099172817529198796823523977761574957771092138043331475174149252436835647937728530281567815487/27439819390330174338537467310778993803051013473070604243237699515681568170624164634464670599613353543198857849761323609819260026186893584235648191184115865107625772000028754993962545591010742002324918422789804113902695778753666521988051170234304906760279104704533219718837690315750178591189855517609147155908481750228365495722720080500502440596978647638513228473140183778570442225890613579458106300442801559143129079916640875727870898405483356547596065500425053707162016751938575746215602170740720583415890050876189122054026221273711660144121642494768032754974728451090103161332474564820665653269763781226080940877874204418631596521887908572008756310650908176213670714122419425836873018090044526284261073469894204978839161696339179151811668490420160028086948523677006855186374242502368187821208236432583209965120237924905224891544517923497502261794618764517007162895616440565113782679001398837622017639992486891919840198943227402067222072079224690799824484167214905792921600000000000000000000000000000000000,8.077579077977678180453914e-702
65,448608384209810930030479548041313701215644955132897428806660811681504454792231199099459655724557250481538377448299505239729783682980915553546366968588608605858317560461922354081951980280204780755107918027312411061179792835921044995943725282597742025901487145550643091641209684284510791200152935592145629553/63228921400849979343085730215801050717262163314739851781077014153192440989057720432531521539507042174869111325653742301662286418607101231703237408801179577246606810291735274264457974416559619945718871083159277674504835171731423973827900146436904133449022222215028207033851114133475474807031183496284484863281250,448608384209810930030479548041313701215644955132897428806660811681504454792231199099459655724557250481538377448299505239729783682980915553546366968588608605858317560461922354081951980280204780755107918027312411061179792835921044995943725282597742025901487145550643091641209684284510791200152935592145629553/72383071578279402681259037172799094085743095256312851917286204613933377810750188107712311652857970189343420700956072350983078957546581221174366849845707097395258730277756515161825144215888755065696140412158851976530167319968887503024388899655720199983717684302048932912092121356730958962178859686515585431705692165255392173351502920220337544861395882516628625366630509297983549773942329270151696616126754845297723474594149826796633116067090875932541928367157734893144345967152512342841145767968530122054985207869172135354922670647575014958255374739420876787357471338410063653341778309768541931800600607725921339701212859390832084744988314231982256862829397518655332722192436028175758710553604934851540981621384675723797637641562565107698845516852800486548742087282475530265603756746482268140722572236810554650340346162310351207651520668906887623047031104944025729386362029796660193607078168120523095203064915375891624108866663508442120263756512929904989127775443667044236240631301487817706700800000000000000000000000000000000000,6.197697533803312962275219e-723
66,5978189056283411544080735300853543396322278958404794102525903141714482787331996143348628908194365883535176042625041854568481841363729061585312089484624885437031935740167957658185155208017061159502909682722369910167695817291463135655222152912585100767595100968791482726663070815907338379970715032735155186231598724133124510642901/915026088420909730466481889286639432093792969444816264786509093778353534778612953461686402462440140314289735662450061192842650170150925281321587188901507891110249243406710112093943640664083421702102008724444359515369462458454703755322677333918807738497946950574062703469576777099800527638310992829903679934572352691374168395996093750,5978189056283411544080735300853543396322278958404794102525903141714482787331996143348628908194365883535176042625041854568481841363729061585312089484624885437031935740167957658185155208017061159502909682722369910167695817291463135655222152912585100767595100968791482726663070815907338379970715032735155186231598724133124510642901/2550635296089564478822126150970545591452599698506143502908457017156936512308640201062038630205957317291659632197455413024728627171308949760383674072277267860120885574200336542462494176875937324440660452840596030383084268035922724366007778217073137159527357778975769805903553484059059736887081561576075204244388485226747882348475129145323135273862655552995666896603728531389613928596414316259096457021918871040121755561342188745231598266754106671449477695302299558157212418171823018196318196103248738487688627797780130292024316411900144078528050791853895755857469398889720608241727332154081198210604773483986718743101251554245699350089049463836980354896877110660738023268315938408965882379193913231346516450201703152736481963381648974762529585487168788046626604134235552690847427251442988847973832003236872755361441696034426843750043094067433809150938392112409255174813379273620430332548970090896282780133732643046812521347974538936433359494615627595668830545122578960182715923906911005506880454996357577522654106687687750864966403825336320000000000000000000000000000000000,2.343803939923792995978448e-744
67,633573682828764158012610146902854995635572949756965973887639715071778464090254579058134974994152908263922946576319535177502415671504776531174665734798165091195854912544627218114879219622395034107309027787897617356325649263378454700175924373864892487576877616527420894002302678502444629245062096500283711247494409049509649239/105216531566463874441331312154938646378330953412231937169297092401438899659477606588975737927746491768540548681375487109082014829950891760150126162971909469345520001311628695363008950700743212485580802695817257263225796570896063260966662527185199703159619500790431053914124689775291553899030769821528376599426483072853088378906250,633573682828764158012610146902854995635572949756965973887639715071778464090254579058134974994152908263922946576319535177502415671504776531174665734798165091195854912544627218114879219622395034107309027787897617356325649263378454700175924373864892487576877616527420894002302678502444629245062096500283711247494409049509649239/1449951202845441633991691172676691909820694408063995609240067323612683337314543735086246192680274771598088325420126115292553156397701502928045487951817797017852695693054080004431441108891566282235381892410303474812845126182209658189021041005322520641217910195759753842402038950148777593162750303297991166226118502356705561429937318813384822936942246613683180447743808388400469512547517974920077950410217507896024481416547235767527138042918936303063438719819006233552073320096135895528104425966620965917958774223177335068730500172711618338052155204019297921633702312364007250796973450818546077442635096647050554383602395936945111690722116266691663481999410395644612231487004025198758200817696415043113731773424375035145094434109654910984268754032667911928503338005564633845849247991811974596131593054969408632931528316592025103340807793454534319221573917391180872162900922146668841733456869507536850994123113069815940715953890671335964549474452398005217032424913476296035343753024892922454533101123241735153039705978898557114092600432628338915611936135577600000000000000000000000000000000000,4.36962072644523542609283e-766
68,26821436574378840856500491460548304416002816016192326747817710882129886037996048989486455106280196767184044457377856561435785921512715257344306715326898071408123114185477975413522421432846020031416651329093143207824530692678355834984677733874543024230909980496661747233632950454286853143007225745469928593271108682850525559261351642135649021011/4828464048123168116064092091950787706882322499918246963010223375157766035384831003037438246529753176694956206277826603649900429019350121449571837034628413074119039006316371157991380104211272431114287159563560267857939321366199183928304062774919937200215745164262094036853592390056530222815171537635139664931203412199799609732204486804008483886718750,26821436574378840856500491460548304416002816016192326747817710882129886037996048989486455106280196767184044457377856561435785921512715257344306715326898071408123114185477975413522421432846020031416651329093143207824530692678355834984677733874543024230909980496661747233632950454286853143007225745469928593271108682850525559261351642135649021011/667724066410445071496776032426641117201617558135281024476063690157040577377325175282560193427447913742512511311859613680152539173520208480252385767171982423462464500033490440895318082447680291480940546583649630575766270572512743814199293590797528799630223931007683099022920513155661490925465404154150001531580281518083984539228047045120085333968161770912036390073003632582576221887566360274748056505015940265574707785625362724014801042162635535515005173467121034337654442557367337391738336101182116665926371301306892865963889039934409555636610131765818572916834642079375399767969883600867010918710641716257777382972403594379840183518038438382946189102013426000920472760890487164256981886967707277116846378162133906423098989655699246627042485685526236140036340170042463079023234314031394788010990974843964454545523938272763791670734170039892896313728647812338241802419697615017304774533844640605370306108060659642909593324319342106670654481350777477190869023443723233182630375008468222772999218973526169135342165849709604807750169036332225469778750149080806746680679294765509205971776049166417920000000000000000000000000000000000000,4.016844370844033814811682e-788
69,1321807751588384926198588644298027729527015570934856031221873488383014623411603889567217430729780511537081413395319922989337351400117923077016792219078384781717477641236996002928274969727557574185110842251847935220126452355200744207229278090012667318959291540142006326672062767190521358474490069644186177083709544710789822383532878805719152468189/257728015786052582195131176444271755426776721263752225576328299865305105917714964988215725535783781880688749387264280887573670725771978221721348924616470222492469864641495579346119607591450961794114776937283948790156384356401617310260055988406233749397023035361989744025098272066350736385917054682756802694806118364229883516575494563755989074707031250,1321807751588384926198588644298027729527015570934856031221873488383014623411603889567217430729780511537081413395319922989337351400117923077016792219078384781717477641236996002928274969727557574185110842251847935220126452355200744207229278090012667318959291540142006326672062767190521358474490069644186177083709544710789822383532878805719152468189/725835914813402152508764594663841403011268539057448780037213937648945338348572789714583651289197003093952850481538188619937732504250149376002717167381852569627657164456631169313599483209652984323790686964446439597461609747445237816899096907178091637595679081957282849166422879224848887785916801738504394539225473039168866809858273556745230768060769847229020468045210779836758048303579397079563166022020847377038597491489071380376680624733948065731826704940197386967618137374431500625291544286977292961876689349666127914898632352013614963999887727688328735668854847200257574015968891539502584970098707106405513190807885986297932488951281644037987004442695698745998219193631115261119648605775839305475605502017813918300023325766878721121293382652494983455034795542235884303841886416368602035954362807752282485944559641091403536646769975118239896287929876261368168046768970494825082714577744366971614966003101604872348996439232936454742082498111438891719185920099271704713093160407887107391146632847228957295132550864278192325980202680826676665385322968990386393514729457455893401684282893818278390109171459123713314652160000000000000000000000000000000000000,1.821083422040634587299726e-810
70,19306377222561611875603976531220137939343817528411957861598893566032784050834090388500564117580247260025170406661235053446071730130165812050520462200918231581593260764900354723323870109484319356595081020358232099442648381973663001877041465969497407066188097900091480266000521616998929657445102974005946562793981267215878984074622272254510673764441996443407029762349029/4073761191557984181294907144601760804467168442226448428897269183195854162757190682150068238389485467586126044776395674505225415658118515961329946362859116272272169010404242577034376262432629531034183221986569375962148345094909788154390767566749450875631344420330679778090497409891901332611538334536536104813219438547074393711185971793757308241574219440897826957702636718750,19306377222561611875603976531220137939343817528411957861598893566032784050834090388500564117580247260025170406661235053446071730130165812050520462200918231581593260764900354723323870109484319356595081020358232099442648381973663001877041465969497407066188097900091480266000521616998929657445102974005946562793981267215878984074622272254510673764441996443407029762349029/474067442988942120486389693095175969135589200249191800428377042305111092850653295390122504907901801039938389639496444931230894547493532133599045695251187427413453904383499745815137289040429446888108751592883127912169256733535711190719820255656454749612565763444998664044736138954864115830828061235767589265879737929258650613599391621260686454659008185755640154950922939897093821687447117779935647767859404162006043922213737871038050096663029799384716404759992713406714833689875549100954735298198346120328842753231204194807973430195630051094098493536933927584828754806228382881054177968463099911270530244074347799178093340514548857871390475765398541271434606438118695716300772106025394410566182440691669484823419765570723533120446575748264129395758022242276157201854069286840235454531679882603330533335142971611724693635039632770009859414953627796613374246122459945839656541312421623188508707878034693180110671488635748268201155707574212857784856286886690914403036855862289096297600817150529495111977846068233119203990322367872615338700524985973829075613242451530249153276910593967993245474838651312615549457727819774172934508440506455318699115906985814652409085952000000000000000000000000000000000000,4.072495909197448002443766e-833
71,1257382546515676244289497454101958182613810653099450430139847109312626544239794550153456153010362688775091764318232186427926591178983287847176139696730516209163834152588116066278940683752177608003095404547321225669448896753524575799701683979818860163631716503356597574200834687631052450420250969771374427515513521330070614646372924434992509962525273784875411061018659/286884590954787618401049798915616958061068200156792142880089379098299588926562724095075228055597568139868031322281385528537001102684402532488024391750641991005082324676355111058758891720607713453111494506096434926911855288373928743266955462447144427861362283121878857612006859851542347367009741868770148226283059052610872796562392379842063960674240805697030067443847656250,1257382546515676244289497454101958182613810653099450430139847109312626544239794550153456153010362688775091764318232186427926591178983287847176139696730516209163834152588116066278940683752177608003095404547321225669448896753524575799701683979818860163631716503356597574200834687631052450420250969771374427515513521330070614646372924434992509962525273784875411061018659/2798400254238370811484208863997859470811323892404515970477223907468474474327754653410357642417132074558361081428718213487646962085015750715712916739927723741431863070779242103394947861973295890386682947519644763095034207594041479335055923895596986893516437488502470585222024674337704853411755965993968661236432424557239849023921395139441685934999943205702063373383002240155637906506652087452769528997910980759196145790791186041126567994205206423551553724128590689362453573989072601914073497826174082703125601039143481089981379649489502154432358735943246364614511379662337889744476139958384831029923542162514297594780452961801723045046056981986436835816969466356045699555728922200787571942552670864998505700923193680904684405189844835683929363018736508911200985958236418588415053864787258709033526819121875520350810340709775856587559434230517162627468471044908758483726898720088446078272915805556727779076323679429457050315509217356645140379955230653584984386091322112411337333671980934281161276640204326969233160605576004187144147040853682400871195032809522171963768230690306875718480819233447494827539523028833890486686552425444237334942265356050350511502072624618271010472423839498240000000000000000000000000000000000000,4.493219097630095541156474e-856
72,585970568973299124192345984946102928550120748981518701400366289795104393885176153710656689266421975977308748190444490201824236850403851176360174848248172602335557489187438023000883790119223294813856956660616192512008430373495216115619717311895142662790617386996435827357314610941525008516061007067736221901470621508595030653685965231665210483191584262894626491701518815341680975234330026807697/144448280684888489141347556160705705299354986388926889718684222372248551282541884705332072395178279347348844050748047318459377863095239423087945224902836082804298266429486486564979680602390960677110095800576807798558913469582975677708490954774484520507037970604250211601811410331259197652539009706967017319620859570675761592381758413496231316708894799688618067119502427172225159825825691223144531250,585970568973299124192345984946102928550120748981518701400366289795104393885176153710656689266421975977308748190444490201824236850403851176360174848248172602335557489187438023000883790119223294813856956660616192512008430373495216115619717311895142662790617386996435827357314610941525008516061007067736221901470621508595030653685965231665210483191584262894626491701518815341680975234330026807697/239539519981895273528757096190132682521166865988348250755840778078984777876070398678577190150458826495563398788296724712542857493897379355345944588194091843316644743361512702475684552751799086036637259338079813217093903424932817701066617161966020660697856917877264309302874285362893653612925028355278296859996640640034912098049715131238438953156504242017816641464692478016717484377494361109923363633446326197707851146627598174282264008652158825759733783062476845212696062882666486750072726935256221607670700285798202632869153543282033751413941766618206257705520701692971880727456324852842134244945630216152473456179299964705739696573719067572622802073253757605970704343491756749252162150032037605096683361854656336425125719573813954272768280369311606989326583086167874037375643544913968347178947358015512677561339135439315363320909489648161735767743588574926693648243985165469162792612871558718714979699415362698350528581021518886392830951034854179246795364483921906520569346057718697165701315393084394905066709076826220006377674809818553127427969632872561597619224911818971520456879222657616645364951409420030337836038682074800868696552767337400112820254092784960096916347432146706892036684699096026356973988868282066041438484824064000000000000000000000000000000000000000,2.446237552023096589470527e-879
73,7435265853139960297283349277751545524199760901980044579709692069885000602288122424203327755184812425201615437922464825959155966396453155192607637294745841903838778315143221423204000748912147521979868914153129360645208329566454257050831929050284039415156049306337408024128808262022247740168772131329090497786267033909070790035987964191289038073132746814752094280596715057649085748434337098681/1978743571025869714265035015900078154785684745053793009844989347565048647706053215141535238290113415717107452749973250937799696754729307165588290752093644969921894060677897076232598364416314529823425969870915175322724842049081858598746451435266911239822437953482879610983717949743276680171767256259822155063299446173640569758654224842414127626149243831350932426294553796879796709942817687988281250,7435265853139960297283349277751545524199760901980044579709692069885000602288122424203327755184812425201615437922464825959155966396453155192607637294745841903838778315143221423204000748912147521979868914153129360645208329566454257050831929050284039415156049306337408024128808262022247740168772131329090497786267033909070790035987964191289038073132746814752094280596715057649085748434337098681/1131193400485185883589716951366940815988250027610075465128425364903629010602819630114856349079838475709329108704035485388057847844179721292163317723291274932715144568557653662222748943446542030219374518515278515259525029655931134297407775078881790919948815319178758451943379754421004145033632292189000205625346836273462600544891551649817655482527220661342992019756589800029575988371410065011432035211758960295285606842231204310180874205538831770935241257336856081056976229584515497991134907385457114161180621119637571552146388387100817327224058533123545652135594928258533061778577925800513056756832315633523317848083134385268183145614789422973849138876317074307185693144916665460277213288358196453626784033720119699723869705334579267664036818878104057715213221978353369718404714318644937517969031236752726698475476573194309133361366479645353167254682772011941623401525722308778664510807625847544387303125967044277777987798071434724388485210190772008847795110207124082328076398531885877651968043382533431043665771766228896145127758733885083283570370457078856036304256219289810773194840011375204575218072586004260143173784154455718773040146223532742746135059908537637975142225906694027766897436312561249233379269276651434525070206317036656548909590243180544000000000000000000000000000000000000000,6.572939560954707487348966e-903
74,191932842359407864333653440957732564247364748401424938483059359692183123649500235965215710839660999918560320982275543653331303312835845216090754164172015094805110153131676630327259207994373702992885973620201027139738349547538984437262349199775737834542960297668923518639378232476340564132603842942976352810696223814204223208003891557139777802388026147914619255318839539149976388391414377595238361544162398365241/55101831850651744683349400841413545992501850610762479915360218518706441631678118876761451213576587802922072578504257144576250350414920952436949488926708429521585328963243830914780013003577281744842323108792279044866603768181706084457600124062132855670375844399882009633964065833272233854980194207643929183712654051289297601647566498901375016988769836972451755597706872213112138215408926206112822707552909851074218750,191932842359407864333653440957732564247364748401424938483059359692183123649500235965215710839660999918560320982275543653331303312835845216090754164172015094805110153131676630327259207994373702992885973620201027139738349547538984437262349199775737834542960297668923518639378232476340564132603842942976352810696223814204223208003891557139777802388026147914619255318839539149976388391414377595238361544162398365241/22015815966091232604610344488713193242179860132399401808733295477514865182316718678152330006763271263062928709793079416483501621927632198901268991308479392343423169681680305671666016927796318956052756285989854758986529854919172005255293138586125101246813053829981452521042824726025858154636674516582558076589485621125748739581148753587354893659753262949732879479606119900754656653015492702908297032909291078277432108799400118291935820098770630375886932888167304387309592602987809641994431734147557863378531790856604170091524677034117958672676086624909815361809768384491002782765821974640176283595051490919606437308398978354362554764388774610840807041299016037535926091197393708482295099680981094474879912637237052059740807445236840443962950045679838368108421574997154099952089403990717589645486608387982435099625859496704060665660045682720800879563418157815304791592258247666358146072039443263214620834909341551721090263960081045761519399128453677878221204310436458718674411460550957382273333448039562695482010016413421392006483692575317326209091739359892781086112279490900198157982794221268309102934102152042564117589174890000333113872305052761071063577342568887045302083378090922343876107925152994299357077204388956482308704172601018747810410027260650311308123874139362074665851779899826983718092800000000000000000000000000000000000000,8.717952705228954256306923e-927
