N,a,b,multiplicity
16,0,1,1
16,1,0,15
16,1,1,15
16,2,0,105
16,2,1,105
16,3,0,455
16,3,1,455
16,4,0,1365
16,4,1,1365
16,5,0,3003
16,5,1,3003
16,6,0,5005
16,6,1,5005
16,7,0,6435
16,7,1,6435
16,8,0,6435
16,8,1,6435
16,9,0,5005
16,9,1,5005
16,10,0,3003
16,10,1,3003
16,11,0,1365
16,11,1,1365
16,12,0,455
16,12,1,455
16,13,0,105
16,13,1,105
16,14,0,15
16,14,1,15
16,15,0,1
16,15,1,1
