n,degree,coefficient
21,24,18302958
21,25,17154211
21,26,14774585
21,27,11626681
21,28,8310088
21,29,5360478
21,30,3099694
21,31,1594770
21,32,723843
21,33,286892
21,34,98040
21,35,28407
21,36,6820
21,37,1311
21,38,191
21,39,19
21,40,1
22,0,1
22,1,0
22,2,21
22,3,20
22,4,229
22,5,398
22,6,1860
22,7,4048
22,8,12494
22,9,28274
22,10,70057
22,11,151220
22,12,325437
22,13,648134
22,14,1247356
22,15,2265360
22,16,3933700
22,17,6478310
22,18,10150681
22,19,15075100
22,20,21210623
22,21,28188070
22,22,35304658
22,23,41531360
22,24,45731249
22,25,46940410
22,26,44717660
22,27,39346440
22,28,31814434
22,29,23512172
22,30,15793136
22,31,9583920
22,32,5220411
22,33,2533952
22,34,1086879
22,35,407796
22,36,132145
22,37,36366
22,38,8304
22,39,1520
22,40,211
22,41,20
22,42,1
23,0,1
23,1,0
23,2,22
23,3,21
23,4,251
23,5,439
23,6,2128
23,7,4691
23,8,14936
23,9,34461
23,10,87878
23,11,194398
23,12,430784
23,13,883015
23,14,1754260
23,15,3293239
23,16,5926952
23,17,10140935
23,18,16558982
23,19,25713632
23,20,37975728
23,21,53207075
23,22,70609316
23,23,88511733
23,24,104526093
23,25,115900061
23,26,120235108
23,27,116229925
23,28,104251853
23,29,86362958
23,30,65759264
23,31,45789534
23,32,29002697
23,33,16614440
23,34,8554350
23,35,3930587
23,36,1598413
23,37,569487
23,38,175504
23,39,45999
23,40,10016
23,41,1750
23,42,232
23,43,21
23,44,1
24,0,1
24,1,0
24,2,23
24,3,22
24,4,274
24,5,482
24,6,2420
24,7,5398
24,8,17707
24,9,41594
24,10,109001
24,11,246680
24,12,561840
24,13,1182760
24,14,2419925
24,15,4683158
24,16,8709091
24,17,15427426
24,18,26148559
24,19,42262868
24,20,65173242
24,21,95685812
24,22,133604049
24,23,177023466
24,24,222115782
24,25,263206638
24,26,293720852
24,27,307647434
24,28,301370446
24,29,275030302
24,30,232861903
24,31,182118620
24,32,130967575
24,33,86186260
24,34,51637535
24,35,28012498
24,36,13675554
24,37,5966342
24,38,2307038
24,39,782686
24,40,229999
24,41,57554
24,42,11978
24,43,2002
24,44,254
24,45,22
24,46,1
25,0,1
25,1,0
25,2,24
25,3,23
25,4,298
25,5,527
25,6,2737
25,7,6172
25,8,20834
25,9,49763
25,10,133841
25,11,309397
25,12,723123
25,13,1560496
25,14,3281510
25,15,6531583
25,16,12518935
25,17,22892723
25,18,40144141
25,19,67279871
25,20,107871037
25,21,165146194
25,22,241256028
25,23,335704011
25,24,444231564
25,25,557819793
25,26,663143211
25,27,744339816
25,28,786508807
25,29,779796329
25,30,722899693
25,31,624251561
25,32,500158564
25,33,370269758
25,34,252176930
25,35,157281943
25,36,89395000
25,37,46055981
25,38,21379447
25,39,8880562
25,40,3273724
25,41,1060223
25,42,297781
25,43,71302
25,44,14213
25,45,2277
25,46,277
25,47,23
25,48,1
26,0,1
26,1,0
26,2,25
26,3,24
26,4,323
26,5,574
26,6,3080
26,7,7016
26,8,24345
26,9,59062
26,10,162844
26,11,384000
26,12,919681
26,13,2031176
26,14,4382369
26,15,8953664
26,16,17648870
26,17,33234150
26,18,60128373
26,19,104168176
26,20,173032181
26,21,275123860
26,22,418587447
26,23,608502184
26,24,844168137
26,25,1115639586
26,26,1401987930
26,27,1671581968
26,28,1886344400
26,29,2009274506
26,30,2014174527
26,31,1894085680
26,32,1665191198
26,33,1363712308
26,34,1036418992
26,35,728091096
26,36,470841375
26,37,279057370
26,38,150864086
26,39,74008952
26,40,32751047
26,41,12984510
26,42,4574174
26,43,1417328
26,44,381294
26,45,87538
26,46,16745
26,47,2576
26,48,301
26,49,24
26,50,1
27,0,1
27,1,0
27,2,26
27,3,25
27,4,349
27,5,623
27,6,3450
27,7,7933
27,8,28269
27,9,69589
27,10,196488
27,11,472065
27,12,1157128
27,13,2611734
27,14,5772730
27,15,12085699
27,16,24453320
27,17,47317749
27,18,88118670
27,19,157386558
27,20,270048859
27,21,444453180
27,22,701597294
27,23,1060957463
27,24,1535553757
27,25,2124078343
27,26,2803975860
27,27,3526066273
27,28,4215574482
27,29,4780692067
27,30,5129997104
27,31,5194635020
27,32,4949199844
27,33,4422830622
27,34,3695052740
27,35,2876045466
27,36,2078069520
27,37,1388594841
27,38,854706850
27,39,482550961
27,40,248743523
27,41,116470785
27,42,49249508
27,43,18678231
27,44,6301494
27,45,1871947
27,46,483300
27,47,106582
27,48,19599
27,49,2900
27,50,326
27,51,25
27,52,1
28,0,1
28,1,0
28,2,27
28,3,26
28,4,376
28,5,674
28,6,3848
28,7,8926
28,8,32636
28,9,81446
28,10,235284
28,11,575298
28,12,1441681
28,13,3321246
28,14,7510416
28,15,16087794
28,16,33358085
28,17,66207898
28,18,126655589
28,19,232694604
28,20,411385911
28,21,698856416
28,22,1140975473
28,23,1788420490
28,24,2689606330
28,25,3876421426
28,26,5347968374
28,27,7052132546
28,28,8874034647
28,29,10635988422
28,30,12116989147
28,31,13091149664
28,32,13379746288
28,33,12901474288
28,34,11703370898
28,35,9957509836
28,36,7921076630
28,37,5871868452
28,38,4042313841
28,39,2574988566
28,40,1511992382
28,41,815014222
28,42,401479306
28,43,179824350
28,44,72811905
28,45,26470378
28,46,8569203
28,47,2445084
28,48,606905
28,49,128780
28,50,22801
28,51,3250
28,52,352
28,53,26
28,54,1
29,0,1
29,1,0
29,2,28
29,3,27
29,4,404
29,5,727
29,6,4275
29,7,9998
29,8,37477
29,9,94739
29,10,279777
29,11,695540
29,12,1780198
29,13,4181097
29,14,9661609
29,15,21146726
29,16,44870596
29,17,91200457
29,18,178903823
29,19,337439421
29,20,613349546
29,21,1072888072
29,22,1806764620
29,23,2926655085
29,24,4558044830
29,25,6818894489
29,26,9789917787
29,27,13472546486
29,28,17748069294
29,29,22346581133
29,30,26846320149
29,31,30714130129
29,32,33393250079
29,33,34423170396
29,34,33561760852
29,35,30867302282
29,36,26705911898
29,37,21672385398
29,38,16446664082
29,39,11634464009
29,40,7646743828
29,41,4653251647
29,42,2612015125
29,43,1347068370
29,44,635437330
29,45,272805139
29,46,105979539
29,47,37001365
29,48,11514610
29,49,3161170
29,50,755586
29,51,154505
29,52,26378
29,53,3627
29,54,379
29,55,27
29,56,1
30,0,1
30,1,0
30,2,29
30,3,28
30,4,433
30,5,782
30,6,4732
30,7,11152
30,8,42824
30,9,109578
30,10,330547
30,11,834772
30,12,2180217
30,13,5215154
30,14,12301658
30,15,27479016
30,16,59591137
30,17,123859694
30,18,248766978
30,19,480888112
30,20,896998186
30,21,1612291128
30,22,2794145822
30,23,4665332304
30,24,7503044045
30,25,11613988074
30,26,17290435680
