n,naturally_labelled_posets,friendly_rank,count
0,1,0,1
1,1,0,1
2,2,0,1
2,2,1,1
3,7,0,1
3,7,1,2
3,7,2,4
4,40,0,1
4,40,1,3
4,40,2,9
4,40,3,27
5,357,0,1
5,357,1,4
5,357,2,15
5,357,3,62
5,357,4,275
6,4824,0,1
6,4824,1,5
6,4824,2,22
6,4824,3,106
6,4824,4,620
6,4824,5,4070
7,96428,0,1
7,96428,1,6
7,96428,2,30
7,96428,3,160
7,96428,4,1047
7,96428,5,8906
7,96428,6,86278
