m,u,v,g1,g2,g3,H_discriminant,G_discriminant_formula,G_degree,G_all_real,H_all_real
421,1031,292299,1262,530692,74326162,-106235,-34099501004,3,False,False
422,1034,293691,1265,533218,74857757,-105608,-33980782831,3,False,False
423,1036,295144,1268,535751,75391823,-107280,-34786589855,3,False,False
424,1039,296587,1271,538289,75928437,-106827,-34751904652,3,False,False
425,1041,298012,1274,540834,76467613,-108367,-35502075227,3,False,False
426,1043,299388,1277,543385,77009388,-109703,-36159356499,3,False,False
427,1046,300665,1280,545941,77553818,-108544,-35777062912,3,False,False
428,1048,302139,1283,548504,78100613,-110252,-36621667631,3,False,False
429,1051,303606,1286,551072,78649983,-109823,-36600002875,3,False,False
430,1053,305060,1289,553647,79201940,-111431,-37403924083,3,False,False
431,1056,306485,1292,556227,79756506,-110804,-37283600088,3,False,False
432,1058,307719,1295,558814,80313849,-111512,-37639762143,3,False,False
433,1061,309214,1298,561406,80873523,-111135,-37646030235,3,False,False
434,1063,310704,1301,564005,81435800,-112847,-38514326675,3,False,False
435,1066,312184,1304,566609,82000691,-112380,-38475790535,3,False,False
436,1068,313644,1307,569220,82568212,-113952,-39281396912,3,False,False
437,1070,315049,1310,571837,83138404,-115296,-39976773104,3,False,False
438,1073,316369,1313,574459,83711303,-114147,-39585098416,3,False,False
439,1075,317881,1316,577088,84286638,-115899,-40496261932,3,False,False
440,1078,319385,1319,579722,84864615,-115456,-40471388023,3,False,False
441,1080,320874,1322,582363,85445247,-117096,-41333432703,3,False,False
442,1083,322332,1325,585009,86028556,-116439,-41196390563,3,False,False
443,1085,323604,1328,587662,86614703,-117191,-41594048539,3,False,False
444,1088,325137,1331,590320,87203247,-116804,-41600637231,3,False,False
445,1090,326664,1334,592985,87794461,-118556,-42534577623,3,False,False
446,1092,328180,1337,595656,88388356,-120256,-43450701248,3,False,False
447,1095,329675,1340,598332,88984948,-119675,-43353475760,3,False,False
448,1097,331107,1343,601015,89584285,-121019,-44083845680,3,False,False
449,1100,332473,1346,603703,90186376,-119892,-43689880376,3,False,False
450,1102,334022,1349,606398,90790978,-121684,-44668819512,3,False,False
451,1105,335563,1352,609098,91398288,-121227,-44640498592,3,False,False
452,1107,337088,1355,611805,92008320,-122903,-45565590675,3,False,False
453,1110,338578,1358,614517,92621099,-122212,-45408405583,3,False,False
454,1112,339889,1361,617236,93236775,-123012,-45852556383,3,False,False
455,1115,341460,1364,619960,93854915,-122615,-45859473715,3,False,False
456,1117,343024,1367,622691,94475792,-124407,-46862290355,3,False,False
457,1119,344576,1370,625428,95099417,-126143,-47844104251,3,False,False
458,1122,346105,1373,628170,95725807,-125536,-47732993639,3,False,False
459,1124,347563,1376,630919,96355016,-126876,-48496920604,3,False,False
460,1127,348977,1379,633673,96987023,-125779,-48106465312,3,False,False
461,1129,350563,1382,636434,97621618,-127611,-49156464204,3,False,False
462,1132,352140,1385,639200,98258988,-127136,-49122145888,3,False,False
463,1134,353701,1388,641973,98899146,-128848,-50113267200,3,False,False
