m,u,v,g1,g2,g3,H_discriminant,G_discriminant_formula,G_degree,G_all_real,H_all_real
1,7,13,8,19,11,-3,-31,3,False,False
2,14,52,17,90,140,-12,20,3,True,False
3,22,118,26,212,530,12,8692,3,True,True
4,29,210,35,387,1326,1,34221,3,True,True
5,36,337,44,614,2663,-52,94693,3,True,False
6,43,486,53,893,4698,-95,256877,3,True,False
7,50,660,62,1224,7572,-140,621264,3,True,False
8,58,860,71,1606,11428,-76,1515316,3,True,False
9,65,1101,80,2041,16395,-179,2846841,3,True,False
10,72,1360,89,2528,22640,-256,5160256,3,True,False
11,79,1643,98,3067,30301,-331,8918497,3,True,False
12,87,1950,107,3657,39522,-231,15426381,3,True,False
13,94,2304,116,4300,50424,-380,24148032,3,True,False
14,101,2673,125,4995,63183,-491,36924672,3,True,False
15,108,3065,134,5742,77935,-596,55019437,3,True,False
16,115,3481,143,6541,94823,-699,80054240,3,True,False
17,123,3945,152,7391,113967,-651,115723385,3,True,False
18,130,4427,161,8294,135541,-808,160976841,3,True,False
19,137,4927,170,9249,159689,-939,220465097,3,True,False
20,144,5451,179,10256,186549,-1068,297380609,3,True,False
21,151,6025,188,11315,216239,-1299,394712641,3,True,False
22,159,6620,197,12425,248932,-1199,523284333,3,True,False
23,166,7230,206,13588,284778,-1364,678372948,3,True,False
24,173,7862,215,14803,323914,-1519,870320365,3,True,False
25,180,8541,224,16070,366459,-1764,1104643709,3,True,False
26,187,9252,233,17389,412572,-2039,1389337821,3,True,False
27,195,9972,242,18759,462420,-1863,1745552808,3,True,False
28,202,10713,251,20182,516135,-2048,2160922497,3,True,False
29,209,11487,260,21657,573849,-2267,2655306441,3,True,False
30,216,12324,269,23184,635676,-2640,3238254240,3,True,False
31,224,13154,278,24762,701830,-2440,3946088884,3,True,False
32,231,14004,287,26393,772428,-2655,4756349813,3,True,False
33,238,14876,296,28076,847612,-2860,5701322832,3,True,False
34,245,15835,305,29811,927461,-3315,6792686324,3,True,False
35,252,16776,314,31598,1012224,-3600,8058068144,3,True,False
36,260,17735,323,33436,1102009,-3340,9547418497,3,True,False
37,267,18715,332,35327,1196957,-3571,11222125801,3,True,False
38,274,19785,341,37270,1297143,-4064,13128123345,3,True,False
39,281,20838,350,39265,1402818,-4391,15302864652,3,True,False
40,288,21906,359,41312,1514094,-4680,17771844812,3,True,False
41,296,22995,368,43410,1631109,-4364,20616820221,3,True,False
42,303,24173,377,45561,1753939,-4883,23763717364,3,True,False
43,310,25340,386,47764,1882828,-5260,27307790416,3,True,False
44,317,26517,395,50019,2017899,-5579,31285039572,3,True,False
45,324,27714,404,52326,2159286,-5880,35735217396,3,True,False
46,332,29000,413,54684,2307064,-5776,40769945008,3,True,False
47,339,30281,422,57095,2461471,-6203,46299409881,3,True,False
48,346,31568,431,59558,2622640,-6556,52444876356,3,True,False
49,353,32874,440,62073,2790702,-6887,59257612944,3,True,False
50,361,34263,449,64639,2965737,-6731,66889282356,3,True,False
51,368,35661,458,67258,3147963,-7220,75207317637,3,True,False
52,375,37059,467,69929,3337533,-7611,84376975316,3,True,False
53,382,38474,476,72652,3534574,-7972,94462909588,3,True,False
54,389,39960,485,75427,3739176,-8519,105524821701,3,True,False
55,397,41481,494,78253,3951519,-8315,117798558729,3,True,False
56,404,42990,503,81132,4171794,-8744,131080085052,3,True,False
57,411,44514,512,84063,4400118,-9135,145590753528,3,True,False
58,418,46082,521,87046,4636606,-9604,161412456904,3,True,False
59,425,47740,530,90081,4881356,-10335,178626000704,3,True,False
60,433,49361,539,93167,5134639,-9955,197575381812,3,True,False
61,440,50994,548,96306,5396550,-10376,217942368180,3,True,False
62,447,52646,557,99497,5667226,-10775,240033052197,3,True,False
63,454,54438,566,102740,5946690,-11636,263925354740,3,True,False
64,462,56171,575,106034,6235285,-11240,290067874209,3,True,False
65,469,57914,584,109381,6533086,-11695,318044598976,3,True,False
66,476,59675,593,112780,6840229,-12124,348238972561,3,True,False
67,483,61574,602,116231,7156738,-13007,380748266484,3,True,False
68,490,63421,611,119734,7482947,-13584,415780624793,3,True,False
69,498,65274,620,123288,7818942,-13092,453825754644,3,True,False
70,505,67144,629,126895,8164856,-13551,494343862157,3,True,False
71,512,69148,638,130554,8520716,-14448,537793015904,3,True,False
72,519,71111,647,134265,8886841,-15083,584410658356,3,True,False
73,526,73074,656,138028,9263334,-15620,634362008244,3,True,False
74,534,75052,665,141842,9650324,-15052,688293189556,3,True,False
75,541,77160,674,145709,10047840,-15959,745445216720,3,True,False
76,548,79240,683,149628,10456184,-16656,806527580912,3,True,False
77,555,81314,692,153599,10875478,-17231,871743562776,3,True,False
78,562,83402,701,157622,11305846,-17764,941304433992,3,True,False
79,570,85607,710,161696,11747329,-17528,1015984574469,3,True,False
80,577,87808,719,165823,12200192,-18303,1094915759333,3,True,False
81,584,89994,728,170002,12664590,-18920,1178917593204,3,True,False
82,591,92191,737,174233,13140641,-19483,1268233737712,3,True,False
83,599,94486,746,178515,13628402,-19143,1363801155044,3,True,False
84,606,96815,755,182850,14128081,-20024,1464525449353,3,True,False
85,613,99113,764,187237,14639887,-20683,1571411607625,3,True,False
86,620,101420,773,191676,15163924,-21280,1684734594352,3,True,False
