a,b,c,F_discriminant,g1,g2,g3,h1,h2,G_discriminant_formula,H_discriminant,G_all_real,H_all_real
3,3,1,0,2,1,0,2,1,0,0,True,True
4,4,1,5,3,1,0,3,1,5,5,True,True
4,5,2,0,3,2,0,3,2,4,1,True,True
5,5,1,48,4,2,0,3,1,32,5,True,True
5,6,1,49,4,3,0,3,1,36,5,True,True
5,6,2,8,4,3,0,3,2,36,1,True,True
5,7,2,5,4,3,0,4,2,36,8,True,True
5,7,3,0,4,3,0,4,3,36,4,True,True
5,8,4,0,4,4,1,4,3,5,4,True,True
6,5,1,49,5,2,0,3,1,68,5,True,True
6,6,1,189,5,3,0,3,1,117,5,True,True
6,7,1,257,5,3,0,4,1,117,12,True,True
6,7,2,68,5,3,0,4,2,117,8,True,True
6,8,1,229,5,4,0,4,1,144,12,True,True
6,8,2,148,5,4,0,4,2,144,8,True,True
6,8,3,13,5,4,0,4,3,144,4,True,True
6,9,1,81,5,5,0,4,1,125,12,True,True
6,9,2,108,5,5,0,4,2,125,8,True,True
6,9,3,81,5,5,0,4,3,125,4,True,True
6,9,4,0,5,5,1,4,3,48,4,True,True
6,10,3,5,5,6,0,4,3,36,4,True,True
6,10,4,32,5,6,1,4,3,49,4,True,True
6,10,5,5,5,6,1,4,4,49,0,True,True
6,11,6,4,5,6,1,5,5,49,5,True,True
6,12,8,0,5,7,2,5,6,5,1,True,True
7,6,1,257,6,3,0,3,1,216,5,True,True
7,7,1,512,6,3,0,4,1,216,12,True,True
7,8,1,697,6,4,0,4,1,320,12,True,True
7,8,2,252,6,4,0,4,2,320,8,True,True
7,9,1,788,6,5,0,4,1,400,12,True,True
7,9,2,469,6,5,0,4,2,400,8,True,True
7,9,3,96,6,5,0,4,3,400,4,True,True
7,10,1,761,6,6,0,4,1,432,12,True,True
7,10,2,568,6,6,0,4,2,432,8,True,True
7,10,3,321,6,6,0,4,3,432,4,True,True
7,10,4,20,6,6,1,4,3,189,4,True,True
7,11,1,592,6,6,0,5,1,432,21,True,True
7,11,2,525,6,6,0,5,2,432,17,True,True
7,11,3,404,6,6,0,5,3,432,13,True,True
7,11,4,229,6,6,1,5,3,189,13,True,True
7,11,5,0,6,6,1,5,4,189,9,True,True
7,12,1,257,6,7,0,5,1,392,21,True,True
7,12,2,316,6,7,0,5,2,392,17,True,True
7,12,3,321,6,7,0,5,3,392,13,True,True
7,12,4,272,6,7,1,5,3,257,13,True,True
7,12,5,169,6,7,1,5,4,257,9,True,True
7,12,6,12,6,7,1,5,5,257,5,True,True
7,13,3,48,6,8,0,5,3,256,13,True,True
7,13,4,125,6,8,1,5,3,229,13,True,True
7,13,5,148,6,8,1,5,4,229,9,True,True
7,13,6,117,6,8,1,5,5,229,5,True,True
7,13,7,32,6,8,2,5,5,148,5,True,True
7,14,6,8,6,9,1,5,5,81,5,True,True
7,14,7,49,6,9,2,5,5,108,5,True,True
7,14,8,36,6,9,2,5,6,108,1,True,True
