order,digit_cumulant
2,1/(2*alpha + 1)
4,-6/((2*alpha + 1)**2*(2*alpha + 3))
6,240/((2*alpha + 1)**3*(2*alpha + 3)*(2*alpha + 5))
8,-5040*(10*alpha + 17)/((2*alpha + 1)**4*(2*alpha + 3)**2*(2*alpha + 5)*(2*alpha + 7))
10,725760*(14*alpha + 31)/((2*alpha + 1)**5*(2*alpha + 3)**2*(2*alpha + 5)*(2*alpha + 7)*(2*alpha + 9))
