alpha,q,variance,beta_1,beta_1_over_variance,beta_2,beta_2_over_variance,beta_3,beta_3_over_variance,beta_4,beta_4_over_variance,beta_5,beta_5_over_variance
0.03,0.05,0.8535489667565137,0.8535489667565139,1.0000000000000002,0.04181976747787526,0.04899515916092124,0.32832465009881817,0.3846582479578787,0.3451385910315206,0.40435710717692896,0.24508920017046829,0.28714134714708556
0.03,0.25,0.5660377358490565,0.5660377358490566,1.0000000000000002,0.1527714304367696,0.2698961937716264,0.44200515664119944,0.7808757767327859,0.09253809252817059,0.16348396346643476,0.3493748081575022,0.6172288277449207
0.03,0.5,0.31446540880503143,0.31446540880503143,1.0,0.2589715131335553,0.823529411764706,0.25609020549080247,0.8143668534607519,0.24986039536416277,0.7945560572580377,0.2551379044698359,0.8113385362140783
0.03,0.75,0.1347708894878706,0.1347708894878706,1.0,0.19554991808043973,1.450980392156863,0.2170138527965254,1.6102427877502186,0.22595738541652619,1.6766037997906245,0.23327638438633985,1.730910772146642
0.03,0.95,0.024189646831156285,0.02418964683115629,1.0000000000000002,0.04594854921765746,1.899513024657958,0.06545297715901577,2.7058260757537096,0.08288001455672762,3.4262598017751174,0.0984061166341407,4.068108861655373
0.07,0.05,0.7936507936507934,0.7936507936507936,1.0000000000000002,0.07833514989192675,0.09870228886382773,0.26049563189572345,0.32822449618861166,0.31375408075160427,0.3953301417470215,0.28197282899663423,0.3552857645357593
0.07,0.25,0.5263157894736841,0.5263157894736842,1.0000000000000002,0.16525014296700913,0.3139752716373174,0.4003070617166373,0.7605834172616112,0.1393080921245648,0.26468537503667317,0.26797072463526517,0.509144376807004
0.07,0.5,0.29239766081871343,0.29239766081871343,1.0,0.2495623347115134,0.8535031847133758,0.2535271834195286,0.8670629672947879,0.2449956632326001,0.8378851682554924,0.2562062365556782,0.8762253290204195
0.07,0.75,0.12531328320802004,0.12531328320802004,1.0,0.1835799690308574,1.4649681528662422,0.20643385151836102,1.647342135116521,0.21761160217806397,1.7365405853809506,0.22612081696528125,1.8044441193829444
0.07,0.95,0.022492127755285668,0.02249212775528567,1.0000000000000002,0.04278167346769411,1.9020732023736786,0.061030278145005924,2.713406166326961,0.07739979168612784,3.4411947383652413,0.09205085077951482,4.092580825657225
0.25,0.05,0.603174603174603,0.6031746031746031,1.0000000000000002,0.17749277599651664,0.29426433915211975,0.23183866062848582,0.38436409525248977,0.2577379172963012,0.4273023365701836,0.27011574781829684,0.4478234766461238
0.25,0.25,0.4,0.4,1.0,0.1949579831932773,0.48739495798319327,0.30695389802894874,0.7673847450723718,0.2247451264718892,0.561862816179723,0.2242947242829558,0.5607368107073895
