alpha,q,N,theta,residual
1.3,0.1,0,0.0,-0.5206953314812913
1.3,0.1,0,0.004166666666666667,-0.5210576183463616
1.3,0.1,0,0.008333333333333333,-0.5214067242280324
1.3,0.1,0,0.0125,-0.521742904191827
1.3,0.1,0,0.016666666666666666,-0.5220664136342117
1.3,0.1,0,0.020833333333333332,-0.5223775082510805
1.3,0.1,0,0.025,-0.5226764440054669
1.3,0.1,0,0.029166666666666667,-0.5229634770945361
1.3,0.1,0,0.03333333333333333,-0.5232388639158044
1.3,0.1,0,0.0375,-0.5235028610325965
1.3,0.1,0,0.041666666666666664,-0.5237557251387526
1.3,0.1,0,0.04583333333333333,-0.5239977130225287
1.3,0.1,0,0.05,-0.5242290815297397
1.3,0.1,0,0.05416666666666667,-0.524450087526106
1.3,0.1,0,0.058333333333333334,-0.5246609878588002
1.3,0.1,0,0.0625,-0.5248620393172033
1.3,0.1,0,0.06666666666666667,-0.5250534985928448
1.3,0.1,0,0.07083333333333333,-0.5252356222385539
1.3,0.1,0,0.075,-0.525408666626765
1.3,0.1,0,0.07916666666666666,-0.5255728879070307
1.3,0.1,0,0.08333333333333333,-0.5257285419627051
1.3,0.1,0,0.0875,-0.5258758843667884
1.3,0.1,0,0.09166666666666666,-0.5260151703369723
1.3,0.1,0,0.09583333333333333,-0.5261466546898169
1.3,0.1,0,0.1,-0.5262705917941223
1.3,0.1,0,0.10416666666666667,-0.5263872355234598
1.3,0.1,0,0.10833333333333334,-0.526496839207852
1.3,0.1,0,0.1125,-0.5265996555846382
1.3,0.1,0,0.11666666666666667,-0.5266959367484942
1.3,0.1,0,0.12083333333333333,-0.5267859341006049
1.3,0.1,0,0.125,-0.5268698982970272
1.3,0.1,0,0.12916666666666665,-0.5269480791961952
1.3,0.1,0,0.13333333333333333,-0.5270207258056152
1.3,0.1,0,0.1375,-0.5270880862277282
1.3,0.1,0,0.14166666666666666,-0.5271504076049351
1.3,0.1,0,0.14583333333333334,-0.5272079360638342
1.3,0.1,0,0.15,-0.5272609166586173
1.3,0.1,0,0.15416666666666667,-0.5273095933136798
1.3,0.1,0,0.15833333333333333,-0.5273542087654209
1.3,0.1,0,0.1625,-0.5273950045032585
1.3,0.1,0,0.16666666666666666,-0.5274322207098608
1.3,0.1,0,0.17083333333333334,-0.5274660962006074
1.3,0.1,0,0.175,-0.5274968683622915
1.3,0.1,0,0.17916666666666667,-0.5275247730910682
1.3,0.1,0,0.18333333333333332,-0.527550044729665
1.3,0.1,0,0.1875,-0.5275729160038855
1.3,0.1,0,0.19166666666666665,-0.5275936179583844
1.3,0.1,0,0.19583333333333333,-0.5276123798917706
1.3,0.1,0,0.2,-0.5276294292910199
1.3,0.1,0,0.20416666666666666,-0.5276449917652513
1.3,0.1,0,0.20833333333333334,-0.5276592909788423
1.3,0.1,0,0.2125,-0.527672548583969
1.3,0.1,0,0.21666666666666667,-0.5276849841525049
1.3,0.1,0,0.22083333333333333,-0.5276968151073889
1.3,0.1,0,0.225,-0.5277082566534445
1.3,0.1,0,0.22916666666666666,-0.5277195217076496
1.3,0.1,0,0.23333333333333334,-0.5277308208289717
1.3,0.1,0,0.2375,-0.5277423621476928
1.3,0.1,0,0.24166666666666667,-0.5277543512943275
1.3,0.1,0,0.24583333333333332,-0.527766991328142
1.3,0.1,0,0.25,-0.5277804826653075
1.3,0.1,0,0.25416666666666665,-0.5277950230067254
1.3,0.1,0,0.2583333333333333,-0.5278108072655547
1.3,0.1,0,0.2625,-0.5278280274944976
1.3,0.1,0,0.26666666666666666,-0.5278468728128644
1.3,0.1,0,0.2708333333333333,-0.5278675293334674
1.3,0.1,0,0.275,-0.5278901800893869
1.3,0.1,0,0.2791666666666667,-0.5279150049606565
1.3,0.1,0,0.2833333333333333,-0.5279421806009127
1.3,0.1,0,0.2875,-0.5279718803640611
1.3,0.1,0,0.2916666666666667,-0.5280042742309909
1.3,0.1,0,0.29583333333333334,-0.5280395287364279
1.3,0.1,0,0.3,-0.52807780689594
1.3,0.1,0,0.30416666666666664,-0.5281192681331749
1.3,0.1,0,0.30833333333333335,-0.5281640682073817
1.3,0.1,0,0.3125,-0.5282123591412738
1.3,0.1,0,0.31666666666666665,-0.528264289149297
1.3,0.1,0,0.3208333333333333,-0.5283200025663652
1.3,0.1,0,0.325,-0.5283796397771273
1.3,0.1,0,0.32916666666666666,-0.5284433371458379
1.3,0.1,0,0.3333333333333333,-0.5285112269468886
1.3,0.1,0,0.3375,-0.5285834372960816
1.3,0.1,0,0.3416666666666667,-0.5286600920827147
1.3,0.1,0,0.3458333333333333,-0.5287413109025464
1.3,0.1,0,0.35,-0.528827208991731
1.3,0.1,0,0.3541666666666667,-0.5289178971617712
1.3,0.1,0,0.35833333333333334,-0.5290134817356097
1.3,0.1,0,0.3625,-0.5291140644848984
1.3,0.1,0,0.36666666666666664,-0.5292197425685583
1.3,0.1,0,0.37083333333333335,-0.5293306084726913
1.3,0.1,0,0.375,-0.5294467499519542
1.3,0.1,0,0.37916666666666665,-0.529568249972449
1.3,0.1,0,0.3833333333333333,-0.5296951866562397
1.3,0.1,0,0.3875,-0.5298276332275942
1.3,0.1,0,0.39166666666666666,-0.5299656579610006
1.3,0.1,0,0.3958333333333333,-0.5301093241310924
1.3,0.1,0,0.4,-0.530258689964558
1.3,0.1,0,0.4041666666666667,-0.5304138085941165
1.3,0.1,0,0.4083333333333333,-0.5305747280146764
1.3,0.1,0,0.4125,-0.5307414910417452
1.3,0.1,0,0.4166666666666667,-0.5309141352722149
1.3,0.1,0,0.42083333333333334,-0.5310926930475894
1.3,0.1,0,0.425,-0.5312771914197756
1.3,0.1,0,0.42916666666666664,-0.5314676521195172
1.3,0.1,0,0.43333333333333335,-0.5316640915275643
1.3,0.1,0,0.4375,-0.5318665206486968
1.3,0.1,0,0.44166666666666665,-0.53207494508867
1.3,0.1,0,0.4458333333333333,-0.5322893650342044
1.3,0.1,0,0.45,-0.5325097752360832
1.3,0.1,0,0.45416666666666666,-0.5327361649954796
1.3,0.1,0,0.4583333333333333,-0.5329685181535939
1.3,0.1,0,0.46249999999999997,-0.5332068130846854
1.3,0.1,0,0.4666666666666667,-0.5334510226926032
1.3,0.1,0,0.4708333333333333,-0.5337011144108983
1.3,0.1,0,0.475,-0.533957050206596
1.3,0.1,0,0.4791666666666667,-0.5342187865877208
1.3,0.1,0,0.48333333333333334,-0.5344862746146645
1.3,0.1,0,0.4875,-0.5347594599154529
1.3,0.1,0,0.49166666666666664,-0.5350382827050129
1.3,0.1,0,0.49583333333333335,-0.5353226778085022
1.3,0.1,0,0.5,-0.5356125746887705
1.3,0.1,0,0.5041666666666667,-0.535907897478027
1.3,0.1,0,0.5083333333333333,-0.5362085650137675
1.3,0.1,0,0.5125,-0.5365144908790389
1.3,0.1,0,0.5166666666666666,-0.5368255834470766
1.3,0.1,0,0.5208333333333334,-0.5371417459303685
1.3,0.1,0,0.525,-0.5374628764342135
1.3,0.1,0,0.5291666666666667,-0.5377888680147854
1.3,0.1,0,0.5333333333333333,-0.5381196087417668
1.3,0.1,0,0.5375,-0.5384549817655522
1.3,0.1,0,0.5416666666666666,-0.5387948653890807
1.3,0.1,0,0.5458333333333333,-0.5391391331442905
1.3,0.1,0,0.55,-0.5394876538732234
1.3,0.1,0,0.5541666666666667,-0.539840291813773
1.3,0.1,0,0.5583333333333333,-0.5401969066900899
1.3,0.1,0,0.5625,-0.5405573538076267
1.3,0.1,0,0.5666666666666667,-0.5409214841528198
1.3,0.1,0,0.5708333333333333,-0.5412891444973736
1.3,0.1,0,0.575,-0.5416601775071255
1.3,0.1,0,0.5791666666666666,-0.5420344218554626
1.3,0.1,0,0.5833333333333334,-0.5424117123412242
1.3,0.1,0,0.5875,-0.5427918800110734
1.3,0.1,0,0.5916666666666667,-0.5431747522862352
1.3,0.1,0,0.5958333333333333,-0.5435601530935722
1.3,0.1,0,0.6,-0.5439479030008953
1.3,0.1,0,0.6041666666666666,-0.5443378193564409
1.3,0.1,0,0.6083333333333333,-0.5447297164323983
1.3,0.1,0,0.6125,-0.5451234055724333
1.3,0.1,0,0.6166666666666667,-0.5455186953430251
1.3,0.1,0,0.6208333333333333,-0.545915391688582
1.3,0.1,0,0.625,-0.5463132980901346
1.3,0.1,0,0.6291666666666667,-0.5467122157275137
1.3,0.1,0,0.6333333333333333,-0.5471119436448691
1.3,0.1,0,0.6375,-0.5475122789193456
1.3,0.1,0,0.6416666666666666,-0.5479130168328015
1.3,0.1,0,0.6458333333333334,-0.5483139510463558
1.3,0.1,0,0.65,-0.5487148737776162
1.3,0.1,0,0.6541666666666667,-0.5491155759804135
1.3,0.1,0,0.6583333333333333,-0.5495158475268128
1.3,0.1,0,0.6625,-0.5499154773912371
1.3,0.1,0,0.6666666666666666,-0.5503142538364932
1.3,0.1,0,0.6708333333333333,-0.550711964601477
1.3,0.1,0,0.675,-0.5511083970903438
1.3,0.1,0,0.6791666666666667,-0.5515033385629353
1.3,0.1,0,0.6833333333333333,-0.5518965763262095
1.3,0.1,0,0.6875,-0.5522878979264639
1.3,0.1,0,0.6916666666666667,-0.5526770913420866
1.3,0.1,0,0.6958333333333333,-0.5530639451766338
1.3,0.1,0,0.7,-0.5534482488519311
1.3,0.1,0,0.7041666666666666,-0.5538297928010043
1.3,0.1,0,0.7083333333333334,-0.55420836866055
1.3,0.1,0,0.7125,-0.5545837694627076
1.3,0.1,0,0.7166666666666667,-0.5549557898258788
1.3,0.1,0,0.7208333333333333,-0.5553242261443275
1.3,0.1,0,0.725,-0.5556888767763062
1.3,0.1,0,0.7291666666666666,-0.5560495422304703
1.3,0.1,0,0.7333333333333333,-0.5564060253502822
1.3,0.1,0,0.7375,-0.5567581314962083
1.3,0.1,0,0.7416666666666667,-0.5571056687254035
1.3,0.1,0,0.7458333333333333,-0.5574484479686705
1.3,0.1,0,0.75,-0.5577862832044079
1.3,0.1,0,0.7541666666666667,-0.5581189916293738
1.3,0.1,0,0.7583333333333333,-0.5584463938259414
1.3,0.1,0,0.7625,-0.5587683139256864
1.3,0.1,0,0.7666666666666666,-0.55908457976903
1.3,0.1,0,0.7708333333333334,-0.5593950230607584
1.3,0.1,0,0.775,-0.5596994795211757
1.3,0.1,0,0.7791666666666667,-0.559997789032691
1.3,0.1,0,0.7833333333333333,-0.5602897957816732
1.3,0.1,0,0.7875,-0.5605753483953227
1.3,0.1,0,0.7916666666666666,-0.5608543000734643
1.3,0.1,0,0.7958333333333333,-0.5611265087150049
1.3,0.1,0,0.8,-0.5613918370389791
1.3,0.1,0,0.8041666666666667,-0.5616501526999752
1.3,0.1,0,0.8083333333333333,-0.5619013283978291
1.3,0.1,0,0.8125,-0.5621452419814706
1.3,0.1,0,0.8166666666666667,-0.562381776546777
1.3,0.1,0,0.8208333333333333,-0.5626108205283804
1.3,0.1,0,0.825,-0.5628322677852823
1.3,0.1,0,0.8291666666666666,-0.563046017680251
1.3,0.1,0,0.8333333333333334,-0.5632519751529095
1.3,0.1,0,0.8375,-0.5634500507864618
1.3,0.1,0,0.8416666666666667,-0.5636401608680386
1.3,0.1,0,0.8458333333333333,-0.563822227442623
1.3,0.1,0,0.85,-0.5639961783605468
1.3,0.1,0,0.8541666666666666,-0.5641619473185406
1.3,0.1,0,0.8583333333333333,-0.5643194738944187
1.3,0.1,0,0.8624999999999999,-0.5644687035753094
1.3,0.1,0,0.8666666666666667,-0.5646095877795888
1.3,0.1,0,0.8708333333333333,-0.5647420838724828
1.3,0.1,0,0.875,-0.5648661551754601
1.3,0.1,0,0.8791666666666667,-0.56498177096943
