d,k,ell,q_resonance
1,1,2,0.5461704274417033
1,1,3,0.37663714274600113
1,1,4,0.2875859025052999
1,1,5,0.23263870042441642
1,1,6,0.19533715377089794
1,1,7,0.16835201074538889
1,1,8,0.14792134324611908
1,1,9,0.13191477911612495
1,1,10,0.11903523057093748
1,1,11,0.10844765699992946
1,1,12,0.09959010398728826
1,1,13,0.09207048311959463
1,1,14,0.08560688714697486
1,1,15,0.07999142195749956
1,1,16,0.07506740974008314
1,1,17,0.0707145302157415
1,1,18,0.06683885168492294
1,1,19,0.06336597195905443
1,1,20,0.06023619317490515
1,1,21,0.057401059958802306
1,1,22,0.05482083170493235
1,1,23,0.05246260754065902
1,1,24,0.05029891545930288
1,1,25,0.04830663686836469
1,1,26,0.04646617706313465
1,1,27,0.04476081842227664
1,1,28,0.0431762110293119
1,1,29,0.041699967818386266
1,1,30,0.040321340047738234
1,1,31,0.039030955101117495
1,1,32,0.037820603084146524
1,1,33,0.03668306193983217
1,1,34,0.035611953208416966
1,1,35,0.03460162234450893
1,1,36,0.033647038848175326
1,1,37,0.032743712485666904
1,1,38,0.03188762265458916
1,1,39,0.031075158548778323
1,1,40,0.0303030682442853
1,1,41,0.02956841519228608
1,1,42,0.028868540891507
1,1,43,0.028201032739834785
1,1,44,0.027563696245666788
1,1,45,0.026954530924457796
1,2,3,0.6895963674016429
1,2,4,0.5265497508760596
1,2,5,0.4259452521333144
1,2,6,0.35764871907450113
1,2,7,0.3082408022967489
1,2,8,0.270833673545805
1,2,9,0.24152676982901122
1,2,10,0.2179452137833716
1,2,11,0.19856010422956277
1,2,12,0.18234254178457554
1,2,13,0.16857463988092247
1,2,14,0.15674024598505434
1,2,15,0.14645872046237365
1,2,16,0.13744319715679887
1,2,17,0.12947337802043368
1,2,18,0.12237728065578418
1,2,19,0.11601867983930332
1,2,20,0.1102882729426697
1,2,21,0.10509734155265874
1,2,22,0.10037312338882311
1,2,23,0.09605537924562702
1,2,24,0.09209380979286295
1,2,25,0.08844608649837749
1,2,26,0.08507633282304417
1,2,27,0.08195393996694242
1,2,28,0.07905263423278333
1,2,29,0.07634973576601638
1,2,30,0.07382556436935982
1,2,31,0.07146295943546586
1,2,32,0.06924688921972691
1,2,33,0.06716413063896182
1,2,34,0.06520300517775303
1,2,35,0.0633531597574499
1,2,36,0.061605383883159275
1,2,37,0.0599514562497287
1,2,38,0.05838401541429621
1,2,39,0.0568964502423471
1,2,40,0.05548280668769779
1,2,41,0.054137708134045996
1,2,42,0.052856287050782054
1,2,43,0.05163412613152674
1,2,44,0.05046720741504969
1,2,45,0.049351868153525845
1,3,4,0.7635622456366281
1,3,5,0.6176732829064199
1,3,6,0.5186348652358767
1,3,7,0.4469872767140312
1,3,8,0.39274231470547016
1,3,9,0.35024368057370925
1,3,10,0.3160475084933755
1,3,11,0.2879367027087529
1,3,12,0.26441923189304367
1,3,13,0.24445407175809447
1,3,14,0.22729273730898852
1,3,15,0.21238325401019903
1,3,16,0.19930963046495803
1,3,17,0.18775240726438494
1,3,18,0.17746218866682018
1,3,19,0.16824143125413296
1,3,20,0.15993163270019708
1,3,21,0.15240414033597527
1,3,22,0.14555343985790256
1,3,23,0.1392921769694899
1,3,24,0.13354741142252072
1,3,25,0.12825776161153074
1,3,26,0.12337120211872143
1,3,27,0.11884334639948856
1,3,28,0.11463609434407092
1,3,29,0.11071655735904981
1,3,30,0.10705619672494802
1,3,31,0.10363012743923514
1,3,32,0.10041655161358372
1,3,33,0.09739629414237226
1,3,34,0.0945524197342193
1,3,35,0.09186991514494305
1,3,36,0.08933542401808846
1,3,37,0.08693702444463584
1,3,38,0.08466404142220707
1,3,39,0.08250688798830172
1,3,40,0.08045693003974722
1,3,41,0.07850637081809694
1,3,42,0.0766481518021061
1,3,43,0.07487586735133335
1,3,44,0.07318369092518143
1,3,45,0.0715663110864123
1,4,5,0.8089363852601542
1,4,6,0.6792306301151118
1,4,7,0.5853972996547923
1,4,8,0.5143553350755538
1,4,9,0.4586969596456277
1,4,10,0.4139119113070704
1,4,11,0.3770965685563495
1,4,12,0.34629689118872203
1,4,13,0.3201495007840236
1,4,14,0.2976741432775802
1,4,15,0.2781479247092976
1,4,16,0.261026041562311
1,4,17,0.2458901135268211
1,4,18,0.2324135192394946
1,4,19,0.2203375457803835
1,4,20,0.20945461043173028
1,4,21,0.1995962231067445
1,4,22,0.19062419690034027
1,4,23,0.18242412817746584
1,4,24,0.17490049067469823
1,4,25,0.16797289591576714
1,4,26,0.16157320876421724
1,4,27,0.15564329834092525
1,4,28,0.15013326680196434
1,4,29,0.14500004157059743
1,4,30,0.14020624688651126
1,4,31,0.1357192920831653
1,4,32,0.13151062953598544
1,4,33,0.12755514655018999
1,4,34,0.1238306638057847
1,4,35,0.12031751919366512
1,4,36,0.11699822054926787
1,4,37,0.11385715433343771
1,4,38,0.11088034001945385
1,4,39,0.10805522203302591
1,4,40,0.10537049271296198
