alpha,q,variance,lambda_4,lambda_6,lambda_8,lambda_10
0.05,0.25,0.5454545454545454,-1.7077798861480076,12.511207957128265,-195.79806932242755,5261.575203410247
0.05,0.5,0.30303030303030304,-1.161290322580645,6.505828137706694,-80.51216610538218,1725.7966667185601
0.05,0.75,0.12987012987012986,-0.5419354838709678,1.546430388935133,-10.319077713165925,123.40181212830556
0.05,0.9,0.047846889952153096,-0.2031723400463375,0.22221628893103565,-0.5799790996826494,2.7620500016380087
0.25,0.25,0.4,-1.5126050420168062,10.275438846867415,-150.24389663895266,3777.3330009485076
0.25,0.5,0.2222222222222222,-1.0285714285714287,5.343228200371058,-61.78029029793736,1238.9652243111111
0.25,0.75,0.09523809523809523,-0.48000000000000004,1.2700812700812703,-7.918251955759375,88.5912904992745
0.25,0.9,0.035087719298245605,-0.17995264404104175,0.18250594950647656,-0.44504177291952296,1.9829009789112106
0.5,0.25,0.3,-1.3235294117647058,8.241758241758243,-111.52795262073703,2600.5918746870757
0.5,0.5,0.16666666666666666,-0.9000000000000001,4.2857142857142865,-45.860294117647065,852.9941348973609
0.5,0.75,0.07142857142857142,-0.42000000000000004,1.0187110187110189,-5.877818991097924,60.99271369048042
0.5,0.9,0.026315789473684206,-0.1574585635359115,0.14638498033331973,-0.33036016021131964,1.3651738336997723
1.0,0.25,0.2,-1.0588235294117643,5.651491365777079,-66.74296177615012,1365.1774161036724
1.0,0.5,0.1111111111111111,-0.7199999999999999,2.938775510204082,-27.444705882352938,447.7781924820048
1.0,0.75,0.047619047619047616,-0.33599999999999997,0.6985446985446987,-3.5175311572700294,32.01804792500953
1.0,0.9,0.017543859649122803,-0.12596685082872922,0.1003782722285621,-0.197701249123865,0.7166462777043235
1.5,0.25,0.15,-0.8823529411764706,4.120879120879121,-43.25932707713435,790.8232601387597
1.5,0.5,0.08333333333333333,-0.6,2.1428571428571432,-17.788235294117648,259.39002932551324
1.5,0.75,0.03571428571428571,-0.28,0.5093555093555094,-2.2798813056379825,18.54749188248527
1.5,0.9,0.013157894736842103,-0.10497237569060769,0.07319249016665987,-0.1281396985062088,0.41514058100811785
3.0,0.25,0.0857142857142857,-0.5882352941176471,1.9980019980019987,-15.797889453188153,220.8311679737187
3.0,0.5,0.047619047619047616,-0.39999999999999997,1.0389610389610389,-6.496092143150967,72.43262309537968
3.0,0.75,0.02040816326530612,-0.18666666666666668,0.24696024696024696,-0.8325906865966213,5.179241054029716
3.0,0.9,0.007518796992481201,-0.06998158379373846,0.035487267959592665,-0.04679538329286569,0.11592473817882538
10.0,0.25,0.02857142857142857,-0.23017902813299232,0.34400382226469184,-1.2757003826149262,8.67937578932131
10.0,0.5,0.015873015873015872,-0.1565217391304348,0.17888198757763976,-0.5245679973312577,2.8468352588973906
10.0,0.75,0.006802721088435374,-0.07304347826086957,0.04252011208532947,-0.06723279464641307,0.20356084616078454
10.0,0.9,0.0025062656641604004,-0.027384098006245482,0.006109981787825519,-0.003778788840636781,0.0045562153891811705
