target,N,observed_best_r_in_scan,balancing_prediction,sampled_best_error,check_level
fabius,32,8,9.14285714286,7.62256688e-07,11
up,32,8,9.14285714286,4.0848433900000002e-05,11
fabius,64,14,14.2222222222,1.7766099999999999e-06,11
up,64,13,14.2222222222,0.000212427,11
fabius,128,23,23.2727272727,0.0039783099999999997,11
up,128,23,23.2727272727,5.3129200000000001,11
