N,r_balance,rounded_r,half_cell_mode,one_third_mode,near_center_mode
16,6.4,6,0.000378608497676183511,0.119281723970160511,0.320206328464337275
32,9.14285714286,9,0.0000243270743070719518,0.103526368276372743,0.196517213896606058
64,14.2222222222,14,1.55393385796187831e-6,0.175804116397530181,0.0318371258204839995
128,23.2727272727,23,2.46424615899123238e-8,1.14180234354044445,0.00133606289881160465
256,39.3846153846,39,4.86771909301077802e-11,121.972436899757528,3.56781338582706002e-6
