m,family,n,cells
6,1202629120000,7,18
6,1202662281216,7,17
6,1202692554752,6,15
6,1202859671552,6,14
6,1202859672128,8,18
6,1202859687936,7,17
6,1202859704320,7,18
6,1202861638656,7,17
6,1202861639680,7,18
6,1202861900800,7,18
6,1202863604736,7,17
6,1202893094912,6,15
6,1202897027072,6,16
6,1203199016960,6,17
6,1203203211264,6,18
6,1204201979904,6,18
6,1254151557120,7,16
6,1254165319680,7,16
6,1254198743040,7,16
6,1254436634624,6,16
6,1271645995072,7,18
6,1271654252544,6,18
6,1271717167104,6,18
6,1383047774208,7,17
6,1383048155136,7,17
6,1383050907648,7,17
6,1383323402240,6,17
6,1383386316800,6,17
6,1409055457280,6,17
6,1409086914560,6,17
6,1511930200064,6,16
6,1512130740224,6,16
6,1546205401088,8,19
6,1546289938432,7,19
6,1546290466816,9,24
6,1546561519616,8,23
6,1546565713920,8,24
6,2285258276864,6,15
6,2508567085056,6,18
6,2508598542336,6,18
6,2646073147392,8,24
6,4681820536832,6,17
6,7009404977152,7,19
6,7009405763584,7,19
6,7009493581824,8,24
6,7009693335552,8,24
6,7009726496768,8,23
6,7043764588544,10,25
6,7044121755648,10,30
6,17618262032384,6,16
6,17747107119104,6,16
6,17747140542464,6,16
6,19946167992320,8,22
6,22273718747136,7,18
6,22273721499648,7,18
6,22274040266752,8,22
6,24601590890496,9,23
6,24635950628864,10,26
6,24636308324352,12,36
6,281500747699200,7,14
6,281500764340800,7,14
6,281500764344328,7,14
6,281500764372992,6,14
6,281500765405184,6,14
6,281500771684352,6,14
6,281500784267264,6,14
6,281569467438592,10,20
6,281569482915840,7,15
6,281569483165696,8,16
6,281569483166272,10,20
6,281569483186176,9,20
6,281569483296768,7,15
6,281569483953152,9,18
6,281569484085248,9,19
6,281569484096000,9,19
6,281569484346368,9,19
6,281569484347392,9,20
6,281569484350464,9,20
6,281569485394944,9,20
6,281569487098880,9,19
6,281569499811840,7,15
6,281569500861440,9,19
6,281569500862464,9,20
6,281569501123584,9,20
6,281569567707136,8,18
6,281569567707144,9,20
6,281569567719424,8,19
6,281569567735808,8,20
6,281569568768000,8,20
6,281569570852864,8,19
6,281569575047168,8,20
6,281569801682944,8,19
6,281569805730304,8,19
6,281578074801152,6,14
6,281578090529792,6,14
6,281578324493312,6,14
6,282583095316608,7,15
6,282583095320640,7,15
6,282583112093760,7,15
6,282583145517120,7,15
6,282583146434568,7,15
6,282583413817472,6,15
6,282583480926272,6,15
6,282600259326976,8,16
6,282600275054656,8,16
6,282600275972104,8,16
6,282600276000768,7,16
6,282600276104192,9,18
6,282600276104256,10,20
6,282600276104320,10,21
6,282600276105280,10,21
6,282600276115456,8,17
6,282600276235296,10,20
