m,a,b,N,D_N
6,0,1,29,1190375279756066792960
6,0,1,30,2251639898982678483136
6,-4,1,0,1
6,-4,1,1,-99
6,-4,1,2,3146
6,-4,1,3,-52052
6,-4,1,4,556920
6,-4,1,5,-4348872
6,-4,1,6,26732772
6,-4,1,7,-136105398
6,-4,1,8,594963655
6,-4,1,9,-2292844125
6,-4,1,10,7947559620
6,-4,1,11,-25167066288
6,-4,1,12,73711498432
6,-4,1,13,-201683287872
6,-4,1,14,519733692720
6,-4,1,15,-1270012357692
6,-4,1,16,2959492230981
6,-4,1,17,-6608425062239
6,-4,1,18,14198292930206
6,-4,1,19,-29455770435300
6,-4,1,20,59188315786600
6,-4,1,21,-115504572183000
6,-4,1,22,219424273204500
6,-4,1,23,-406628372714850
6,-4,1,24,736447620984075
6,-4,1,25,-1305671719272921
6,-4,1,26,2269426293746184
6,-4,1,27,-3872268096934336
6,-4,1,28,6493861604685312
6,-4,1,29,-10715211767237120
6,-4,1,30,17413548552500672
7,1,1,0,1
7,1,1,1,1859
7,1,1,2,672958
7,1,1,3,94004560
7,1,1,4,6941282920
7,1,1,5,323631061896
7,1,1,6,10653344341706
7,1,1,7,266927077902485
7,1,1,8,5368392953566500
7,1,1,9,90109157093265375
7,1,1,10,1300044526279665660
7,1,1,11,16493583112682673504
7,1,1,12,187353731923410948544
7,1,1,13,1933248320666718586080
7,1,1,14,18336636826700821319340
7,1,1,15,161434618851259163858097
7,1,1,16,1330028678615897739274471
7,1,1,17,10325321857257629693280524
7,1,1,18,75975340639669266068579900
7,1,1,19,532545723146649908327863000
7,1,1,20,3571495708248703556026888000
7,1,1,21,23003923802748599802410865000
7,1,1,22,142776872147628196245307039500
7,1,1,23,856430021613453393389297800500
7,1,1,24,4977741837918399672340989245475
7,1,1,25,28098525854871057156798261667149
7,1,1,26,154362924466458416713693896529736
7,1,1,27,826830221495895804399293242858112
7,1,1,28,4325430071967091361251662883095040
7,1,1,29,22132880671438989278696672282846080
7,1,1,30,110927024524067207023826960396816264
7,2,3,0,1
7,2,3,1,5148
7,2,3,2,5093660
7,2,3,3,1923255152
7,2,3,4,380281796752
7,2,3,5,47108614834896
7,2,3,6,4093566945944124
7,2,3,7,269299712060210260
7,2,3,8,14157029745324834225
7,2,3,9,618817274150142436200
7,2,3,10,23177281683722745262320
7,2,3,11,761360645040853699340928
7,2,3,12,22343183295652041938979072
7,2,3,13,594508127433345304310586752
7,2,3,14,14516968977225732995474001648
7,2,3,15,328575872369718992185033173528
7,2,3,16,6951215843166517765322927993585
7,2,3,17,138423622989628735208139492014212
7,2,3,18,2610293532612368066483782750802716
7,2,3,19,46852760573923024967249513875910160
7,2,3,20,804049009746158463842776024754022800
7,2,3,21,13243900859494189965366560699337822000
7,2,3,22,210092717017195958281553140199558946300
7,2,3,23,3219345141506454447009893613806970495660
7,2,3,24,47778920288028249137387909040895424872641
7,2,3,25,688400314337568122229540670541658686892816
7,2,3,26,9649311818368979292064527041386403836092864
7,2,3,27,131832553693406578341725890825018722140767232
7,2,3,28,1758566805460057723893498141169288267526344704
7,2,3,29,22938901950818925881243104315123118335306783744
7,2,3,30,293001110668772480125308217008291293293120423360
7,1,2,0,1
7,1,2,1,3289
7,1,2,2,2063490
7,1,2,3,490742876
7,1,2,4,60761780664
7,1,2,5,4689614423592
7,1,2,6,252791401776276
7,1,2,7,10277867238340130
7,1,2,8,332861997696002775
7,1,2,9,8939205585597394575
7,1,2,10,205226613548154293940
7,1,2,11,4124114871186050037648
7,1,2,12,73911231627669811483328
7,1,2,13,1199240707711297851405696
7,1,2,14,17834127547821466962605616
7,1,2,15,245558927736317270801653044
7,1,2,16,3157207789645358778819839141
7,1,2,17,38177301577664468327161770717
7,1,2,18,436829172915871143109825220614
7,1,2,19,4754417170781129161710235310860
7,1,2,20,49445809111198011147917409109800
7,1,2,21,493310995950295960073445624543000
7,1,2,22,4737737783710304776192392457791300
7,1,2,23,43934020210811595695812175230689510
7,1,2,24,394438813466085819126469026725777019
7,1,2,25,3436740873948699728660108527711930323
7,1,2,26,29122658619971622852568458864425038056
7,1,2,27,240472365115166827956428178360655448896
7,1,2,28,1938201829451422574894733283402215302656
7,1,2,29,15272488967744184102649699770380871508224
7,1,2,30,117817978315215708902785839885789264004928
7,0,1,0,1
7,0,1,1,1430
7,0,1,2,379236
7,0,1,3,37119160
7,0,1,4,1844536720
7,0,1,5,55804330152
7,0,1,6,1153471856900
7,0,1,7,17618122000050
7,0,1,8,210309203300625
7,0,1,9,2045253720802500
7,0,1,10,16726481666902800
7,0,1,11,117924492822177600
7,0,1,12,731033150646450432
7,0,1,13,4049210782061424320
7,0,1,14,20306456189361772560
7,0,1,15,93218107934594843356
7,0,1,16,395354056003669808305
7,0,1,17,1561373056164500587866
7,0,1,18,5780818251270332339300
7,0,1,19,20181961451776258981000
7,0,1,20,66777357193130131002000
7,0,1,21,210335817611581982775000
7,0,1,22,633157231100119246930500
7,0,1,23,1827787183355876537544750
7,0,1,24,5075640096504147292089825
7,0,1,25,13595658681551357910183336
7,0,1,26,35214725290981909814959680
7,0,1,27,88394844826646396300694016
7,0,1,28,215466316532924971451125760
7,0,1,29,510942125877149401393221120
7,0,1,30,1180653852528060342918071872
7,-4,1,0,1
7,-4,1,1,-286
7,-4,1,2,22308
7,-4,1,3,-804440
7,-4,1,4,17131920
7,-4,1,5,-247885704
7,-4,1,6,2664366276
7,-4,1,7,-22608618890
7,-4,1,8,158206244625
7,-4,1,9,-942984256500
7,-4,1,10,4907577926160
7,-4,1,11,-22736646743616
7,-4,1,12,95235255974144
7,-4,1,13,-365199541417920
7,-4,1,14,1295412604845840
7,-4,1,15,-4287138382115628
7,-4,1,16,13333827830449841
7,-4,1,17,-39214394319326226
7,-4,1,18,109631104696804900
7,-4,1,19,-292686221564737000
7,-4,1,20,749162655178938000
7,-4,1,21,-1844870528153835000
7,-4,1,22,4384316402899114500
7,-4,1,23,-10082350501464705750
7,-4,1,24,22490195364476064225
7,-4,1,25,-48767701626311747976
7,-4,1,26,102995642915376814656
7,-4,1,27,-212231269856777087488
7,-4,1,28,427353816802557399040
7,-4,1,29,-842119207998932497920
7,-4,1,30,1626040753685539340864
8,1,1,0,1
8,1,1,1,6292
8,1,1,2,6492980
8,1,1,3,2269979400
8,1,1,4,378768521080
8,1,1,5,36756269759692
8,1,1,6,2353788241447280
8,1,1,7,108431545069687125
8,1,1,8,3822232538895103125
8,1,1,9,107930252372179536000
8,1,1,10,2528177872262981730480
8,1,1,11,50484116028656125483968
8,1,1,12,878232784751739897853120
8,1,1,13,13545529591699607483595600
8,1,1,14,187917890642012254641999120
8,1,1,15,2373125319504295103989764263
8,1,1,16,27555938294061555843467305654
8,1,1,17,296721760247570886999390986300
8,1,1,18,2984594137127651654360066620000
8,1,1,19,28219411162735593637059455330000
8,1,1,20,252175280648861471639389614690000
8,1,1,21,2140005360876930846788426404740000
8,1,1,22,17318093698419895494766468172857500
8,1,1,23,134140990076924418990444874726001250
8,1,1,24,997751524121131544251261103082147075
8,1,1,25,7147463962594615139849347043564190144
8,1,1,26,49440954859914669785953156232017515328
8,1,1,27,331015937609912041966221498864289425920
8,1,1,28,2149612714368762070841019609381604825600
8,1,1,29,13566120812247289866313307837313468566720
8,1,1,30,83347699019099137119677680478047616472448
8,2,3,0,1
8,2,3,1,17446
8,2,3,2,49335156
8,2,3,3,46784418200
8,2,3,4,20989423187944
8,2,3,5,5435538166162884
8,2,3,6,922970958461605130
8,2,3,7,112132199803343587725
8,2,3,8,10376393257724461256250
8,2,3,9,766173945843435879570600
8,2,3,10,46773290480395739460014880
8,2,3,11,2427236860003833704353870464
8,2,3,12,109463769329812083850523933568
8,2,3,13,4367600932357142418899679056800
8,2,3,14,156461356020723831421101719819832
8,2,3,15,5094022170612930155455138365559010
8,2,3,16,152283567192945508301331323173809115
8,2,3,17,4216531689198622557874946518570055982
8,2,3,18,108941358153636708628413738649995021500
8,2,3,19,2643286064308995578481140054658620271800
8,2,3,20,60564869246190035514921347726405743941000
8,2,3,21,1316825691456863759902671883018458641395500
8,2,3,22,27284511914867457910862549459728428710365650
8,2,3,23,540776352206709626667053448830523916776411375
8,2,3,24,10286843575575490221108838936858361017305300756
8,2,3,25,188365580553522515954749521345440942993553151008
8,2,3,26,3329144078864553079387250850093403977006729685248
8,2,3,27,56926542837717608962036609320319287246654249224192
8,2,3,28,943812913721245740832326801589777130306736592640000
8,2,3,29,15201787265673638588525844069302853240790668740160768
8,2,3,30,238293223835048076463171266197903472231921923416281184
8,1,2,0,1
8,1,2,1,11154
8,1,2,2,20030556
8,1,2,3,11989488680
8,1,2,4,3376864317024
8,1,2,5,546380196518232
8,1,2,6,57724360605408860
8,1,2,7,4347392857646102550
8,1,2,8,248590823357647558125
8,1,2,9,11310920629614705048300
8,1,2,10,424471088960319759237360
8,1,2,11,13512154560623616553002432
8,1,2,12,373116132996969277326556288
8,1,2,13,9100739969442331973679579840
8,1,2,14,199015021868289452775343575792
8,1,2,15,3950420889877495455795484421908
8,1,2,16,71921985220211020729144545392313
8,1,2,17,1211622081435008876514187203492606
8,1,2,18,19029711277930768462357246763495900
8,1,2,19,280463643117730401919080864353429400
8,1,2,20,3900741217740484383556180450640808000
8,1,2,21,51449425485949797242650365051542961000
8,1,2,22,646328475671844584298665288103461142300
8,1,2,23,7762870217786887078961536966603860679050
8,1,2,24,89445353322584460094891067333249409534597
8,1,2,25,991676520804216021635566458436630701257784
8,1,2,26,10607961463122069072378454134118927413352896
8,1,2,27,109748198486662625112369146391236994343876096
8,1,2,28,1100568063039966694356289873180684263723924480
8,1,2,29,10718908668704013804727140273676409536090328064
8,1,2,30,101573223505984399615419766768623311332218547904
8,0,1,0,1
8,0,1,1,4862
8,0,1,2,3711916
8,0,1,3,922268360
8,0,1,4,105408179176
8,0,1,5,6774025632340
8,0,1,6,278563453441350
8,0,1,7,8012241391386375
8,0,1,8,171879976152056250
8,0,1,9,2885318087540733000
8,0,1,10,39327818356196229600
8,0,1,11,448090092566699276160
8,0,1,12,4368288591687864556416
8,0,1,13,37135128027249774192160
8,0,1,14,279639982556409977015176
8,0,1,15,1889950529319943151621222
8,0,1,16,11591799169137875871955291
8,0,1,17,65133477742033508433388070
8,0,1,18,338017581375074673543278500
8,0,1,19,1631595995778704910948777000
8,0,1,20,7370383856798755384018245000
8,0,1,21,31326428096726246079189457500
8,0,1,22,125874847681060403044450626750
8,0,1,23,480180931329774854568157894125
8,0,1,24,1745580607271082720483213967380
8,0,1,25,6067416173768013802724978456736
8,0,1,26,20225920227534958792810957815552
8,0,1,27,64839032997862358028899871840256
8,0,1,28,200382273844562759437232524482560
8,0,1,29,598341204614990645066763807867136
8,0,1,30,1729780231984796056459808778703520
8,-4,1,0,1
8,-4,1,1,-858
8,-4,1,2,172380
8,-4,1,3,-14276600
8,-4,1,4,638493480
8,-4,1,5,-18054342108
8,-4,1,6,357469142030
8,-4,1,7,-5318163761625
8,-4,1,8,62563378556250
8,-4,1,9,-604683708759000
8,-4,1,10,4945220666736480
8,-4,1,11,-35024929822127232
8,-4,1,12,218876258489806720
8,-4,1,13,-1225327461352898400
8,-4,1,14,6222946251578607720
8,-4,1,15,-28973195709401099962
8,-4,1,16,124770781083902446779
8,-4,1,17,-500769970094846418450
8,-4,1,18,1885405839183460632500
8,-4,1,19,-6696793788592802895000
8,-4,1,20,22550987770564727565000
8,-4,1,21,-72306933045197332072500
8,-4,1,22,221599370620147224363750
8,-4,1,23,-651332122180487160001875
8,-4,1,24,1841590332663597382943700
8,-4,1,25,-5022428033303977301477856
8,-4,1,26,13244003731202473842985728
8,-4,1,27,-33842398291361674370836480
8,-4,1,28,83965409540824471369881600
8,-4,1,29,-202637198724291912658471680
8,-4,1,30,476463638534573146424457248
