b,least_unimodal_exponent_t,previous_exponent_gap_index,previous_exponent_gap
1,0,,
2,6,4,-1
3,6,4,-1
4,12,10,-1
5,12,10,-1
6,18,16,-1
7,18,16,-1
8,24,22,-1
9,24,22,-1
10,30,28,-1
11,30,28,-1
12,36,34,-1
13,36,34,-1
14,42,40,-1
15,42,40,-1
16,48,46,-1
17,48,46,-1
18,54,52,-1
19,54,52,-1
20,60,58,-1
21,60,58,-1
22,66,64,-1
23,66,64,-1
24,72,70,-1
25,72,70,-1
26,78,76,-1
27,78,76,-1
28,84,82,-1
29,84,82,-1
30,90,88,-1
31,90,88,-1
32,96,94,-1
33,96,94,-1
34,102,100,-1
35,102,100,-1
36,108,106,-1
37,108,106,-1
38,114,112,-1
39,114,112,-1
40,120,118,-1
