a,max_periodicity_residual,peak_to_peak_centered
1.2,2.6645352591003757e-15,1.3322676295501878e-14
1.5,4.440892098500626e-15,1.646298652957512e-10
2.0,3.1086244689504383e-15,4.250846373121675e-06
2.6,2.4424906541753444e-15,0.0001340862077160443
3.0,2.220446049250313e-15,0.00041874491535809355
5.0,2.1094237467877974e-15,0.004624854777949716
