kind,r,n,k,value
subset,1,0,0,1
subset,1,1,0,0
subset,1,1,1,1
subset,1,2,0,0
subset,1,2,1,1
subset,1,2,2,1
subset,1,3,0,0
subset,1,3,1,1
subset,1,3,2,3
subset,1,3,3,1
subset,1,4,0,0
subset,1,4,1,1
subset,1,4,2,7
subset,1,4,3,6
subset,1,4,4,1
subset,1,5,0,0
subset,1,5,1,1
subset,1,5,2,15
subset,1,5,3,25
subset,1,5,4,10
subset,1,5,5,1
subset,1,6,0,0
subset,1,6,1,1
subset,1,6,2,31
subset,1,6,3,90
subset,1,6,4,65
subset,1,6,5,15
subset,1,6,6,1
subset,1,7,0,0
subset,1,7,1,1
subset,1,7,2,63
subset,1,7,3,301
subset,1,7,4,350
subset,1,7,5,140
subset,1,7,6,21
subset,1,7,7,1
subset,1,8,0,0
subset,1,8,1,1
subset,1,8,2,127
subset,1,8,3,966
subset,1,8,4,1701
subset,1,8,5,1050
subset,1,8,6,266
subset,1,8,7,28
subset,1,8,8,1
subset,1,9,0,0
subset,1,9,1,1
subset,1,9,2,255
subset,1,9,3,3025
subset,1,9,4,7770
subset,1,9,5,6951
subset,1,9,6,2646
subset,1,9,7,462
subset,1,9,8,36
subset,1,9,9,1
subset,1,10,0,0
subset,1,10,1,1
subset,1,10,2,511
subset,1,10,3,9330
subset,1,10,4,34105
subset,1,10,5,42525
subset,1,10,6,22827
subset,1,10,7,5880
subset,1,10,8,750
subset,1,10,9,45
subset,1,10,10,1
subset,1,11,0,0
subset,1,11,1,1
subset,1,11,2,1023
subset,1,11,3,28501
subset,1,11,4,145750
subset,1,11,5,246730
subset,1,11,6,179487
subset,1,11,7,63987
subset,1,11,8,11880
subset,1,11,9,1155
subset,1,11,10,55
subset,1,11,11,1
subset,1,12,0,0
subset,1,12,1,1
subset,1,12,2,2047
subset,1,12,3,86526
subset,1,12,4,611501
subset,1,12,5,1379400
subset,1,12,6,1323652
subset,1,12,7,627396
subset,1,12,8,159027
subset,1,12,9,22275
subset,1,12,10,1705
subset,1,12,11,66
subset,1,12,12,1
subset,2,0,0,1
subset,2,1,0,0
subset,2,1,1,1
subset,2,2,0,0
subset,2,2,1,1
subset,2,2,2,3
subset,2,3,0,0
subset,2,3,1,1
subset,2,3,2,10
subset,2,3,3,15
subset,2,4,0,0
subset,2,4,1,1
subset,2,4,2,25
subset,2,4,3,105
subset,2,4,4,105
subset,2,5,0,0
subset,2,5,1,1
subset,2,5,2,56
subset,2,5,3,490
subset,2,5,4,1260
subset,2,5,5,945
subset,2,6,0,0
subset,2,6,1,1
subset,2,6,2,119
subset,2,6,3,1918
subset,2,6,4,9450
subset,2,6,5,17325
subset,2,6,6,10395
subset,2,7,0,0
subset,2,7,1,1
subset,2,7,2,246
subset,2,7,3,6825
subset,2,7,4,56980
subset,2,7,5,190575
subset,2,7,6,270270
subset,2,7,7,135135
subset,2,8,0,0
subset,2,8,1,1
subset,2,8,2,501
subset,2,8,3,22935
subset,2,8,4,302995
subset,2,8,5,1636635
subset,2,8,6,4099095
subset,2,8,7,4729725
subset,2,8,8,2027025
subset,2,9,0,0
subset,2,9,1,1
subset,2,9,2,1012
subset,2,9,3,74316
subset,2,9,4,1487200
subset,2,9,5,12122110
subset,2,9,6,47507460
subset,2,9,7,94594500
subset,2,9,8,91891800
subset,2,9,9,34459425
subset,2,10,0,0
subset,2,10,1,1
subset,2,10,2,2035
subset,2,10,3,235092
subset,2,10,4,6914908
subset,2,10,5,81431350
subset,2,10,6,466876410
subset,2,10,7,1422280860
subset,2,10,8,2343240900
subset,2,10,9,1964187225
subset,2,10,10,654729075
subset,2,11,0,0
subset,2,11,1,1
subset,2,11,2,4082
subset,2,11,3,731731
subset,2,11,4,30950920
subset,2,11,5,510880370
subset,2,11,6,4104160060
subset,2,11,7,17892864990
subset,2,11,8,44346982680
subset,2,11,9,62199262125
subset,2,11,10,45831035250
subset,2,11,11,13749310575
subset,2,12,0,0
subset,2,12,1,1
subset,2,12,2,8177
subset,2,12,3,2252341
subset,2,12,4,134779645
subset,2,12,5,3049616570
subset,2,12,6,33309926650
subset,2,12,7,199124936010
subset,2,12,8,694740296250
subset,2,12,9,1446733012725
subset,2,12,10,1764494857125
subset,2,12,11,1159525191825
subset,2,12,12,316234143225
subset,3,0,0,1
subset,3,1,0,0
