family,degree,level,computed,target,residual,status
Fabius lower + finite EM,0,1,1/2,1/2,0,PASS
Fabius midpoint + finite EM,0,1,1/2,1/2,0,PASS
half-up lower + one correction,0,1,1/2,1/2,0,PASS
Fabius stabilized exhaustion detail,0,1,1/4,1/4,0,PASS
Fabius lower + finite EM,1,2,13/36,13/36,0,PASS
Fabius midpoint + finite EM,1,2,13/36,13/36,0,PASS
half-up lower + one correction,1,2,5/36,5/36,0,PASS
Fabius stabilized exhaustion detail,1,3,15/256,15/256,0,PASS
Fabius lower + finite EM,2,3,5/18,5/18,0,PASS
Fabius midpoint + finite EM,2,3,5/18,5/18,0,PASS
half-up lower + one correction,2,3,1/18,1/18,0,PASS
Fabius stabilized exhaustion detail,2,3,7/128,7/128,0,PASS
Fabius lower + finite EM,3,4,1207/5400,1207/5400,0,PASS
Fabius midpoint + finite EM,3,4,1207/5400,1207/5400,0,PASS
half-up lower + one correction,3,4,143/5400,143/5400,0,PASS
Fabius stabilized exhaustion detail,3,5,124929/8388608,124929/8388608,0,PASS
Fabius lower + finite EM,4,5,251/1350,251/1350,0,PASS
Fabius midpoint + finite EM,4,5,251/1350,251/1350,0,PASS
half-up lower + one correction,4,5,19/1350,19/1350,0,PASS
Fabius stabilized exhaustion detail,4,5,30721/2097152,30721/2097152,0,PASS
Fabius lower + finite EM,5,6,22661/142884,22661/142884,0,PASS
Fabius midpoint + finite EM,5,6,22661/142884,22661/142884,0,PASS
half-up lower + one correction,5,6,1153/142884,1153/142884,0,PASS
Fabius stabilized exhaustion detail,5,7,67377381375/17592186044416,67377381375/17592186044416,0,PASS
Fabius lower + finite EM,6,7,16427/119070,16427/119070,0,PASS
Fabius midpoint + finite EM,6,7,16427/119070,16427/119070,0,PASS
half-up lower + one correction,6,7,583/119070,583/119070,0,PASS
Fabius stabilized exhaustion detail,6,7,33554513917/8796093022208,33554513917/8796093022208,0,PASS
Fabius lower + finite EM,7,8,63446897/520506000,63446897/520506000,0,PASS
Fabius midpoint + finite EM,7,8,63446897/520506000,63446897/520506000,0,PASS
half-up lower + one correction,7,8,1616353/520506000,1616353/520506000,0,PASS
Fabius stabilized exhaustion detail,7,9,73282577946914062353/75557863725914323419136,73282577946914062353/75557863725914323419136,0,PASS
