family,d,N,positive,negative,zero,first_30_signs
power,0,500,0,1,499,-00000000000000000000000000000
power,1,500,499,1,0,-+++++++++++++++++++++++++++++
power,2,500,250,250,0,-++---+++---+++---++---+++---+
power,3,500,250,250,0,-++--++--++--++--++--++--++--+
power,4,500,253,247,0,-++-++--++-++--++-++--++-++--+
power,5,500,250,250,0,-++-++--+--+--++-++--+--++-++-
power,6,500,251,249,0,-++-++-++--+--+--+--++-++-++-+
power,7,500,251,249,0,-++-++-++-++-++-++--+--+--+--+
power,8,500,246,254,0,-++-++-++-++-++-++-++-++-++-++
divisor,0,500,250,250,0,-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
divisor,1,500,250,250,0,-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
divisor,2,500,250,250,0,-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
divisor,3,500,250,250,0,-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
divisor,4,500,250,250,0,-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
divisor,5,500,252,248,0,-++--+-++--+--++-++--+--++-++-
divisor,6,500,251,249,0,-++-++-++--+--+--+--++-++-++--
divisor,7,500,250,250,0,-++-++-++-++-++--+--+--+--+--+
divisor,8,500,255,245,0,-++-++-++-++-++-++-++-++-++-++
