q,N,ell,S_N_N_plus_ell,predicted,residual
1/4,1,4,-1,-1,0
1/4,2,0,1/2,1/2,0
1/4,2,1,15/16,15/16,0
1/4,2,2,23/16,23/16,0
1/4,2,3,525/256,525/256,0
1/4,2,4,1441/512,1441/512,0
1/4,3,0,-3/32,-3/32,0
1/4,3,1,-63/256,-63/256,0
1/4,3,2,-1995/4096,-1995/4096,0
1/4,3,3,-112455/131072,-112455/131072,0
1/4,3,4,-2961903/2097152,-2961903/2097152,0
1/4,4,0,3/512,3/512,0
1/4,4,1,1275/65536,1275/65536,0
1/4,4,2,97665/2097152,97665/2097152,0
1/4,4,3,51738225/536870912,51738225/536870912,0
1/4,4,4,783888399/4294967296,783888399/4294967296,0
1/4,5,0,-15/131072,-15/131072,0
1/4,5,1,-15345/33554432,-15345/33554432,0
1/4,5,2,-10992135/8589934592,-10992135/8589934592,0
1/4,5,3,-3333194865/1099511627776,-3333194865/1099511627776,0
1/4,5,4,-1821045271815/281474976710656,-1821045271815/281474976710656,0
1/4,6,0,45/67108864,45/67108864,0
1/4,6,1,429975/137438953472,429975/137438953472,0
1/4,6,2,176089095/17592186044416,176089095/17592186044416,0
1/4,6,3,1923088556025/72057594037927936,1923088556025/72057594037927936,0
1/4,6,4,2335743027976995/36893488147419103232,2335743027976995/36893488147419103232,0
1/4,7,0,-315/274877906944,-315/274877906944,0
1/4,7,1,-1720215/281474976710656,-1720215/281474976710656,0
1/4,7,2,-25364570175/1152921504606846976,-25364570175/1152921504606846976,0
1/4,7,3,-615641957826525/9444732965739290427392,-615641957826525/9444732965739290427392,0
1/4,7,4,-6580837932534145665/38685626227668133590597632,-6580837932534145665/38685626227668133590597632,0
-1/4,1,0,-1,-1,0
-1/4,1,1,-1,-1,0
-1/4,1,2,-1,-1,0
-1/4,1,3,-1,-1,0
-1/4,1,4,-1,-1,0
-1/4,2,0,-1/2,-1/2,0
-1/4,2,1,-9/16,-9/16,0
-1/4,2,2,-11/16,-11/16,0
-1/4,2,3,-195/256,-195/256,0
-1/4,2,4,-421/512,-421/512,0
-1/4,3,0,3/32,3/32,0
-1/4,3,1,39/256,39/256,0
-1/4,3,2,975/4096,975/4096,0
-1/4,3,3,43095/131072,43095/131072,0
-1/4,3,4,898443/2097152,898443/2097152,0
-1/4,4,0,3/512,3/512,0
-1/4,4,1,765/65536,765/65536,0
-1/4,4,2,45645/2097152,45645/2097152,0
-1/4,4,3,18662175/536870912,18662175/536870912,0
-1/4,4,4,220563819/4294967296,220563819/4294967296,0
-1/4,5,0,-15/131072,-15/131072,0
-1/4,5,1,-9225/33554432,-9225/33554432,0
-1/4,5,2,-5144475/8589934592,-5144475/8589934592,0
-1/4,5,3,-1204646625/1099511627776,-1204646625/1099511627776,0
-1/4,5,4,-513584515395/281474976710656,-513584515395/281474976710656,0
-1/4,6,0,-45/67108864,-45/67108864,0
-1/4,6,1,-257985/137438953472,-257985/137438953472,0
-1/4,6,2,-82182555/17592186044416,-82182555/17592186044416,0
-1/4,6,3,-692396396055/72057594037927936,-692396396055/72057594037927936,0
-1/4,6,4,-655655955977295/36893488147419103232,-655655955977295/36893488147419103232,0
-1/4,7,0,315/274877906944,315/274877906944,0
-1/4,7,1,1032255/281474976710656,1032255/281474976710656,0
-1/4,7,2,11838932595/1152921504606846976,11838932595/1152921504606846976,0
-1/4,7,3,221685220579725/9444732965739290427392,221685220579725/9444732965739290427392,0
-1/4,7,4,1847546223698155365/38685626227668133590597632,1847546223698155365/38685626227668133590597632,0
4,1,0,-1,-1,0
4,1,1,-1,-1,0
4,1,2,-1,-1,0
4,1,3,-1,-1,0
4,1,4,-1,-1,0
4,2,0,8,8,0
4,2,1,60,60,0
4,2,2,368,368,0
4,2,3,2100,2100,0
4,2,4,11528,11528,0
4,3,0,-384,-384,0
4,3,1,-16128,-16128,0
4,3,2,-510720,-510720,0
4,3,3,-14394240,-14394240,0
4,3,4,-379123584,-379123584,0
4,4,0,98304,98304,0
4,4,1,20889600,20889600,0
4,4,2,3200286720,3200286720,0
4,4,3,423839539200,423839539200,0
4,4,4,51372910116864,51372910116864,0
4,5,0,-125829120,-125829120,0
4,5,1,-128723189760,-128723189760,0
4,5,2,-92208711598080,-92208711598080,0
4,5,3,-55921730220195840,-55921730220195840,0
4,5,4,-30552069871018967040,-30552069871018967040,0
4,6,0,773094113280,773094113280,0
4,6,1,3693457126195200,3693457126195200,0
4,6,2,12100750467315793920,12100750467315793920,0
4,6,3,33038409821756955033600,33038409821756955033600,0
4,6,4,80255519336169652522844160,80255519336169652522844160,0
4,7,0,-22166154415964160,-22166154415964160,0
4,7,1,-484197477062321111040,-484197477062321111040,0
4,7,2,-7139491799283924782284800,-7139491799283924782284800,0
4,7,3,-86643902870661893859783475200,-86643902870661893859783475200,0
4,7,4,-926170601898325116009682430853120,-926170601898325116009682430853120,0
-4,1,0,-1,-1,0
-4,1,1,-1,-1,0
-4,1,2,-1,-1,0
-4,1,3,-1,-1,0
-4,1,4,-1,-1,0
-4,2,0,-8,-8,0
-4,2,1,36,36,0
-4,2,2,-176,-176,0
-4,2,3,780,780,0
-4,2,4,-3368,-3368,0
-4,3,0,384,384,0
-4,3,1,9984,9984,0
-4,3,2,249600,249600,0
-4,3,3,5516160,5516160,0
-4,3,4,115000704,115000704,0
-4,4,0,98304,98304,0
-4,4,1,-12533760,-12533760,0
-4,4,2,1495695360,1495695360,0
-4,4,3,-152880537600,-152880537600,0
-4,4,4,14454870441984,14454870441984,0
-4,5,0,-125829120,-125829120,0
-4,5,1,-77384908800,-77384908800,0
-4,5,2,-43154984140800,-43154984140800,0
-4,5,3,-20210616631296000,-20210616631296000,0
-4,5,4,-8616518349037240320,-8616518349037240320,0
-4,6,0,-773094113280,-773094113280,0
-4,6,1,2216074275717120,2216074275717120,0
-4,6,2,-5647542176427540480,-5647542176427540480,0
-4,6,3,11895279507697953669120,11895279507697953669120,0
-4,6,4,-22528167106800781948354560,-22528167106800781948354560,0
-4,7,0,22166154415964160,22166154415964160,0
-4,7,1,290553952084458209280,290553952084458209280,0
-4,7,2,3332363276456651202232320,3332363276456651202232320,0
-4,7,3,31199421149887366288952524800,31199421149887366288952524800,0
-4,7,4,260019015143649360878041269534720,260019015143649360878041269534720,0
