N,dyadic_gap_exact,q_2_3_gap_exact,golden_distinct_gap_80_digits,minus_log2_dyadic_gap,minus_log2_q_2_3_gap,minus_log2_golden_gap
1,1,4/3,1.2360679774997896964091736687312762354406183596115257242708972454105209256378049,-0,-0.4150374992788438,-0.3057580863693827
2,1/2,4/9,0.4721359549995793928183473374625524708812367192230514485417944908210418512756098,1,1.169925001442312,1.082725740891852
3,1/4,4/27,0.2917960675006309107724789938061712936781449211654228271873082637684372230865853,2,2.754887502163469,1.776967654522469
4,1/8,4/81,0.1803398874989484820458683436563811772030917980576286213544862270526046281890245,3,4.339850002884625,2.471209568153086
5,1/16,4/243,0.1114561800016824287266106501497901164750531231077942058328220367158325948975608,4,5.92481250360578,3.165451481783704
6,1/32,4/729,0.068883707497266053319257693506591060728038674949834415521664190336772033291463692,5,7.509775004326937,3.859693395414321
7,1/64,4/2187,0.042572472504416375407352956643199055747014448157959790311157846379060561606097112,6,9.094737505048093,4.553935309044938
8,1/128,4/6561,0.02631123499284967791190473686339200498102422679187462521050634395771147168536658,7,10.67970000576925,5.248177222675555
9,1/256,4/19683,0.016261237511566697495448219779807050765990221366085165100651502421349089920730532,8,12.26466250649041,5.942419136306173
10,1/512,4/59049,0.010049997481282980416456517083584954215034005425789460109854841536362381764636048,9,13.84962500721156,6.63666104993679
11,1/1024,4/177147,0.0062112400302837170789917026962220965509562159402957049907966608849867081560944843,10,15.43458750793272,7.330902963567407
12,1/2048,4/531441,0.0038387574509992633374648143873628576640777894854937551190581806513756736085415636,11,17.01955000865387,8.025144877198025
13,1/4096,4/1594323,0.0023724825792844537415268883088592388868784264548019498717384802336110345475529208,12,18.60451250937503,8.719386790828642
14,1/8192,4/4782969,0.0014662748717148095959379260785036187771993630306918052473197004177646390609886428,13,20.18947501009619,9.41362870445926
15,1/16384,4/14348907,0.00090620770756964414558896223035562010967906342411014462441877981584639548656427797,14,21.77443751081734,10.10787061808988
16,1/32768,4/43046721,0.00056006716414516545034896384814799866752029960658166062290092060191824357442436482,15,23.3594000115385,10.80211253172049
