N,derivative_order,coefficient,numerator,denominator
1,2,1,1,1
1,0,1/4,1,4
2,4,1,1,1
2,2,5/8,5,8
2,0,9/256,9,256
3,8,1,1,1
3,6,21/16,21,16
3,4,987/2048,987,2048
3,2,3229/65536,3229,65536
3,0,11025/16777216,11025,16777216
4,16,1,1,1
4,14,85/32,85,32
4,12,44863/16384,44863,16384
4,10,2929355/2097152,2929355,2097152
4,8,800744659/2147483648,800744659,2147483648
4,6,6967850435/137438953472,6967850435,137438953472
4,4,221541455151/70368744177664,221541455151,70368744177664
4,2,617603950125/9007199254740992,617603950125,9007199254740992
4,0,4108830350625/18446744073709551616,4108830350625,18446744073709551616
5,32,1,1,1
5,30,341/64,341,64
5,28,1651463/131072,1651463,131072
5,26,1172350839/67108864,1172350839,67108864
5,24,4345117969335/274877906944,4345117969335,274877906944
5,22,692057356880565/70368744177664,692057356880565,70368744177664
5,20,622418488546184385/144115188075855872,622418488546184385,144115188075855872
5,18,99846401388990020655/73786976294838206464,99846401388990020655,73786976294838206464
5,16,182729404818508493131395/604462909807314587353088,182729404818508493131395,604462909807314587353088
5,14,3686265678433761938563015/77371252455336267181195264,3686265678433761938563015,77371252455336267181195264
5,12,821705269494999525620970193/158456325028528675187087900672,821705269494999525620970193,158456325028528675187087900672
5,10,30549696801043560202241951629/81129638414606681695789005144064,30549696801043560202241951629,81129638414606681695789005144064
5,8,5745943875898255423518660355479/332306998946228968225951765070086144,5745943875898255423518660355479,332306998946228968225951765070086144
5,6,39251319627067114299176168214831/85070591730234615865843651857942052864,39251319627067114299176168214831,85070591730234615865843651857942052864
5,4,1079546255840914499180936844012375/174224571863520493293247799005065324265472,1079546255840914499180936844012375,174224571863520493293247799005065324265472
5,2,2803499607147819680032507972018125/89202980794122492566142873090593446023921664,2803499607147819680032507972018125,89202980794122492566142873090593446023921664
5,0,36825143286290325050565453237890625/1461501637330902918203684832716283019655932542976,36825143286290325050565453237890625,1461501637330902918203684832716283019655932542976
