a,b,frequency_a_plus_bq,aggregated_coefficient
0,-2,-1.23606797749978969640917366873,-1
-2,2,-0.763932022500210303590826331269,1
2,-4,-0.472135954999579392818347337463,1
-2,4,0.472135954999579392818347337463,-1
2,-2,0.763932022500210303590826331269,-1
0,2,1.23606797749978969640917366873,1
