n,empirical_kolmogorov,exact_W_infinity_bound,exact_support_Hausdorff,exact_entropy_shift
0,0.24971,1.0,0.16666666666666666,-0.0
1,0.12561999999999995,0.3333333333333333,0.05555555555555555,-0.40546510810816444
3,0.03220999999999996,0.037037037037037035,0.006172839506172839,-1.2163953243244934
6,0.004506666666666659,0.0013717421124828531,0.00022862368541380884,-2.4327906486489868
