name,support,type,matched_degree,first_power_2M,leading_characteristic_coefficient,rate
uniform_original,"[-1,1]",uniform density,1,2,-1/9,4^(-n)
variance_matched_box,"[-1/sqrt(3),1/sqrt(3)]",uniform density,3,4,-1/4050,16^(-n)
up_Lobatto_3,"{-1,0,1}","positive atomic, endpoints included",3,4,7/2025,16^(-n)
up_Gauss_3,"{0,+/-sqrt(19/75)}",positive atomic,5,6,1238/334884375,64^(-n)
up_Lobatto_5,"{-1,0,1,+/-sqrt(683/3087)}","positive atomic, endpoints included",7,8,1006207/24604155961875,256^(-n)
beta_polynomial_3,"[-1,1]",density 35(1-x^2)^3/32,3,4,2/22275,16^(-n)
