n,relation_mask,points,bases,facets,faces,h
4,326,32,6,76,412,"[1, 27, 42, 6, 0]"
4,328,29,6,70,376,"[1, 24, 39, 6, 0]"
4,352,29,6,70,376,"[1, 24, 39, 6, 0]"
4,356,33,10,91,468,"[1, 28, 52, 10, 0]"
4,358,38,12,109,556,"[1, 33, 63, 12, 0]"
4,360,33,8,86,452,"[1, 28, 49, 8, 0]"
4,364,37,12,107,544,"[1, 32, 62, 12, 0]"
4,376,37,9,98,514,"[1, 32, 56, 9, 0]"
4,380,42,14,125,632,"[1, 37, 73, 14, 0]"
4,382,46,16,141,708,"[1, 41, 83, 16, 0]"
4,384,24,3,48,274,"[1, 19, 25, 3, 0]"
4,385,29,6,70,376,"[1, 24, 39, 6, 0]"
4,388,29,6,70,376,"[1, 24, 39, 6, 0]"
4,389,33,8,86,452,"[1, 28, 49, 8, 0]"
4,391,37,9,98,514,"[1, 32, 56, 9, 0]"
4,416,28,5,64,350,"[1, 23, 35, 5, 0]"
4,420,33,10,91,468,"[1, 28, 52, 10, 0]"
4,421,37,12,107,544,"[1, 32, 62, 12, 0]"
4,423,42,14,125,632,"[1, 37, 73, 14, 0]"
4,432,32,6,76,412,"[1, 27, 42, 6, 0]"
4,436,38,12,109,556,"[1, 33, 63, 12, 0]"
4,439,46,16,141,708,"[1, 41, 83, 16, 0]"
4,448,28,4,60,336,"[1, 23, 32, 4, 0]"
4,449,33,7,82,438,"[1, 28, 46, 7, 0]"
4,452,33,7,82,438,"[1, 28, 46, 7, 0]"
4,453,37,9,98,514,"[1, 32, 56, 9, 0]"
4,455,41,10,110,576,"[1, 36, 63, 10, 0]"
4,456,33,7,82,438,"[1, 28, 46, 7, 0]"
4,457,38,10,104,540,"[1, 33, 60, 10, 0]"
4,480,33,7,82,438,"[1, 28, 46, 7, 0]"
4,484,38,12,109,556,"[1, 33, 63, 12, 0]"
4,485,42,14,125,632,"[1, 37, 73, 14, 0]"
4,487,47,16,143,720,"[1, 42, 84, 16, 0]"
4,488,37,9,98,514,"[1, 32, 56, 9, 0]"
4,492,42,14,125,632,"[1, 37, 73, 14, 0]"
4,493,46,16,141,708,"[1, 41, 83, 16, 0]"
4,504,41,10,110,576,"[1, 36, 63, 10, 0]"
4,508,47,16,143,720,"[1, 42, 84, 16, 0]"
4,511,55,20,175,872,"[1, 50, 104, 20, 0]"
4,512,20,2,36,212,"[1, 15, 18, 2, 0]"
4,516,24,3,48,274,"[1, 19, 25, 3, 0]"
4,520,24,4,52,288,"[1, 19, 28, 4, 0]"
4,528,25,4,54,300,"[1, 20, 29, 4, 0]"
4,532,30,6,72,388,"[1, 25, 40, 6, 0]"
4,536,29,6,70,376,"[1, 24, 39, 6, 0]"
4,552,28,5,64,350,"[1, 23, 35, 5, 0]"
4,556,32,7,80,426,"[1, 27, 45, 7, 0]"
4,568,33,7,82,438,"[1, 28, 46, 7, 0]"
4,572,38,10,104,540,"[1, 33, 60, 10, 0]"
4,576,24,4,52,288,"[1, 19, 28, 4, 0]"
4,584,28,8,73,380,"[1, 23, 41, 8, 0]"
4,600,33,10,91,468,"[1, 28, 52, 10, 0]"
4,616,33,10,91,468,"[1, 28, 52, 10, 0]"
4,632,38,12,109,556,"[1, 33, 63, 12, 0]"
4,640,25,4,54,300,"[1, 20, 29, 4, 0]"
4,644,30,6,72,388,"[1, 25, 40, 6, 0]"
4,656,30,6,72,388,"[1, 25, 40, 6, 0]"
4,660,36,9,96,502,"[1, 31, 55, 9, 0]"
4,704,29,6,70,376,"[1, 24, 39, 6, 0]"
4,712,33,10,91,468,"[1, 28, 52, 10, 0]"
4,728,38,12,109,556,"[1, 33, 63, 12, 0]"
4,832,28,5,64,350,"[1, 23, 35, 5, 0]"
4,836,32,7,80,426,"[1, 27, 45, 7, 0]"
4,840,33,10,91,468,"[1, 28, 52, 10, 0]"
4,872,37,12,107,544,"[1, 32, 62, 12, 0]"
4,876,41,16,128,636,"[1, 36, 75, 16, 0]"
4,888,42,14,125,632,"[1, 37, 73, 14, 0]"
4,892,47,19,152,750,"[1, 42, 90, 19, 0]"
4,960,33,7,82,438,"[1, 28, 46, 7, 0]"
4,964,38,10,104,540,"[1, 33, 60, 10, 0]"
4,968,38,12,109,556,"[1, 33, 63, 12, 0]"
4,1000,42,14,125,632,"[1, 37, 73, 14, 0]"
4,1004,47,19,152,750,"[1, 42, 90, 19, 0]"
4,1016,47,16,143,720,"[1, 42, 84, 16, 0]"
4,1020,53,22,176,864,"[1, 48, 105, 22, 0]"
4,1024,20,2,36,212,"[1, 15, 18, 2, 0]"
4,1025,24,4,52,288,"[1, 19, 28, 4, 0]"
4,1026,25,4,54,300,"[1, 20, 29, 4, 0]"
4,1027,29,6,70,376,"[1, 24, 39, 6, 0]"
4,1029,28,5,64,350,"[1, 23, 35, 5, 0]"
4,1031,33,7,82,438,"[1, 28, 46, 7, 0]"
4,1056,24,3,48,274,"[1, 19, 25, 3, 0]"
4,1058,30,6,72,388,"[1, 25, 40, 6, 0]"
4,1061,32,7,80,426,"[1, 27, 45, 7, 0]"
4,1063,38,10,104,540,"[1, 33, 60, 10, 0]"
