k,n,odd_coefficients
2,0,1
2,1,2
2,2,4
2,3,6
2,4,8
2,5,12
2,6,20
2,7,32
2,8,48
2,9,72
2,10,112
2,11,176
2,12,272
2,13,416
2,14,640
2,15,992
2,16,1536
2,17,2368
2,18,3648
2,19,5632
2,20,8704
2,21,13440
2,22,20736
2,23,32000
2,24,49408
2,25,76288
2,26,117760
2,27,181760
2,28,280576
2,29,433152
2,30,668672
2,31,1032192
2,32,1593344
2,33,2459648
2,34,3796992
2,35,5861376
2,36,9048064
2,37,13967360
2,38,21561344
2,39,33284096
2,40,51380224
2,41,79314944
2,42,122437632
2,43,189005824
2,44,291766272
2,45,450396160
2,46,695271424
2,47,1073283072
2,48,1656815616
2,49,2557607936
2,50,3948150784
2,51,6094716928
2,52,9408348160
2,53,14523564032
2,54,22419865600
2,55,34609299456
2,56,53425995776
2,57,82473123840
2,58,127312855040
2,59,196531453952
2,60,303383445504
2,61,468329693184
2,62,722955403264
2,63,1116018311168
2,64,1722785202176
2,65,2659444588544
2,66,4105355395072
2,67,6337392017408
2,68,9782962421760
2,69,15101851598848
2,70,23312562388992
2,71,35987346423808
2,72,55553271267328
2,73,85756974465024
2,74,132382099243008
2,75,204356792090624
2,76,315463334625280
2,77,486977283555328
2,78,751741482041344
2,79,1160455066222592
2,80,1791381735473152
2,81,2765336302583808
2,82,4268819266666496
2,83,6589729399111680
2,84,10172492870057984
2,85,15703165475225600
2,86,24240804008558592
2,87,37420262806781952
2,88,57765248546897920
2,89,89171579497349120
2,90,137653187514466304
2,91,212493713128030208
2,92,328024210221826048
2,93,506367369216524288
2,94,781673744245456896
2,95,1206661170501517312
2,96,1862709590945169408
2,97,2875444329378217984
2,98,4438791817869131776
2,99,6852114158872166400
2,100,10577533340762505216
3,0,1
3,1,2
3,2,4
3,3,8
3,4,14
3,5,24
3,6,40
3,7,68
3,8,116
3,9,200
3,10,344
3,11,592
3,12,1016
3,13,1744
3,14,2992
3,15,5136
3,16,8816
3,17,15136
3,18,25984
3,19,44608
3,20,76576
3,21,131456
3,22,225664
3,23,387392
3,24,665024
3,25,1141632
3,26,1959808
3,27,3364352
3,28,5775488
3,29,9914624
3,30,17020160
3,31,29218048
3,32,50157824
3,33,86104576
3,34,147813376
3,35,253747200
3,36,435600896
3,37,747784192
3,38,1283700736
3,39,2203694080
3,40,3783021568
3,41,6494210048
3,42,11148433408
3,43,19138211840
3,44,32854046720
3,45,56399646720
3,46,96819736576
3,47,166207803392
3,48,285324406784
3,49,489808633856
3,50,840841134080
3,51,1443449061376
3,52,2477929668608
3,53,4253794336768
3,54,7302372818944
3,55,12535784423424
3,56,21519839510528
3,57,36942522056704
3,58,63418220904448
3,59,108868331634688
3,60,186891298177024
3,61,320831198658560
3,62,550762175856640
3,63,945478418628608
3,64,1623077036294144
3,65,2786292118192128
3,66,4783151750840320
3,67,8211106266349568
3,68,14095782368903168
3,69,24197845472509952
3,70,41539781914001408
3,71,71310211622895616
3,72,122416297038577664
3,73,210148721194172416
3,74,360756582970556416
3,75,619300995109748736
3,76,1063137141908307968
3,77,1825058560263847936
3,78,3133028296249311232
3,79,5378384298901504000
3,80,9232925761091928064
3,81,15849912050212929536
3,82,27209112095121473536
3,83,46709141265862098944
3,84,80184309953482194944
3,85,137650219817147301888
3,86,236300381292813352960
3,87,405650425210386513920
3,88,696369030693442813952
3,89,1195437738435553525760
3,90,2052175389035960729600
3,91,3522913567105808859136
3,92,6047689718727396294656
3,93,10381904136253978181632
3,94,17822331916368260104192
3,95,30595111529493345337344
3,96,52521794223933526900736
3,97,90162732887638489956352
3,98,154779906549026809446400
3,99,265706447709173255766016
3,100,456131018090936585420800
4,0,1
4,1,2
4,2,4
4,3,8
4,4,16
4,5,30
4,6,56
4,7,104
4,8,192
4,9,356
4,10,660
4,11,1224
4,12,2272
4,13,4216
4,14,7824
4,15,14520
4,16,26944
4,17,50000
4,18,92784
4,19,172176
4,20,319504
4,21,592896
4,22,1100224
4,23,2041664
4,24,3788672
4,25,7030560
4,26,13046464
4,27,24210048
4,28,44926080
4,29,83368384
4,30,154704960
4,31,287082752
4,32,532733440
4,33,988582272
4,34,1834491392
4,35,3404227200
4,36,6317153024
4,37,11722608384
4,38,21753398528
4,39,40367325440
4,40,74908799232
4,41,139006687744
4,42,257951795200
4,43,478675736576
4,44,888268525568
4,45,1648341274112
4,46,3058792333312
4,47,5676136783872
4,48,10533087989760
4,49,19546030482432
4,50,36271158846464
4,51,67307628791808
4,52,124901355171840
4,53,231776825358336
4,54,430103393988608
4,55,798133848086528
4,56,1481080243412992
4,57,2748409546452992
4,58,5100165955645440
4,59,9464271003095040
4,60,17562649215537152
4,61,32590639824994304
4,62,60477766831603712
4,63,112227323568308224
4,64,208257890711732224
4,65,386459800204550144
4,66,717145346395881472
4,67,1330791579318353920
4,68,2469522024349859840
4,69,4582640229714083840
4,70,8503909367045505024
4,71,15780526268246065152
4,72,29283591646429118464
4,73,54340946882129788928
4,74,100839355489596735488
4,75,187125477176792350720
4,76,347244823597218594816
4,77,644374936723035848704
4,78,1195753056231137804288
4,79,2218933869087884378112
4,80,4117629045334916268032
4,81,7640997864418198028288
4,82,14179239489820192145408
4,83,26312117353926891143168
4,84,48826844355359718506496
4,85,90606951072552873492480
4,86,168137418894301758750720
4,87,312009082060390119505920
4,88,578988710117914584285184
4,89,1074417206801442858598400
4,90,1993773477959387946680320
4,91,3699803629586599171850240
4,92,6865648003058149414141952
4,93,12740439012749242279657472
4,94,23642165483182594383151104
4,95,43872270663110766315962368
4,96,81412852579278432147341312
4,97,151076123139174678563651584
4,98,280348793337482652920315904
4,99,520237376315108961975009280
4,100,965393588797882592287260672
5,0,1
5,1,2
5,2,4
5,3,8
5,4,16
5,5,32
5,6,62
5,7,120
5,8,232
5,9,448
5,10,864
5,11,1668
5,12,3220
5,13,6216
5,14,12000
5,15,23168
5,16,44728
5,17,86352
5,18,166712
5,19,321856
5,20,621376
5,21,1199632
5,22,2316016
5,23,4471312
5,24,8632336
5,25,16665632
5,26,32174752
5,27,62116736
5,28,119922880
5,29,231523712
5,30,446980832
5,31,862943424
5,32,1666002880
5,33,3216393472
5,34,6209585280
5,35,11988256320
5,36,23144587456
5,37,44683056000
5,38,86265330816
5,39,166544278016
5,40,321531213952
5,41,620749765632
5,42,1198422594176
5,43,2313680638720
5,44,4466803383040
5,45,8623632894208
5,46,16648828685056
5,47,32142311713024
5,48,62054107336960
5,49,119801969185280
5,50,231290279348224
5,51,446530167114752
5,52,862073368173568
5,53,1664323145099264
5,54,3213150566501888
5,55,6203324512677888
5,56,11976169249822720
5,57,23121252097527808
5,58,44638004641204224
5,59,86178354439603200
5,60,166376360986854400
5,61,321207032499419136
5,62,620123899303428096
5,63,1197214293519503360
5,64,2311347887442208768
5,65,4462299761789915136
5,66,8614938180554700800
5,67,16632042627501383680
5,68,32109904466570616832
5,69,61991541745295822848
5,70,119681179741896232960
5,71,231057082646262894592
5,72,446079956398632423424
5,73,861204189119126380544
5,74,1662645103680802349056
5,75,3209910931368403877888
5,76,6197070056928074432512
5,77,11964094366351409807360
5,78,23097940267261831700480
5,79,44592998705400311463936
5,80,86091465755425419870208
5,81,166208613259731498631168
5,82,320883177900616326512640
5,83,619498663999411809239040
5,84,1196007211122546658951168
5,85,2309017488145043101089792
5,86,4457800681281474044657664
5,87,8606252233281178433552384
5,88,16615273494364765901651968
5,89,32077529894483262103879680
5,90,61929039234921531323482112
5,91,119560512083570200759828480
5,92,230824121063140992741867520
5,93,445630199604114810547535872
5,94,860335886407992628690616320
5,95,1660968754135108718942027776
5,96,3206674562572920099011362816
5,97,6190821907186698614058647552
5,98,11952031657291449592505958400
5,99,23074651940975143548725755904
5,100,44548038146496054916948688896
6,0,1
6,1,2
6,2,4
6,3,8
6,4,16
6,5,32
6,6,64
6,7,126
6,8,248
6,9,488
6,10,960
6,11,1888
6,12,3712
6,13,7300
6,14,14356
6,15,28232
6,16,55520
6,17,109184
6,18,214720
6,19,422264
6,20,830416
6,21,1633080
6,22,3211584
6,23,6315840
6,24,12420608
6,25,24426128
6,26,48035952
6,27,94466576
6,28,185776144
6,29,365343776
6,30,718478016
6,31,1412944992
6,32,2778670336
6,33,5464479424
6,34,10746339712
6,35,21133544160
6,36,41560819840
6,37,81732705728
6,38,160733960768
6,39,316096303360
6,40,621628886144
6,41,1222483363392
6,42,2404112175424
6,43,4727880579072
6,44,9297758648064
6,45,18284792610944
6,46,35958520056320
6,47,70715331158144
6,48,139067404692224
6,49,273487272577152
6,50,537834789016320
6,51,1057695510106880
6,52,2080043565323008
6,53,4090573508442368
6,54,8044442869816576
6,55,15820046003863296
6,56,31111396974848256
6,57,61183072507515392
6,58,120321448904598528
6,59,236621837922958336
6,60,465335937123168256
6,61,915120667978243072
6,62,1799658634014516224
6,63,3539173916963698176
6,64,6960071081133230080
6,65,13687541384229740544
6,66,26917654570059061248
6,67,52935739678407972864
6,68,104102403424743399424
6,69,204725776283588434944
6,70,402609758238837806080
6,71,791764575871482591232
6,72,1557068925371306541056
6,73,3062101680525915258880
6,74,6021870033559159664640
6,75,11842493321400629258240
6,76,23289218678890759774208
6,77,45800127722516229978112
6,78,90069646746032812056576
6,79,177129227981756406677504
6,80,348338919257446324543488
6,81,685036591939209709899776
6,82,1347179733163439158767616
6,83,2649337648239627377127424
6,84,5210136258432221590097920
6,85,10246153354392995990953984
6,86,20149887326234612146176000
6,87,39626379307105697521639424
6,88,77928472331762936145543168
6,89,153252628833373495854366720
6,90,301383660446361803282792448
6,91,592695286700802057763872768
6,92,1165583105457920883217301504
6,93,2292213226954099595683676160
6,94,4507822267858884714119544832
6,95,8864996222714548308821442560
6,96,17433730382203120002786033664
6,97,34284837511897359496609906688
6,98,67423899386280481342312955904
6,99,132594538529568605259693162496
6,100,260757858977327640282514587648
7,0,1
7,1,2
7,2,4
7,3,8
7,4,16
7,5,32
7,6,64
7,7,128
7,8,254
7,9,504
7,10,1000
7,11,1984
7,12,3936
7,13,7808
7,14,15488
7,15,30724
7,16,60948
7,17,120904
7,18,239840
7,19,475776
7,20,943808
7,21,1872256
7,22,3714040
7,23,7367632
7,24,14615352
7,25,28992832
7,26,57513792
7,27,114091520
7,28,226326144
7,29,448968720
7,30,890630256
7,31,1766765072
7,32,3504775184
7,33,6952508448
7,34,13791861440
7,35,27359253632
7,36,54273222112
7,37,107663121152
7,38,213573972672
7,39,423671925120
7,40,840448383712
7,41,1667218061440
7,42,3307301338496
7,43,6560774740032
7,44,13014769681984
7,45,25817717660928
7,46,51215239416960
7,47,101596925916736
7,48,201540312478016
7,49,399800458401920
7,50,793093970000768
7,51,1573279950117632
7,52,3120954004277376
7,53,6191112965042688
7,54,12281462557085824
7,55,24363038341049088
7,56,48329556390250368
7,57,95872525757303040
7,58,190184679554372352
7,59,377274011000425216
7,60,748407704079319808
7,61,1484634708974553344
7,62,2945106266381180160
7,63,5842279496663957760
7,64,11589473054593810176
7,65,22990321801593481728
7,66,45606464940294857728
7,67,90470662494431926272
7,68,179468870979073385472
7,69,356016798843333517312
7,70,706239251226101479424
7,71,1400984115336343254016
7,72,2779166533178687164928
7,73,5513100780079971577856
7,74,10936473165051669018624
7,75,21694949913134055118848
7,76,43036803970539589974016
7,77,85373163036313644023808
7,78,169356836344406804498432
7,79,335957307853128921175040
7,80,666446747212455273524224
7,81,1322046749654967152166912
7,82,2622576545813769532133376
7,83,5202469383512727994556416
7,84,10320266048893907881013248
7,85,20472564751171629441077248
7,86,40611928559325814648801280
7,87,80562878239932976592904192
7,88,159814556474980929428523008
7,89,317028053357644254097113088
7,90,628896321039890591269380096
7,91,1247557048749018822765846528
7,92,2474809500093482202411565056
7,93,4909340272570656034407682048
7,94,9738778645780097744927158272
7,95,19319053935090099584183078912
7,96,38323680876414872519028977664
7,97,76023625217465252363713421312
7,98,150809928979512248264433909760
7,99,299165353056335569769576382464
7,100,593461644567716791875160530944
8,0,1
8,1,2
8,2,4
8,3,8
8,4,16
8,5,32
8,6,64
8,7,128
8,8,256
8,9,510
8,10,1016
8,11,2024
8,12,4032
8,13,8032
8,14,16000
8,15,31872
8,16,63488
8,17,126468
8,18,251924
8,19,501832
8,20,999648
8,21,1991296
8,22,3966656
8,23,7901568
8,24,15739904
8,25,31353848
8,26,62456784
8,27,124413752
8,28,247831872
8,29,493680448
8,30,983410176
8,31,1958950528
8,32,3902224384
8,33,7773220880
8,34,15484235888
8,35,30844557840
8,36,61442279440
8,37,122392861728
8,38,243806264000
8,39,485661447296
8,40,967436346880
8,41,1927130700768
8,42,3838839371520
8,43,7646958099136
8,44,15232720755072
8,45,30343540345568
8,46,60444253886592
8,47,120404797406592
8,48,239846045014016
8,49,477772701320256
8,50,951721985299008
8,51,1895827733142784
8,52,3776483940973696
8,53,7522746242766400
8,54,14985291058450752
8,55,29850661029861504
8,56,59462439564508160
