tasks 10642 existing 0
100 {'sat': 100} seconds 0.31
200 {'sat': 200} seconds 0.55
300 {'sat': 300} seconds 0.78
400 {'sat': 400} seconds 1.02
500 {'sat': 500} seconds 1.31
600 {'sat': 600} seconds 1.6
700 {'sat': 700} seconds 1.95
800 {'sat': 800} seconds 2.24
900 {'sat': 900} seconds 2.57
1000 {'sat': 1000} seconds 2.87
1100 {'sat': 1100} seconds 3.16
1200 {'sat': 1200} seconds 3.44
1300 {'sat': 1300} seconds 3.74
1400 {'sat': 1400} seconds 4.06
1500 {'sat': 1500} seconds 4.37
1600 {'sat': 1600} seconds 4.68
1700 {'sat': 1700} seconds 4.99
1800 {'sat': 1800} seconds 5.35
1900 {'sat': 1900} seconds 5.79
2000 {'sat': 2000} seconds 6.2
2100 {'sat': 2100} seconds 6.64
2200 {'sat': 2200} seconds 7.03
2300 {'sat': 2300} seconds 7.43
2400 {'sat': 2400} seconds 7.83
2500 {'sat': 2500} seconds 8.19
2600 {'sat': 2600} seconds 8.57
2700 {'sat': 2700} seconds 8.94
2800 {'sat': 2800} seconds 9.39
2900 {'sat': 2900} seconds 9.79
3000 {'sat': 3000} seconds 10.17
3100 {'sat': 3100} seconds 10.57
3200 {'sat': 3200} seconds 10.9
3300 {'sat': 3300} seconds 11.28
3400 {'sat': 3400} seconds 11.72
3500 {'sat': 3500} seconds 12.15
3600 {'sat': 3600} seconds 12.63
3700 {'sat': 3700} seconds 12.99
3800 {'sat': 3800} seconds 13.39
3900 {'sat': 3900} seconds 13.84
4000 {'sat': 4000} seconds 14.28
4100 {'sat': 4100} seconds 14.78
4200 {'sat': 4200} seconds 15.2
4300 {'sat': 4300} seconds 15.66
4400 {'sat': 4400} seconds 16.09
4500 {'sat': 4500} seconds 16.53
4600 {'sat': 4600} seconds 17.02
4700 {'sat': 4700} seconds 17.47
4800 {'sat': 4800} seconds 17.89
4900 {'sat': 4900} seconds 18.35
5000 {'sat': 5000} seconds 18.85
5100 {'sat': 5100} seconds 19.35
5200 {'sat': 5200} seconds 19.86
5300 {'sat': 5300} seconds 20.31
5400 {'sat': 5400} seconds 20.82
5500 {'sat': 5500} seconds 21.29
5600 {'sat': 5600} seconds 21.75
5700 {'sat': 5700} seconds 22.25
5800 {'sat': 5800} seconds 22.79
5900 {'sat': 5900} seconds 23.28
6000 {'sat': 6000} seconds 23.82
6100 {'sat': 6100} seconds 24.28
6200 {'sat': 6200} seconds 24.76
6300 {'sat': 6300} seconds 25.35
6400 {'sat': 6400} seconds 25.89
6500 {'sat': 6500} seconds 26.43
6600 {'sat': 6600} seconds 27.1
6700 {'sat': 6700} seconds 27.78
6800 {'sat': 6800} seconds 28.3
6900 {'sat': 6900} seconds 28.94
7000 {'sat': 7000} seconds 29.54
7100 {'sat': 7100} seconds 30.12
7200 {'sat': 7200} seconds 30.73
7300 {'sat': 7300} seconds 31.33
7400 {'sat': 7400} seconds 31.91
7500 {'sat': 7500} seconds 32.49
7600 {'sat': 7600} seconds 33.07
7700 {'sat': 7700} seconds 33.61
7800 {'sat': 7800} seconds 34.15
7900 {'sat': 7900} seconds 34.74
8000 {'sat': 8000} seconds 35.39
8100 {'sat': 8100} seconds 35.97
8200 {'sat': 8200} seconds 36.66
8300 {'sat': 8300} seconds 37.31
8400 {'sat': 8400} seconds 38.0
8500 {'sat': 8500} seconds 38.81
8600 {'sat': 8600} seconds 39.49
8700 {'sat': 8700} seconds 40.13
8800 {'sat': 8800} seconds 40.77
8900 {'sat': 8900} seconds 41.47
9000 {'sat': 9000} seconds 42.14
9100 {'sat': 9100} seconds 42.85
9200 {'sat': 9200} seconds 43.63
9300 {'sat': 9300} seconds 44.32
9400 {'sat': 9400} seconds 45.17
9500 {'sat': 9500} seconds 46.29
9600 {'sat': 9600} seconds 47.22
9700 {'sat': 9700} seconds 48.13
9800 {'sat': 9800} seconds 48.97
9900 {'sat': 9900} seconds 49.82
10000 {'sat': 10000} seconds 50.63
10100 {'sat': 10100} seconds 51.76
10200 {'sat': 10200} seconds 52.77
10300 {'sat': 10300} seconds 53.87
10400 {'sat': 10400} seconds 55.03
10500 {'sat': 10500} seconds 56.55
10600 {'sat': 10600} seconds 58.26
DONE {'sat': 10642} seconds 59.53921689599997
