s,t,exact,monte_carlo,absolute_error
0.25,0.5,0.10873822206142497,0.10868065090493148,5.7571156493491094e-05
0.5,1.0,0.025205206750372463,0.02519639386322099,8.812887151474214e-06
1.0,0.5,0.06580329056233601,0.06579929335542645,3.99720690956451e-06
1.5,2.0,0.001693090227843454,0.001692180747191569,9.094806518849391e-07
