m,d,delta,action,B,log_phi,abs_delta_log_plus_A,abs_two_term_residual
2,1,0.12,0.223592643393102163-7.71256617097948864e-82j,0.111796321696551081-7.71256617097948864e-82j,-1.75103994926250399+4.48144079805986479e-80j,0.0134678494816016838,0.000435757316796283258
2,1,0.08,0.223592643393102163-7.71256617097948864e-82j,0.111796321696551081-7.71256617097948864e-82j,-2.68282586043605389+1.05401082369789125e-79j,0.00896657455821785186,0.000285860281172066865
2,1,0.05,0.223592643393102163-7.71256617097948864e-82j,0.111796321696551081-7.71256617097948864e-82j,-4.35988022663474177+2.78607241973765236e-79j,0.00559863206136507435,0.00017631953075040552
2,1,0.03,0.223592643393102163-7.71256617097948864e-82j,0.111796321696551081-7.71256617097948864e-82j,-7.34118697807050918+7.9018123260977778e-79j,0.00335703405098688739,0.000104813336345164815
2,1,0.02,0.223592643393102163-7.71256617097948864e-82j,0.111796321696551081-7.71256617097948864e-82j,-11.0677663058986413+1.79622238123570686e-78j,0.00223731727512933686,0.0000695420599157615809
2,1,0.012,0.223592643393102163-7.71256617097948864e-82j,0.111796321696551081-7.71256617097948864e-82j,-18.5208823978712958+5.03021697522862646e-78j,0.00134205461864661349,0.000041563190666709457
2,1,0.008,0.223592643393102163-7.71256617097948864e-82j,0.111796321696551081-7.71256617097948864e-82j,-27.8372564480794659+1.13637957994744456e-77j,0.000894591808466435845,0.0000276543617533991272
2,1,0.005,0.223592643393102163-7.71256617097948864e-82j,0.111796321696551081-7.71256617097948864e-82j,-44.6067150985730742+2.91792773243028605e-77j,0.000559067900236791707,0.0000172583508072599839
2,1,0.003,0.223592643393102163-7.71256617097948864e-82j,0.111796321696551081-7.71256617097948864e-82j,-74.4190744646080048+8.1216449695665132e-77j,0.000335419999278148572,0.0000103447294984427261
3,3,0.12,-0.000415351060656901656+3.43226492171159909e-85j,-0.000207675530328450828+0.197055577463062029j,-0.0237072058359118438+0.193758708693105656j,0.0234785029848092746,0.0271616180478008381
3,3,0.08,-0.000415351060656901656+3.43226492171159909e-85j,-0.000207675530328450828+0.197055577463062029j,-0.012713762968206778+0.195641321695637055j,0.0157167200854443668,0.0177543927836204212
3,3,0.05,-0.000415351060656901656+3.43226492171159909e-85j,-0.000207675530328450828+0.197055577463062029j,-0.00281936675569716109+0.196518419865701937j,0.00984165710840219152,0.0109319174712949394
3,3,0.03,-0.000415351060656901656+3.43226492171159909e-85j,-0.000207675530328450828+0.197055577463062029j,0.00714620685319161809+0.196865892054341047j,0.00590939492519209327,0.0064939238874829009
3,3,0.02,-0.000415351060656901656+3.43226492171159909e-85j,-0.000207675530328450828+0.197055577463062029j,0.0162529987649655831+0.196972093629099566j,0.00394047646199636091,0.00430768778006280174
3,3,0.012,-0.000415351060656901656+3.43226492171159909e-85j,-0.000207675530328450828+0.197055577463062029j,0.031830792803128569+0.197025759537117553j,0.00236454475879206979,0.00257429275030926001
3,3,0.008,-0.000415351060656901656+3.43226492171159909e-85j,-0.000207675530328450828+0.197055577463062029j,0.049998492311289791+0.197042377516820676j,0.00157641388344606607,0.0017127656059390608
3,3,0.005,-0.000415351060656901656+3.43226492171159909e-85j,-0.000207675530328450828+0.197055577463062029j,0.0817936751806198815+0.197050436597013659j,0.00098527285700028747,0.00106887378328390004
3,3,0.003,-0.000415351060656901656+3.43226492171159909e-85j,-0.000207675530328450828+0.197055577463062029j,0.13760199747261895+0.19705373043691107j,0.000591166669801560026,0.000640683211755278164
4,2,0.12,-0.00226674420827387022+9.52170363324228379e-84j,-0.00113337210413693511+0.110816423223968414j,0.00382759125704173199+0.10995724207260284j,0.0133180848545399658,0.0139550457566200682
4,2,0.08,-0.00226674420827387022+9.52170363324228379e-84j,-0.00113337210413693511+0.110816423223968414j,0.0180907442435426188+0.110450002404307014j,0.00887391990731805809,0.0091175521841898446
4,2,0.05,-0.00226674420827387022+9.52170363324228379e-84j,-0.00113337210413693511+0.110816423223968414j,0.0385901788114766016+0.110677610198413154j,0.00554414656406740716,0.00561304996388697761
4,2,0.03,-0.00226674420827387022+9.52170363324228379e-84j,-0.00113337210413693511+0.110816423223968414j,0.0710909648169108912+0.110767453313921927j,0.003325724873348531,0.00333416299244922418
4,2,0.02,-0.00226674420827387022+9.52170363324228379e-84j,-0.00113337210413693511+0.110816423223968414j,0.109992288168413235+0.110794877212802358j,0.0022169071538002598,0.0022116550945814986
4,2,0.012,-0.00226674420827387022+9.52170363324228379e-84j,-0.00113337210413693511+0.110816423223968414j,0.186440315996673869+0.110808728800905911j,0.00133003106227992001,0.0013216849860909767
