epsilon,target,w0,w1,w_exact,w_first_order,abs_error
0.07,1.1,2.03518057345859829+2.14552764556179517e-81j,9.92672715953230595e-81-3.68517668545472317j,2.01941615950314861-0.26571645027482798j,2.03518057345859829-0.257962367981830622j,0.0175682252821778202
0.05,1.1,2.03518057345859829+2.14552764556179517e-81j,9.92672715953230595e-81-3.68517668545472317j,2.02734147890955031-0.18780172696768082j,2.03518057345859829-0.184258834272736159j,0.00860252823283980605
0.035,1.1,2.03518057345859829+2.14552764556179517e-81j,9.92672715953230595e-81-3.68517668545472317j,2.03140147217870811-0.130568817906222377j,2.03518057345859829-0.128981183990915311j,0.00409904719815481732
0.025,1.1,2.03518057345859829+2.14552764556179517e-81j,9.92672715953230595e-81-3.68517668545472317j,2.0332706280750134-0.0928894985766397989j,2.03518057345859829-0.0921294171363680793j,0.00205563011364466644
0.018,1.1,2.03518057345859829+2.14552764556179517e-81j,9.92672715953230595e-81-3.68517668545472317j,2.03419635013733987-0.0667091665298808258j,2.03518057345859829-0.0663331803381850171j,0.001053594401301976
0.013,1.1,2.03518057345859829+2.14552764556179517e-81j,9.92672715953230595e-81-3.68517668545472317j,2.03466921237310111-0.0480967041728687536j,2.03518057345859829-0.0479072969109114012j,0.000545312085546466997
0.009,1.1,2.03518057345859829+2.14552764556179517e-81j,9.92672715953230595e-81-3.68517668545472317j,2.03493620433683818-0.0332548004066719227j,2.03518057345859829-0.0331665901690925085j,0.000259802451265622935
0.0065,1.1,2.03518057345859829+2.14552764556179517e-81j,9.92672715953230595e-81-3.68517668545472317j,2.03505333238265294-0.0239988213624770336j,2.03518057345859829-0.0239536484554557006j,0.000135021786895626649
