n,beta_n_numerator,beta_n_denominator,beta_n_decimal,quarter_minus_beta_n,scaled_n2_over_log2
16,265659285368952707697616308348811525796035948564307953136802173574109444545234195577238307932318158739612768004922117451322421390458430543827879638356548258498573131999692213779379673347090601223709781612034015176692948665430942354293922738395529289351782718283042704311397785275295083290427540275337877022602699876890713348949626145709433722642885205068304974439699900202110942443373190274227895466698404391253929272859775848074991169290100889457575408091474475275969875873478400,1152041669893457044868174342333187729387371701475664821647848131212785621504032257723146073757959547138775712851929411681382707269968104908555082864431697976175753479119538813391233673679474944756464390605402101530165835262714280491199435315968535018791545902227199575033000773727302874289141560660096221996167921349931193647542049872586509132047271691815400724416875298825127569578958270379186312424809725870728410494856769080314929251647159903178235977436598763546794010911279403,0.23059867738423156514,0.019401322615768434865,0.64610097732708804408
17,27719188528692183438659523366666943054174339564745813139416471151338607150556679051476762780109407748048025382634744368777347476494850836629076908808861920399095994106546299550023758913362766354232439171777056080719053189015510677006788586674197861927936083702633105328924239647513474654490831124013244688960103861509020444392740359024025655715892264103435778848222314715174613870803673077909839898781320331713904076439193469056987284679785454051455793811411781529918756339881556223079843754128428163205760484765758988997254041274064183285629986146378598554167720454201683117649421055,119568226200615816287314007351906759885611711366622048497316020135348591040154279484077393826253060679699839674855160668161368857498601510376575380864904365377987078070242912001673858795980012641539164172450608600743863769378552926305180268227468904407918925089457056710834626366409629060483054871941952413478439600508933892778306333448977321243656595624123815654138521419380538231996288135046695430385021256114638390637219237131542940243636121271097404361098988872529853208884913959901658271755005836764541052644620332808291878028944165075683286110685251566786845332707840153921460671,0.23182737930881355815,0.018172620691186441855,0.65426975925433650261
18,4216964496279069976070692011021133007907393565901481094206387786458499669418268563197595628536000129744373528600851003269500752855328421811445338636566023727895102896521402928556908875770561981691977663665392773787775401448470228719428653516910255988027852752064641487547827997671963021111663032022828440616711194327997711668434290148150003345856309189828958761592946203324547674242699804454801705620446122407119685257736111902396790336720268201143122423159090648799913656285727592859498625768501651057351695355597793850318275333526227950288717964361220692603279501872663824577423977800320948895641979000709815910490680459139116469045193959228628311013264114326568942990392883647439853031576425191424,18101958960917260865484907859054500826071437586812017138143000227813551550301485709993059004083990707591639868196715574890932575367718786968875689140061936439137021947208640982634368942260444140644539581797318391521911215539373272942674226449223973650305405114257910824602245607640037090265371544170004577916265978084923996677230023489246572147991330898726865057935280216765215522605350482393575703365103757340197792968809724043830012522085255577923446980504114551937416000728468784731072242084572998044255281352768272733945056179466514347035188330026827642574232947772221893018546222275517325618498902275329444112971426534560186550097038051865202849566117004572947605628260789817242279292447943762725,0.23295625105457581916,0.017043748945424180841,0.66100193149401009762
19,461162236040398275556197590167436354703049255754411843978454610178609750023043210515661801959331380800258233804977155769157280251662991393880852981519301160605185143051738701128328051857224364801748193992381593139527107561816074716071502398272282275089668745953321960162347787011220025950810510467119795310739044032616989469383986691254557877211419357291913576304985850861743775684972883118227927549114392571024108563967715585119808811045204949567890649620350908102171360525279888896922926636745524963904943087038986497956048050003246981438764467581679430069874024747102591052606415428439422791475010479162270099686115688425936146839601751187617986283770267101131290871545279991332003417570421060073238211797363556699782235632792172010009781334313997892377247087429501613360400943686621604676735543669812939407572020798810845039273,1971121026997468859836026086865667653138611989701327462563449648484368250465323734824359373156104695096519549408583577312288683967619118113204394930183658226121275743535036010039701883840877879460366557678598809800170960148539111267129559837209777241420618052613795014465027084415465743809880482215690029607002027270132869573660777007163429023569333761743792212816806127717917569115622669906912712075218495519285309937094965440901553427316980977462957280673288710132122641738940473956180017801719763364824006359566036786342483411667405881564900952597281170773240636702011971833503926256420411106395317756455632798450246300067192230681868447173484808729359655646111112797100074405962449910505896744017552593309290078306421268197800381455402001164408382496103771290558982358816494407651385696053827151497189071822607492207106178566425,0.23395937120252252583,0.016040628797477474166,0.66791850179748568639
20,150023994026817679101685972364233124475054830216408548525114769494103417853914300624473125795961677793625376119887540909627298541457682439624346933370465195088639004405546920179024814090304795241413109093374923330224086730621965801890231675924695580588793538145294945804460664348444042145899928783465520866810623910013008042611323784649384486245237865047851077225009357049537607692874393028815647604288675868716182127583873826828203566785353816128788906283755899668830801688800593716997837299377873067160466567106219610167497017587447820570298491382104806973586743968080226021951401633327706226739724994076941415695033705773849529604619850283201645074712016961599563908651144449781989719462747426097979473730003623616951340557692714855096258028450786589188987172958663913598437299332732665456420348284223750523311273757911202822950917314474450747230226208296913022238515550673903694800782644783552827213725874373798096055621834432010017011251947758205266214516616873269668800,638745135128306356079999302902202586631351389250469653334600590396297974116352925683839341967315231923735033857241795577816861394259401844775194009264448545035948551409792290228760362986751149603863711559725662179555230511194757619946382019564000660905483083855770068300355875725020962744491075421523588278805221837194882961603835264849255239647835805098078194587077874878759102585364170183813254183295739248113664911868907505286381619527069904585870370516989121847368703703069524093347157288060138205381963227894921024323009297391615886159382068126030023637451034536210226017134801844198758591143746372436042880958980242730420213180548159191294698368368143283392170307445288480835904301278379475515569744670857662538703464908191219731830141712559417591886337959136125745485876989070089387754763771849808345740798493760779700277406102203624198960031678203467262182952138757374619519017451991082717092195948391245537157360161515852897055791745929246514848467091070154925940837,0.23487301237399163534,0.015126987626008364662,0.67422747565995799768
21,786915266677159670245511276512165317984611623904522304594318274132706236374599277408593200153593169013489120191055345752447267577405511936469020623966500380371492254054333935494136033747921864207818964342015989909124586499470458961910384897343538966869531475305948462660663984873506141901800417253533681156522270966988406577402158967890217089966482207956117102786730782422870981964108338448034642312562070419207708464732396807801458420633325652489098677494899942095597848440863856519672652975158468991406645195138525274899176340304393187950873428059902386989665857316841193106808535860674128158117784365535830270020479558380682035650216186542385842122395492863367643945499752689365068359163641602929955632179764596292944183475728307314738061094681181338742297195297010310559600011262103485088749656629599575902507155480227692119044340231880277978079014436884776121790407199177250142729139323992327424850282765990575062603333812836581722925371695365979068132662055674443281472862333389352918982315872726269424077008280209653071603795307946586803338444590701373471010855162999086514001351102916561967423381539458383592656165038404271517,3338590565152063888474907615436587273040679914097031801761072019175174954061307838622721073032256162985460108229473185988192936908201399713890540717882031282681855911328947315242498807845515231704688432740101891333027855856587038903349886531394850913501911463294636641556428929952984638167321801646845476639470342676936684811924507568774743979232023989262714003327411539020977328194153433995120046775567350724112389530014147082887729226774936767495237349303393934586574749270023697223159604328487731156046194763672621109332458677821193197211007594037410205627453821619381132549389222187672308819169932578148473892103782299213376202420857992727519363839536032343061239761263720844100296180228361813452939818323033214865614854971153284409604909250993609572556582304671551981481399269029258119442266135460665344893001690428815057829431176090203723943784873304587857118307132045196024463463047048162455600919383082493891179340909933594669752135201751733810126423664511113196679271654983770404161556995188274744705689413936002171928599879603337922115646211423252525013405995194625338874853624370316320706227065105774142242299291230662227853,0.23570283666734012651,0.014297163332659873491,0.68022111659028294817
22,857776604914260969750298692267747619388082512935906579042269456080975080395594356850525995079710933664139975561823962367171903814005073132276487969972577384396089044119601756608040002802824606038873811041246981688757787018160393220092492277225616820151995286812960989763490025402069345314724183532803835145765110661698096035610473131120283397566941267466691280973441438863661265986245898626394445242165945341757315289134536437244369308437085289386387256441605870527466979121660340103459537145228488418925942748305192515398241862716735708120455777690561218867960145664078941084196816616449891812396604596477002553947333748124966913743373906278760380250596056352522866533288977510725665150292748430866249501140417455359145561087586816332181357943729951954634715008265403015501540304287531193745425187425441221432604884226032462683840992533784586777278519641021232826658414266351104592666570196305187457280767976709620536561402768444955737481001930187906920246362467014357979882391411601965268146347101550673674992326513952380281768280163499679924321786664766055632531608636114632144169745138498855970110497690304591560483093136837113374762727088783156227945006581488292811028205467579176968498107728065149745315595276461160725518552086504680930082725478067344961001105302678939129308358769217772949062986386950164736,3627645210906505237322103165909193423795052498316502308062634792816414926140701199302276360448366255511494045875861565566648676428724336974490242395289597728822630808368144518759807638215251069056572980994271415397673387211987492530865261812661654856502097088961963176997306952014616020791087104916516323362006399779558041626998952845259331189357207898828833697163498518388864678343515018861016839263681323501094909752312747742122587585157229836840595324924839372303868520599871666660889442324725355988418112106003629966347337769339320620321335281715674794833387789859157207867680026840380910637118287159149560068205601856374777919954606560711778196762564891639591097463689542220328528463920352917153073767332786712428477299132849866153847532634805300789454829002708709246507470596074720773729903829121073102660570214685864305671565242109099744777129112579762917046636813833444670985714706376772134371708097602649384305851741085645392099309041108802162125832831919760124785988034249793489152717211754844203717897904007963436115723366766448921494013298407665960493127197460151811259732452936055007256977799776372844564677240720160114650212244669202013960939839676714157043407052214363460693882078053104193877896847366079783424488827124126283076391531763236822003144946766146723179484056027715233371394722581644332175,0.23645548421751882984,0.013544515782481170163,0.68611814620772670903
23,176128229885607866289830960692389751055172092045928609510887540873180457226864061989410891428366316140409246065568488807578344522944514113727867572731436016367286589928460833823405086461204147253059691296764375066827914553977701226906762656266521550384853398227137280971569105258649580909424117824862164997582053511144571732866593511312556419598996177415118165790320516548225623316839628528893294133359082092782943160937417012914195640734624917728771151801024428963756889214329658082475516783033276832886237726827539745057471600145824134517533343955448562727117732198371353106213664258987193869672936554419962637347535453890201853534645693127835221770394834014042756313544716835113974082003284757046184500895827270578973100209047273432601799128445755706938379973453691073597983720720764204652621653812394836396713053311001038889868795602346459061859941070518081826673791626161296150698756687522436227400328344617055882605059738506087234496722175798100591819856269184765655219426215618546182083024699015351920686812453889698916372001747124057562192003502079455710606450198143858859719431356067402530939159618826080832803278503419150647424581798040299478014199949631882074789663270567645422560384672744617333491222902180642620814323997687194493278713172806385678734598913815181320176369791324554036688336047332009816569522245265837925739661821918736089022010630595196524930218755891790470015920052688047015731092681621864017950735772343388177339657565627642423297609614759686248790701562652261613628341412233804523,742719694951837440506025523899460241993148295627139856154869865181332233815304979289416957265542717003441561511442708864342936367844233905659595824736598369223639531551898516971597366225050881328578880230684377326428339072328854667395422552178401909201974299687983724723636129266227131918887566806560340130360950182763726585574505245629973756385388579322316929864400620808628012922769211281995560311884121539192989468335121994896706448877257808142002592292358522560339755082238204089818944470863541687179039489874280166381236630500342193886130892527345037718671117117009767347347328600139392106503774920258445970789777971225796597664986418069569305363621966325880965457912862510444182979797300630251342765836700760388024586194630819312007823734902838312840771814888619511848416386285853728706993204396626396509339562749622823190471381437208134660702874657400061178737913803890953673909716814531521314318437207656542895320859688716987124944567523242920832796615513930463259765937082707791929595788769491714116521254451643456830426004785535807014243851835612909034683000592964076017694327424999015761448480833989545530257963572686218913334296678753378133290811796169248487964686729340213372063843188670061528182417251695465557821025062886743082863038455610243234037473213355896439374044856808825168869522086648394245569391714540236609287362355289117684200008458423372091190906002105371924405662197051123558293822257794631997382662115110740861769996699213322566377584488786821356479460195741276955250831201685076475,0.23713957106931049523,0.012860428930689504767,0.69198888364089095049
24,398641265321759623080409341334440309444214527879890660270172858118496493571766815364253616645777243315722329982543495707606717761877853644946255651722161678491880288911657177606633527476693427772601292938522897206650170030360069885547625170627048307980214011887222937550825566375158091150058442479788155090677529683146642156371595693671022394467171056292598362167254082538729604742786148043237288632961931272210503278784399511182286909881317140203986131669158620558712705329969794980394413554775519282040625597876104510636168715160202353017231002307704758954738123915806451347971218961105383386027844833053056647828654807667279730182718168761122259279859792721084583725488767750225720211940930912877258884043701813587377755324700238805814544768054459649471981807237515871351024720241247136191321153812355298836659537263360130666683693217092593603558813869504459672918287697232930595225721941757842423691692363449613936999584478630032966088851644928226576061372927217750456225118003479868241153599031279095296453767319862157343319164157475904059508595787019778876897201201276882154402361179574434197608301649427590492419202933434266101262141504031445240328377675413483220998205879811419290201144779809483900546120393941321682848740925045486278130614893371496656983422534377904567212102222382222823420843173042454042658927649736281707518337136735177763068340600933400375199398073355013309055180397626071967140774549417646126496736143508481103754891726478561475287876265436452575679312385433151458712837640135138303941190079409202985910242359086858855990613587201585108821922810140994365405196492592362001213864521999178796732041588959479514431848898976410052095419803354153968468158109221796101766773028335476531166934672279872,1676609481881015615309933672187691803720771587322674461444614156245384899587487752231973703164797624440926293328141938723687001240601537452688107075054491729277823076968858111630073003713282687353179867283445112697898087211003103885014256120055857675764571838358355222166111945708881695419531748356216357411669021236313124956050338563304811702045031096659609669887252755101630496353971842921205839205410127170189142745718257590318598771927216915180945094031747526866688436052555998464970852555606132712893172309819549500514101217041533341513638195662918337592873707549289470760828372818972852235956571116911708029469022077544681034693644764603208970118121002286086560185922018700317246695037318891917440717613222473254294666213931265245638500532583388764562709912110403193720554043301890922647568643564370400132753220928947418958722262323946832007779204616499568467986046586101092210254901591416538052422107297194466088494020878326665290649545527546251966129239833551299647404346953035462031586857265846033579060605125654177482146316106977230801604592598371788965018433570841938801383461370619031986916918565714448263403134038734718040202352014873935418396545258801633080461556202226514645122069542949948224506312487007587131740533014219867468844143352770498513560579406953597109161523245745508273450626126334173594056025763001733800824969925779775036224898934750847526852273560689127194086926184911391542024348142568786038314056174574496165713574325804716429502198871534557798029684464615690191497464263882147668612192740890549731835081336744128321830438890948409095278368785697290907218416892728700728411120423436861242427399412271708474136658920268217086293988008618521929819022136378793130637121159350317700971809405085603,0.23776631924717345212,0.012233680752826547877,0.69768137329152812853
25,54782388473233910364110788744686185907919195773864742834341912864325003712959606678214249479686979366366810706360757397389585191120853485856689101060363411798096004187610024924214649867519017134615933022724325059465402370397144201901362824205260530822134239941283868805298769332747952462623392292886515040511783517121583946417481660270598759787553241126360213907038572444824618256851624637247231971324348704010749391169395793466899020726453193524176054617729498545447231629200097694426157502816434582318644398718136728003557521894075256963592987690343853520608308274968895088760665921360933296580880120474645703743960842965656963301077963204578525106959220006352111541009556594091755087327848103506707251900891335427110485268086038798122738362690720253871867586661050550342403193930982066588910694899485987419521675402207784448723314072804442078439099500988577275230902032099895715262866545288117625280546993565965159898527241561160380674343519023415643468215539927264329611275377319940746396444203791380994690044259074437545122177616911677653497864079657160428364789440468488712678799640651567719717259934106473352705546646384644586950653840385679733698227635255296915092900713189171830240237510519623869686845694187462594947707756576419116397115394453329204337002223829490466906036452772993895562888926926599064035530720321875237058711303139691096802256303118488296652547978495471764021651873969172437858839724781387866972646509489457170992522737944366752256384128557286640537803802820226783082932152645389580083954381183489943802612266828814628725502723865945495591311232356391658768430769046781755976449878045168043171027827596533979635534404626084853089708224462112061278115838565123430618757186137427181494850661568912089296768661871082756655702835413292449592185332008167406907488053373421625526133076117126808599121989290198147562247963744728736099942108491762596544085566327563444558510879771745898040721183834567628103517590386155373853060419221875,229846666248199172382294558080654986565315247511552076866754312495690260896966648875490595486927446503136297349782935446304104776513624209979440889966492762900845857182915626977634721372491365290038188104271099394514173960251552024816019778552744136474535685974289165974651007448690081410063379433045006805076306732900527295889603348461050827450611915911150030825575815731693610646194665386686615616141674922098076625181238075805249502888908903956891644838337707696945858844326066344131082214452610471224937457888710167710829088195483704053860190810840820749120205709809279816200210252893239600999439744749738508434684849682177766463045885676422155655484076930227173675641874152033068722210141393612861132801280741432196315636325005648385986736118837984014696033509670817667363736739942585557672517697550542447278583419677045326037066748654854176703096936622310491365759380795615714395047182460723572516770029304586902782393366969138877024182628315564086652101011891316880814570412785966895955029265657055769541127182418283467784391512397330178856019336838993098709405367634864724163582392641517890745427779980661021775541816043349694506383755910306951250916826902261851516019765938047285305560573340833430809563918496533430742865226073901479823807045962659877710821189727997608475392905575849544830042278439857724918523608609742699820269827667068961885739930544045629537390833076785329770445146065284241185092161187059717931732196474229029873820744943952829169633080352385774953439187095967421432445126466181552067482264884187995054413867344583012259121352308323164778931097048831872136569975677970665343701274442885932244665014615810601919873962144868199191301515123997897061035528886126125380516129011359852496949900566016468878234330992124613923097023968153460432133425292364620195512830200210137316889233665236444089376442495865959036884613494098822489756355294828991388053056702702727672304616696874602974117023318121927576797265099065308592964366883939,0.23834319360576380897,0.011656806394236191027,0.70315513786880179392
