n,a5(n),mod5,n_mod5,conjecture_holds
1,1,1,1,True
2,2,2,2,True
3,33,3,3,True
4,1264,4,4,True
5,80505,0,0,True
6,7365456,1,1,True
7,893006317,2,2,True
8,136393773888,3,3,True
9,25351203412449,4,4,True
10,5592284787086560,0,0,True
11,1436624546038113861,1,1,True
12,423481344402695225472,2,2,True
13,141548721406753236765553,3,3,True
14,53128822864461262647331344,4,4,True
15,22211404270599760578059471565,0,0,True
16,10271826971569148623531898348416,1,1,True
17,5223579645342715413956841985430337,2,2,True
18,2905985066024317496924828343796037568,3,3,True
19,1760545155283425791631801082846418868469,4,4,True
20,1156837908790967628471253167661065891357120,0,0,True
21,821472656465860090100216866453522113606973521,1,1,True
22,628323987579184923926360245418262988461008156272,2,2,True
23,516114659489378430688740267292635767160672734031357,2,3,False
24,454037334939528563499548911469632061937352653587474112,2,4,False
25,426701527250952703120023144035121607552226451147046173025,0,0,True
26,427395574972847524544428071065499988099211075342122167708576,1,1,True
27,455267377746763561673859774520978961980656270385083390196423077,2,2,True
28,514700523863016959865748201247868227722724496741192466456926358528,3,3,True
29,616412912842852646216346476216508791119926974520292773507115541761329,4,4,True
30,780631796040563287174373362969682397788357196625378453463134345707011280,0,0,True
31,1043644334656998084777104279717335489663225234702292733743894609038488900781,1,1,True
32,1470641552181784798906951368262695808910559386243462180370274150601469654227712,2,2,True
33,2181040318510868406321646505593278651396651316310578795258072794297622969856653953,3,3,True
34,3399481887034698894229639741233648816335488325453879606918490283185008522375868874624,4,4,True
35,5561294496354236671731668602431316403200051088627970686721745890776738313085795695996885,0,0,True
36,9536850401972439727328566537173060104435424846129063174580618456860764019236950542064086336,1,1,True
37,17122980915604158933387071628801621178967312242560125998031096812969898733687467660641291366417,2,2,True
38,32151714277496195055292794336359411618958596822724544687021189113304127944052134529451173949815088,3,3,True
39,63067860572055541085466768562734123904537550999859555648745508944524446000211714137090653052171930589,4,4,True
40,129104768170171110840005175036261289647077363790631355742297862247723242343822063704995563076832233163840,0,0,True
