t,p,r,n,N,proved_exponent,actual_valuation,scaled_difference
-4,3,4,1,81,8,11,11655623699625087423781056464042890276054814688332751187976145201786728606573828721883073343047513775142806270587901741120
-4,5,1,1,5,2,3,162215
-4,5,1,2,10,2,4,-7634067867525
-4,5,1,3,15,2,3,413354679070200926345
-4,5,1,4,20,2,3,-23716041667983464205938806565
-4,5,2,1,25,4,5,56190820722666074297222065880200220
-4,5,2,2,50,4,6,-50520749322168183279826926720790420596209574302042403473490291080817754900
-4,5,2,3,75,4,5,52408201082960386647834834443531647451989079231567571921630350455433687434904927702412974521100568808901968598540
-4,5,2,4,100,4,6,-57652563688746088436491767114862780488094841715531611770232735650367610959433795067649111508411600330177529504575044484497817975887429913118333258142100
-4,5,3,1,125,6,7,2619858048968466728408421857174653353263161719849924447523884976152235856468891179188642208022623175035435604385944936850562851343230371589008492740109931882710588702460929071071611731001720
-4,7,1,1,7,2,2,94280309
-4,7,1,2,14,2,2,-5953525746140361295
-4,7,1,3,21,2,2,432917246357089726323707051165
-4,7,1,4,28,2,2,-33366235001886622819074624673456538261551
-4,7,2,1,49,4,4,362394783109289765976034880615537477147914370689203002285624821398092606
-4,7,2,2,98,4,4,-11281944725637295295414537915109033893885378974281251257340983759319423393624789795130239834287471971916101447376573626019644737935951140492689601178
-4,7,2,3,147,4,4,405395582052208987114989636080832211310983225300280094895651347171715628040173059680164498912222280216023974531382612548176047112090240215748242114403088852679487631124821730125982658926787891019767769256781762407841180350150
-4,11,1,1,11,2,3,55156742559930
-4,11,1,2,22,2,3,-6279452245022502342155895546318
-4,11,1,3,33,2,4,824024728518920776738844821749422429284182068370
-4,11,1,4,44,2,4,-114640984153387626163058519606643386392714326751101110120352942350
-4,11,2,1,121,4,5,1573889161495511455217680021360508128282028261723496239112167174934768278976194176717285608375142596291512506664741111944564953301987605301464615912243806801023513522464766480188448745
-4,13,1,1,13,2,2,48852098411330055
-4,13,1,2,26,2,2,-7470227204221173316278550981268678757
-4,13,1,3,39,2,2,1317033190736212111447835069974756208179269323320052691687
-4,13,1,4,52,2,2,-246190074554254077289154542219331844184327010727675189211446600088758380879877
-3,3,1,1,3,2,2,175
-3,3,1,2,6,2,2,-1640515
-3,3,1,3,9,4,7,2005544826
-3,3,1,4,12,2,3,-209037170692707
-3,3,2,1,9,4,7,2005544826
-3,3,2,2,18,4,5,-3397183378796140177326
-3,3,2,3,27,6,13,737724305005119624745525334475510
-3,3,2,4,36,4,7,-13756073849689883411446649435123155070647559262
-3,3,3,1,27,6,13,737724305005119624745525334475510
-3,3,3,2,54,6,8,-7139173592820190711544763942393243404472952669961894392606581423892566
-3,3,3,3,81,8,13,8858130270763991716392495861075365212753015455342769940163407621823533001643954041998270396984163450384363
-3,3,3,4,108,6,10,-944115835424289761572616806753926553519233400604631276837545550880710750443621377562336016421121477348243239572454556577156735315896993912545206
-3,3,4,1,81,8,13,8858130270763991716392495861075365212753015455342769940163407621823533001643954041998270396984163450384363
-3,5,1,1,5,2,3,27470
-3,5,1,2,10,2,3,-146138577110
-3,5,1,3,15,2,3,901294236472273760
-3,5,1,4,20,2,3,-5884726154444820302362390
-3,5,2,1,25,4,5,1587021017447170769629824804215
-3,5,2,2,50,4,7,-27262588445068580073071431806889032218875361793999914270431370375
-3,5,2,3,75,4,6,540396386999218033442849899437619263463443856001455276228961582636702048017488449371290721430252300
-3,5,2,4,100,4,7,-11359419104782234781484646962188962863950288718663496884237722804500009071215545799583380729517131544322121178902537846411626526052375
-3,5,3,1,125,6,7,9863770168305700669875066602594320401732056019525568121514280419275615455766491254554779812478507315492844222003552808165966894509289469431482125349952782486969172015
-3,7,1,1,7,2,2,6670303
-3,7,1,2,14,2,2,-20042475799365343
-3,7,1,3,21,2,2,69558400889255777162201413
-3,7,1,4,28,2,2,-255834279892138874496772134666158319
-3,7,2,1,49,4,4,302016706304286449325647195487470822157012697621663411604427210
-3,7,2,2,98,4,4,-5301800272096195758622312010315557252758297404484131229306946463808237836993604796886351125265481820680160785689877279576646610754
-3,7,2,3,147,4,4,107430099756804893702456811631658505850599180645428219275461474074616871366678186927978777167205209097156920360543159772091158484306381372539858791377238996929112350646963887712416108323551998089419
-3,11,1,1,11,2,3,684501064071
-3,11,1,2,22,2,3,-653277484880126581530134431
-3,11,1,3,33,2,3,719160049834322407041452424656568832901706
-3,11,1,4,44,2,3,-839359964876292762322279101777860991846284022549050780943
-3,11,2,1,121,4,5,33708758562178460733066189016869228827438524178256114482500200364610740073616455956680864503615598724628984219256144687764389076228639943581386242693162843742576
-3,13,1,1,13,2,2,254102211663028
-3,13,1,2,26,2,2,-136613308795889738260045507376092
-3,13,1,3,39,2,2,84716095150392619963278314425589875088552259560824
-3,13,1,4,52,2,2,-55701195592731663610171271621722360387247619653186569204210906510140
-2,3,1,1,3,2,4,45
-2,3,1,2,6,2,2,349
-2,3,1,3,9,4,4,30657490
-2,3,1,4,12,2,3,1579161352317
-2,3,2,1,9,4,4,30657490
-2,3,2,2,18,4,4,11981371661934291986
-2,3,2,3,27,6,7,965908533488001726397384737276
-2,3,2,4,36,4,4,7521466211676994808537570469650310062456530
-2,3,3,1,27,6,7,965908533488001726397384737276
-2,3,3,2,54,6,8,807570985169731921233261110422380332828422083634235819212929550860
-2,3,3,3,81,8,10,115573734791418887084136134161817446821642100654279731555626579719024437078459417511338216936317574558
-2,3,3,4,108,6,7,1598909281217217675707859829320873364718471267868356371056382028679728492559947993941175333067823729113207459646535871358531317520736612748
-2,3,4,1,81,8,10,115573734791418887084136134161817446821642100654279731555626579719024437078459417511338216936317574558
-2,5,1,1,5,2,5,2125
-2,5,1,2,10,2,3,1387517565
-2,5,1,3,15,2,3,4672742548750030
-2,5,1,4,20,2,3,16406137213609365453085
-2,5,2,1,25,4,5,2556228490773747405692984810
-2,5,2,2,50,4,6,4319439936918564499761526530526408394185561806613551956935050
-2,5,2,3,75,4,5,11244804984891100357051158695937131088966958484766063195435494581509205942495089288380287008380
-2,5,2,4,100,4,7,34936766801374638020772274037437599799722293170402864507069626909937219133317007589506230745626199731513405771108871925499554250
-2,5,3,1,125,6,7,4783531545642761299056637638003519617678742960232207064971026745289255658144049716067221641554518010009407793536258642488790575841271089926703221570227133163160
-2,7,1,1,7,2,2,198207
-2,7,1,2,14,2,2,116823014509023
-2,7,1,3,21,2,2,173105589701405666076984
-2,7,1,4,28,2,3,302648317395331797284530456533695
-2,7,2,1,49,4,4,52106621993587978961164828785291372386245985480737806784327
-2,7,2,2,98,4,4,18947453394163501843309762955079780612738516209150681263546074881316890898088965868771892059421735980110501574287504259379415
-2,7,2,3,147,4,4,10611523705803875825936784156805188158211292403697985917954693085882099671783891886233813988427455180877433228067082486802387451435239747873708401656004403686345306882380713079999883523777310
-2,11,1,1,11,2,3,6655137907
-2,11,1,2,22,2,3,1453649477105937914826419
-2,11,1,3,33,2,3,521390036446209876190980301487661295390
-2,11,1,4,44,2,3,223205347281702815481172404031070985147666148808676115
-2,11,2,1,121,4,5,21898793267589019812328674824900429448122745316113324913484370762248201312891868488150885653196836346872961410729886372682236573166532416062502872368049466
-2,13,1,1,13,2,2,1756724532555
-2,13,1,2,26,2,2,198241641451440336486509284299
-2,13,1,3,39,2,2,35179361272059658597503358103502588021923400330
-2,13,1,4,52,2,2,7451407493740147749875321326152108543292947719227018791709817643
-1,3,1,1,3,2,2,40
-1,3,1,2,6,2,3,283980
-1,3,1,3,9,4,4,351817313
-1,3,1,4,12,2,2,42422646203164
-1,3,2,1,9,4,4,351817313
