n,m,q,offset_a,denominator_q_valuation
1,1,2,1,2
1,1,3,1,1
1,2,3,11,1
1,2,5,7,0
1,3,2,7,2
1,3,7,10,0
1,4,3,13,1
1,4,5,9,0
1,5,2,21,2
1,5,3,41,1
1,5,11,16,0
1,6,7,13,0
1,6,13,19,0
1,7,2,15,2
1,7,3,43,1
1,7,5,22,0
1,8,3,17,1
1,8,17,25,0
1,9,2,37,2
1,9,5,19,0
1,9,19,28,0
1,10,3,91,1
1,10,7,31,0
1,10,11,21,0
1,11,2,23,2
1,11,3,56,1
1,11,23,34,0
1,12,5,37,0
1,12,13,25,0
2,1,2,1,4
2,1,3,1,3
2,1,5,1,1
2,2,3,11,3
2,2,5,27,1
2,2,7,9,0
2,3,2,19,4
2,3,5,28,1
2,3,7,10,0
2,3,13,16,0
2,4,3,13,3
2,4,5,29,1
2,4,13,17,0
2,4,17,21,0
2,5,2,21,4
2,5,3,41,3
2,5,7,26,0
2,5,11,16,0
2,6,5,31,1
2,6,7,13,0
2,6,13,19,0
2,6,19,25,0
2,7,2,15,4
2,7,3,43,3
2,7,5,57,1
2,7,11,29,0
2,7,29,36,0
2,8,3,17,3
2,8,5,33,1
2,8,11,41,0
2,8,17,25,0
2,9,2,73,4
2,9,5,109,1
2,9,7,37,0
2,9,19,28,0
2,9,37,46,0
2,10,3,91,3
2,10,7,31,0
2,10,11,21,0
2,10,31,41,0
2,10,41,51,0
2,11,2,67,4
2,11,3,56,3
2,11,5,111,1
2,11,17,45,0
2,11,23,34,0
2,12,5,37,1
2,12,7,61,0
2,12,13,25,0
2,12,37,49,0
3,1,2,1,8
3,1,3,1,3
3,1,5,1,3
3,1,7,1,1
3,2,3,11,3
3,2,5,27,3
3,2,7,51,1
3,2,11,13,0
3,2,13,15,0
3,3,2,19,8
3,3,5,28,3
3,3,7,52,1
3,3,13,16,0
3,3,19,22,0
3,4,3,13,3
3,4,5,29,3
3,4,7,53,1
3,4,13,17,0
3,4,17,21,0
3,5,2,21,8
3,5,3,41,3
3,5,7,201,1
3,5,11,16,0
3,5,13,31,0
3,5,31,36,0
3,6,5,31,3
3,6,7,55,1
3,6,13,19,0
3,6,19,25,0
3,6,31,37,0
3,6,37,43,0
3,7,2,15,8
3,7,3,43,3
3,7,5,57,3
3,7,11,29,0
3,7,29,36,0
3,7,43,50,0
3,8,3,17,3
3,8,5,33,3
3,8,7,57,1
3,8,11,41,0
3,8,17,25,0
3,8,41,49,0
3,9,2,73,8
3,9,5,109,3
3,9,7,352,1
3,9,11,64,0
3,9,19,28,0
3,9,23,55,0
3,9,37,46,0
3,10,3,91,3
3,10,7,451,1
3,10,11,21,0
3,10,17,61,0
3,10,31,41,0
3,10,41,51,0
3,10,61,71,0
3,11,2,67,8
3,11,3,56,3
3,11,5,111,3
3,11,7,452,1
3,11,17,45,0
3,11,23,34,0
3,11,67,78,0
3,12,5,37,3
3,12,7,61,1
3,12,13,25,0
3,12,37,49,0
3,12,61,73,0
3,12,73,85,0
4,1,2,1,10
4,1,3,1,5
4,1,5,1,5
4,1,7,1,3
4,2,3,29,5
4,2,5,27,5
4,2,7,51,3
4,2,11,13,0
4,2,13,15,0
4,2,17,19,0
4,3,2,19,10
4,3,5,28,5
4,3,7,52,3
4,3,11,25,0
4,3,13,16,0
4,3,19,22,0
4,4,3,85,5
4,4,5,29,5
4,4,7,53,3
4,4,11,37,0
4,4,13,17,0
4,4,17,21,0
4,4,29,33,0
4,5,2,21,10
4,5,3,86,5
4,5,7,201,3
