k,beta_support,rho_odd,leading_constant_odd
2,1.6180339887498947,1.5436890126920766,1.4736796892775705
3,1.8392867552141612,1.7166727492822869,1.5500235343172113
4,1.9275619754829254,1.8556790279773008,1.3627570965157731
5,1.9659482366454857,1.9306049885584295,1.200842855190623
6,1.9835828434243263,1.9665806892881836,1.1093290204587132
8,1.9960311797354142,1.9919974135589193,1.0329316675700015
10,1.9990186327101014,1.9980314291067356,1.0099308079335807
