a,grid_points,max_abs_periodicity_residual,rms_periodicity_residual
1.2,2001,2.6645352591003757e-15,7.4291767398517884e-16
1.5,2001,5.3290705182007514e-15,8.5540733635668606e-16
2.0,2001,2.6645352591003757e-15,4.7835950072215033e-16
2.6,2001,2.4424906541753444e-15,5.3298194915971836e-16
3.0,2001,2.9976021664879227e-15,5.8875786238771168e-16
5.0,2001,3.219646771412954e-15,5.633124142591709e-16
