order,hyperbolic_time,exact_cumulant,leading_asymptotic,ratio_exact_to_leading
4,0.5,-0.77766512839666246,-0.88291065881146158,0.88079707797788243
4,1.0,-0.31896267460089572,-0.32480467976787047,0.98201379003790867
4,1.5,-0.11919351290331986,-0.11948896408287346,0.99752737684336534
4,2.0,-0.043942792168423825,-0.043957533332962026,0.99966464986953329
4,2.5,-0.016170338665565383,-0.016171072797805119,0.99995460213129239
4,3.0,-0.0059489686722724857,-0.0059490052239992604,0.99999385582540301
4,4.0,-0.00080511021636277161,-0.00080511030696602838,0.99999988746479085
4,5.0,-0.00010895983120541123,-0.00010895983142996365,0.99999999793912664
6,0.5,3.3682405411530496,4.9494046440818353,0.68053448512854264
6,1.0,0.63108810037532603,0.66982907935942138,0.94216288874596998
6,1.5,0.089908089518850029,0.090651508175226825,0.99179915843275557
6,2.0,0.012254642906597195,0.012268347534720433,0.99888292795060996
6,2.5,0.0016600890586126744,0.0016603402884565889,0.99984868773849489
6,3.0,0.00022469802122442503,0.00022470262320743167,0.99997951967386522
6,4.0,4.1155705601966742e-06,4.1155721040186191e-06,0.99999962488278527
6,5.0,7.5379331959905711e-08,7.5379332477752975e-08,0.99999999313011612
8,0.5,-33.120537649265863,-68.825643311735121,0.48122380054264807
8,1.0,-3.0309009034632859,-3.4266270090235742,0.88451439140641941
8,1.5,-0.16768495248512494,-0.17060171316942585,0.98290309850872215
8,2.0,-0.0084738538527014146,-0.0084937591572409182,0.99765647881332564
8,2.5,-0.0004227450136048065,-0.00042287936786172402,0.99968228703708839
8,3.0,-2.1053018514012504e-05,-2.1053923999090741e-05,0.99995699209903688
8,4.0,-5.2187418829662052e-08,-5.2187459940114252e-08,0.99999921225420352
8,5.0,-1.293597780549533e-10,-1.293597799212466e-10,0.99999998557284731
