degree,n,e2,e3,h1,h2,newton_margin
36,933120,548569724158995,5801431117702941519750,33123095,533041377827991,10156087072520
37,506530,170889523616355,1009910374744609019220,18487267,166185341019223,3078113858941
37,506531,170890198338957,1009916355889743233295,18487304,166185997221101,3077478324712
37,1013060,683533804697835,8078852364233001436470,36973877,664717755935808,12313112988661
38,548720,211683100789437,1393904006400444175785,20575865,206012101914104,3711603707596
38,548721,211683872316471,1393911627005960077911,20575902,206012852845590,3712358483916
38,1097440,846703856930957,11150668137199774034025,41151035,824020643745763,14851100622362
39,593190,260755615999151,1907751797902488928221,22836620,253952256372858,4456602434408
39,593191,260756495135630,1907761445876544917100,22836659,253953112551750,4455765488603
39,1186380,1042989057113471,15261281150495550195051,45672509,1015776498447983,17824982908711
40,640000,319507469093930,2590219467756448884200,25278745,311383217548658,5322915344374
40,640001,319508467525130,2590231609059244641400,25278784,311384190297212,5323863473608
40,1280000,1277990937893930,20720808736728826484200,50556719,1245494935150661,21295172043040
41,689210,389531154175130,3490195246046192706100,27911688,379872024899553,6331238599824
41,689211,389532284513150,3490210437783247122230,27911728,379873127190974,6332337384544
41,1378420,1558079403549130,27920346649264556650800,55822565,1519444017214420,25329613163825
42,740880,472631787322030,4668975033842852819730,30745139,461195642201077,7499775315474
42,740881,472633063153552,4668993939139862325630,30745181,461196887263059,7498566660398
42,1481760,1890474840602110,37350250060475620403730,61489427,1844731554359091,30002145912302
43,795070,570849237544432,6202986912016723506370,33789029,557362920313219,8847595033915
43,795071,570850673479681,6203010316864899494516,33789071,557364322411976,8849001841303
43,1590140,2283336641343352,49621929317970297484910,67577165,2229392822103144,35394649737871
44,851840,686481942358861,8187025519885644773726,37053527,670638155103917,10399087068244
44,851841,686483554081765,8187054352161070020250,37053571,670639729746285,10397556394788
44,1703680,2745858465839181,65493724618361531328606,74106119,2682484951706381,41597170578004
45,911250,822112491400365,10738076017676168323800,40549044,803566485501819,12177043660824
45,911251,822114295719915,10738111368552091402725,40549089,803568249105747,12175315919133
45,1822500,3288370576075365,85901497306185439142550,81097109,3214188356388198,48708571372541
46,973360,980635063497915,13999817475414724050075,44286230,959001046139266,14206777566340
46,973361,980637078400725,13999860623401845812565,44286275,959003016293767,14208717911530
46,1946720,3922449583947915,111994656534389796963675,88571435,3835915532092115,56837578084450
47,1038230,1165284804657405,18147906664214788522815,48275973,1140132147590462,16526968969699
47,1038231,1165287049361472,18147959102081503939440,48276020,1140134343834181,16524815926652
47,2076460,4661035962877085,145178429089274110006065,96550877,4560427578303824,66103977841003
48,1105920,1379669236412252,23396155436965217179680,52529406,1350518373026978,19156307745476
48,1105921,1379671731421916,23396218901807477356896,52529453,1350520815474494,19158760558822
48,2211840,5518559680884572,187163277870731138111520,105057695,5401958757310973,76636366432312
49,1176490,1627801786017596,30003728250589758949256,57057897,1594119894946602,22140241931169
49,1176491,1627804553179700,30003804757338730076500,57057945,1594122604985830,22142960357505
49,2352980,6511074321037916,240022481439597576613936,114114629,6376349548266068,88574698583401
50,1250000,1914137531980100,38283500981306282117500,61873056,1875333867882315,25516231068342
50,1250001,1914140594541350,38283592859981318622500,61873106,1875336868534630,25513304206412
50,2500000,7656400063230100,306259003837612282117500,123744899,7501188511556110,102072763529132
51,1326510,2243611260431350,48611738101246830121500,66986734,2199032262043313,29322136980256
51,1326511,2243614643096875,48611848038281466552600,66986784,2199035577498006,29325447330456
51,2653020,8974275909326350,388882911220547031445500,133972205,8795963295806759,117295665136675
52,1406080,2621677929868855,61439262606679026341350,72411020,2570601939329137,33606939551974
52,1406081,2621681658861967,61439393690668744600850,72411072,2570605595345160,33603315747120
52,2812160,10486521541774135,491500730419698793221350,144820727,10282221306770165,134424850130380
53,1488770,3054355643804647,77304311905940426179340,78158245,2995987389280014,38414149640181
53,1488771,3054359746927801,77304467678182889845051,78158298,2995991413998811,38410196779340
53,2977540,12217209213836367,618418295089472458876230,156315125,11983740295168195,153657205445405
54,1574640,3548271232877481,96847293283957012286061,84240979,3481735899976700,43793167851268
54,1574641,3548275739574435,96847477794178296023475,84241032,3481740322389960,43797607234512
54,3149280,14192846077671801,774758788368413276618541,168480539,13926709312335123,175201977535946
55,1663750,4110708550000635,120827674658693789035425,90672030,4035045594679998,49821936432084
55,1663751,4110713491419810,120827892526377886664100,90672085,4035050445340762,49817189699371
