r,critical_multisets,maximum_period,maximizing_k,maximizing_weights
2,1,2,2,1 1
3,2,4,2,1 2 2
4,5,9,3,2 3 3 3
5,14,27,3,2 3 4 4 4
6,42,81,3,2 3 4 5 5 5
7,132,256,4,3 4 5 6 6 6 6
8,429,1024,4,3 4 5 6 7 7 7 7
9,1430,4096,4,3 4 5 6 7 8 8 8 8
10,4862,16384,4,3 4 5 6 7 8 9 9 9 9
11,16796,78125,5,4 5 6 7 8 9 10 10 10 10 10
12,58786,390625,5,4 5 6 7 8 9 10 11 11 11 11 11
13,208012,1953125,5,4 5 6 7 8 9 10 11 12 12 12 12 12
