d,Q_infinity_decimal,smallest_prime_power_at_or_above
2,5.7912878474779200032940235968640042444922282883839859513036,7
3,12.2915026221291811810032315072785208514205183661649003607366,13
4,20.7870878105033549854928438411405253508757252671268493020858,23
5,31.2828568570856999959987996227345305575323423198054676664168,32
6,43.7792997906732470100622428458966592919086308490733712581228,47
7,58.2763633939717117855171951038591844702001688895775138595865,59
8,74.773928048914541040160989085627298211984740931679290524881,79
9,93.271887242357310647984509622058059472073771950553035576005,97
10,113.770157545376630314192117659960181222418188893449423756747,121
